,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,90.00M,,,,9.00M,-19.00M,90.00M,90.00M,,,8.00M,,-23.00M,-65.00M,-49.00M,90.00M,17.00M,-16.00M,-40.00M,-63.00M,0.00,,2020-09,-18.00M,,,,27.00M,,0.00,,2020-09,1.076B,1.00M,1.077B,,-150.00M,-150.00M,-61.00M,,-61.00M,-10.00M,,2020-09,2.314B,971.00M,3.297B,,2020-09,,,1.849B,-773.00M,,2020-09,AOR,
2020-06,27.00M,1.00M,,,13.00M,13.00M,88.00M,88.00M,,,13.00M,,-46.00M,359.00M,-99.00M,-210.00M,1.00M,-92.00M,-41.00M,-82.00M,0.00,,2020-06,-19.00M,,,,0.00,,1.00M,,2020-06,-310.00M,0.00,-310.00M,,0.00,0.00,-57.00M,,-57.00M,-5.00M,,2020-06,2.665B,-356.00M,2.314B,,2020-06,,,3.00M,-313.00M,,2020-06,AOR,
2020-03,-2.00M,-1.00M,,,24.00M,23.00M,94.00M,94.00M,,,11.00M,,-21.00M,259.00M,-126.00M,51.00M,-16.00M,-38.00M,-142.00M,-12.00M,0.00,,2020-03,-23.00M,,,,-191.00M,,,,2020-03,2.00M,,2.00M,,,,-58.00M,,-58.00M,-4.00M,,2020-03,2.795B,-101.00M,2.665B,,2020-03,,,2.00M,,,2020-03,AOR,
2019-12,266.00M,,,,20.00M,19.00M,98.00M,98.00M,,,9.00M,,-18.00M,-73.00M,78.00M,-23.00M,-15.00M,21.00M,-103.00M,-115.00M,40.00M,,2019-12,-17.00M,,,,0.00,,0.00,,2019-12,-551.00M,,-551.00M,,-232.00M,-232.00M,-60.00M,,-60.00M,-8.00M,,2019-12,979.00M,1.803B,2.795B,,2019-12,,,3.00M,-554.00M,,2019-12,AOR,
2019-09,158.00M,,,,21.00M,2.00M,104.00M,104.00M,,,11.00M,,-37.00M,56.00M,15.00M,22.00M,-14.00M,26.00M,-11.00M,94.00M,8.00M,,2019-09,-17.00M,,,,20.00M,,1.00M,,2019-09,2.00M,0.00,2.00M,,-68.00M,-68.00M,-61.00M,,-61.00M,-10.00M,,2019-09,776.00M,223.00M,979.00M,,2019-09,,,2.00M,0.00,,2019-09,AOR,Restated
2019-06,142.00M,1.00M,,,32.00M,32.00M,110.00M,110.00M,,,15.00M,,-25.00M,9.00M,64.00M,-14.00M,17.00M,-54.00M,-40.00M,-18.00M,37.00M,,2019-06,-16.00M,,,,-38.00M,,,,2019-06,3.00M,-2.00M,1.00M,,-197.00M,-197.00M,-60.00M,,-60.00M,-21.00M,,2019-06,786.00M,-18.00M,776.00M,,2019-06,,,3.00M,0.00,,2019-06,AOR,Restated
2019-03,85.00M,-1.00M,,,36.00M,35.00M,118.00M,118.00M,,,15.00M,,-21.00M,119.00M,-48.00M,-32.00M,-2.00M,47.00M,-116.00M,-32.00M,4.00M,,2019-03,-15.00M,,,,-3.00M,,,,2019-03,-404.00M,2.00M,-402.00M,,-103.00M,-103.00M,-62.00M,,-62.00M,-2.00M,,2019-03,1.148B,-361.00M,786.00M,,2019-03,,,2.00M,-406.00M,,2019-03,AOR,Restated
2018-12,77.00M,35.00M,,-9.00M,86.00M,77.00M,128.00M,128.00M,,,13.00M,,0.00,-21.00M,108.00M,-11.00M,12.00M,41.00M,-216.00M,-87.00M,,,2018-12,-17.00M,,,,27.00M,,1.00M,,2018-12,2.00M,-3.00M,-1.00M,,-416.00M,-416.00M,-65.00M,,-65.00M,-4.00M,,2018-12,1.218B,-60.00M,1.148B,,2018-12,,,2.00M,0.00,,2018-12,AOR,Restated
2018-09,93.00M,-3.00M,,-43.00M,36.00M,-10.00M,122.00M,122.00M,,,15.00M,,-48.00M,40.00M,-20.00M,-31.00M,-4.00M,15.00M,86.00M,86.00M,,,2018-09,-23.00M,,,,0.00,,0.00,,2018-09,1.00M,-1.00M,0.00,,-284.00M,-284.00M,-69.00M,,-69.00M,-6.00M,,2018-09,1.327B,-108.00M,1.218B,,2018-09,,,2.00M,-1.00M,,2018-09,AOR,Restated
2018-06,114.00M,-16.00M,,-16.00M,26.00M,-6.00M,138.00M,138.00M,,,13.00M,,-21.00M,47.00M,16.00M,-1.00M,38.00M,-5.00M,-121.00M,-26.00M,,,2018-06,-32.00M,,,,16.00M,,1.00M,,2018-06,-269.00M,0.00,-269.00M,,0.00,0.00,-68.00M,,-68.00M,-2.00M,,2018-06,1.474B,-119.00M,1.327B,,2018-06,,,3.00M,-272.00M,,2018-06,AOR,Restated
2018-03,26.00M,-16.00M,,68.00M,27.00M,79.00M,138.00M,138.00M,,,16.00M,,-51.00M,131.00M,-87.00M,44.00M,-17.00M,1.00M,-81.00M,-9.00M,,,2018-03,-18.00M,,,,16.00M,,,,2018-03,-36.00M,-1.00M,-37.00M,,0.00,0.00,-67.00M,,-67.00M,-13.00M,,2018-03,1.368B,97.00M,1.474B,,2018-03,,,2.00M,-38.00M,,2018-03,AOR,Restated
2017-12,-327.00M,14.00M,,56.00M,61.00M,116.00M,128.00M,128.00M,,,13.00M,,-129.00M,-404.00M,114.00M,-53.00M,28.00M,-118.00M,0.00,-433.00M,79.00M,,2017-12,-35.00M,-2.00M,-2.00M,,-8.00M,,191.00M,,2017-12,-487.00M,1.00M,-486.00M,,0.00,0.00,-68.00M,,-68.00M,-1.00M,,2017-12,1.919B,-549.00M,1.368B,,2017-12,,,2.00M,-489.00M,,2017-12,AOR,Restated
2017-09,179.00M,-13.00M,,-26.00M,34.00M,-5.00M,131.00M,131.00M,,,14.00M,,-703.00M,41.00M,-99.00M,54.00M,-5.00M,46.00M,-120.00M,-83.00M,-2.00M,,2017-09,-23.00M,1.00M,1.00M,,20.00M,,62.00M,,2017-09,988.00M,0.00,988.00M,,0.00,0.00,-68.00M,,-68.00M,-12.00M,,2017-09,1.377B,523.00M,1.919B,,2017-09,,,1.001B,-13.00M,,2017-09,AOR,Restated
2017-06,170.00M,-1.00M,,10.00M,37.00M,46.00M,135.00M,135.00M,,,12.00M,,-61.00M,6.00M,-30.00M,-21.00M,14.00M,-6.00M,-1.00M,-38.00M,-15.00M,,2017-06,-21.00M,0.00,17.00M,9.00M,-65.00M,,56.00M,,2017-06,0.00,0.00,0.00,,7.00M,7.00M,-74.00M,6.00M,-68.00M,-19.00M,,2017-06,1.194B,156.00M,1.377B,,2017-06,,,2.00M,-2.00M,,2017-06,AOR,Restated
2017-03,48.00M,,,-40.00M,62.00M,22.00M,133.00M,133.00M,,,13.00M,,43.00M,-12.00M,-58.00M,21.00M,-57.00M,-1.00M,-38.00M,-145.00M,-80.00M,,2017-03,-26.00M,1.00M,-16.00M,-9.00M,-11.00M,,25.00M,,2017-03,-1.325B,1.00M,-1.324B,,-7.00M,-7.00M,-81.00M,-6.00M,-87.00M,160.00M,,2017-03,2.402B,-1.217B,1.194B,,2017-03,,,3.00M,-1.328B,,2017-03,AOR,Restated
2016-12,188.00M,-2.00M,,-9.00M,19.00M,-203.00M,137.00M,137.00M,,,19.00M,,-59.00M,10.00M,111.00M,0.00,47.00M,5.00M,-97.00M,76.00M,116.00M,,2016-12,-39.00M,-23.00M,42.00M,34.00M,12.00M,,303.00M,,2016-12,-4.00M,888.00M,884.00M,-6.00M,0.00,-6.00M,-103.00M,18.00M,-85.00M,4.00M,,2016-12,1.275B,997.00M,2.402B,,2016-12,-252.00M,-6.00M,11.00M,-15.00M,,2016-12,AOR,Restated
2016-09,178.00M,-3.00M,,-37.00M,32.00M,55.00M,140.00M,140.00M,,,14.00M,,-18.00M,40.00M,-12.00M,-84.00M,20.00M,32.00M,-176.00M,-180.00M,160.00M,,2016-09,-29.00M,3.00M,-16.00M,-10.00M,1.00M,,2.00M,,2016-09,-3.00M,2.00M,-1.00M,3.00M,0.00,3.00M,-79.00M,-6.00M,-85.00M,-1.00M,,2016-09,1.043B,227.00M,1.275B,,2016-09,10.00M,3.00M,5.00M,-8.00M,,2016-09,AOR,Restated
2016-06,196.00M,3.00M,,8.00M,33.00M,125.00M,144.00M,144.00M,,,7.00M,,71.00M,-90.00M,7.00M,-90.00M,46.00M,-50.00M,-124.00M,-301.00M,-82.00M,,2016-06,-38.00M,1.00M,-26.00M,-11.00M,0.00,,3.00M,,2016-06,-252.00M,249.00M,-3.00M,2.00M,0.00,2.00M,-78.00M,-6.00M,-84.00M,-2.00M,,2016-06,1.046B,5.00M,1.043B,,2016-06,-18.00M,2.00M,5.00M,-257.00M,,2016-06,AOR,Restated
2016-03,71.00M,-20.00M,,-37.00M,43.00M,53.00M,142.00M,142.00M,,,10.00M,,127.00M,15.00M,-99.00M,-76.00M,-37.00M,-64.00M,-77.00M,-338.00M,-112.00M,,2016-03,-32.00M,19.00M,0.00,-13.00M,-18.00M,,1.00M,,2016-03,-704.00M,749.00M,45.00M,1.00M,0.00,1.00M,-71.00M,-6.00M,-77.00M,-11.00M,,2016-03,1.228B,-194.00M,1.046B,,2016-03,-2.00M,1.00M,4.00M,-708.00M,,2016-03,AOR,Restated
2015-12,624.00M,-111.00M,,18.00M,39.00M,22.00M,-320.00M,-320.00M,,,-10.00M,,-303.00M,-54.00M,153.00M,82.00M,109.00M,-233.00M,-120.00M,-63.00M,,,2015-12,114.00M,69.00M,176.00M,7.00M,-751.00M,,-2.00M,,2015-12,-1.00M,-198.00M,-199.00M,2.00M,-1.00M,1.00M,-71.00M,-6.00M,-77.00M,-3.00M,,2015-12,804.00M,589.00M,1.228B,,2015-12,,2.00M,8.00M,-9.00M,,2015-12,AOR,Restated
2015-09,-31.00M,5.00M,,-37.00M,29.00M,65.00M,317.00M,317.00M,,,-8.00M,,-29.00M,85.00M,-61.00M,-96.00M,-34.00M,271.00M,-232.00M,-67.00M,,,2015-09,-65.00M,7.00M,-32.00M,-26.00M,-147.00M,,-1.00M,,2015-09,389.00M,-463.00M,-74.00M,3.00M,-740.00M,-737.00M,-84.00M,-6.00M,-90.00M,13.00M,,2015-09,1.641B,-823.00M,804.00M,,2015-09,,3.00M,398.00M,-9.00M,,2015-09,AOR,Restated
2015-06,17.00M,74.00M,,-3.00M,32.00M,177.00M,297.00M,297.00M,,,23.00M,,-5.00M,0.00,-67.00M,-53.00M,11.00M,-57.00M,-18.00M,-184.00M,,,2015-06,-102.00M,0.00,-77.00M,-25.00M,910.00M,,23.00M,,2015-06,-257.00M,310.00M,53.00M,4.00M,-395.00M,-391.00M,-77.00M,-6.00M,-83.00M,-2.00M,,2015-06,872.00M,757.00M,1.641B,,2015-06,,4.00M,10.00M,-267.00M,,2015-06,AOR,Restated
