,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,146.90M,,,,20.60M,20.60M,,2.60M,,2.60M,,-8.70M,,161.40M,,-8.90M,0.00,,0.20M,-8.70M,,-0.10M,-0.60M,-0.70M,0.00,0.00,-29.60M,-29.60M,0.20M,-30.10M,,304.30M,122.60M,3.90M,430.80M,,0.00,-0.10M,0.00,,AOR,
2020-06,73.70M,,,,19.90M,19.90M,,0.00,,0.00,,3.60M,,97.20M,,-12.60M,0.00,,0.80M,-11.80M,,0.00,-2.60M,-2.60M,0.00,0.00,-29.70M,-29.70M,-0.10M,-32.40M,,248.70M,53.00M,2.60M,304.30M,,,0.00,0.00,,AOR,
2020-03,0.50M,,,,19.80M,19.80M,,96.30M,,96.30M,,-85.80M,,30.80M,,-11.80M,0.00,,-7.00M,-18.80M,,0.00,3.20M,3.20M,-94.10M,-94.10M,-29.00M,-29.00M,3.10M,-116.80M,,358.70M,-104.80M,-5.20M,248.70M,,,0.00,-94.10M,,AOR,
2019-12,80.70M,,,,20.40M,20.40M,,5.90M,,-3.60M,,82.40M,,208.80M,,-16.20M,0.30M,,-5.70M,-21.60M,,0.00,0.10M,0.10M,-46.30M,-46.30M,-25.10M,-25.10M,-3.00M,-67.80M,,236.30M,119.40M,3.00M,358.70M,,0.00,0.30M,-46.30M,,AOR,
2019-09,131.70M,,,,21.20M,21.20M,,0.00,,0.00,,19.50M,,172.40M,,-20.10M,0.00,,0.30M,-19.80M,,0.00,-0.10M,-0.10M,-46.10M,-46.10M,-25.00M,-25.00M,-2.60M,-73.80M,,161.20M,78.80M,-3.70M,236.30M,,400.00M,-400.30M,-46.10M,,AOR,Restated
2019-06,109.40M,,,,20.70M,20.70M,,0.00,,0.00,,-10.50M,,119.60M,,-17.00M,0.00,,-1.50M,-18.50M,,-8.90M,0.00,-8.90M,-69.80M,-69.80M,-25.30M,-25.30M,2.60M,-101.40M,,160.60M,-0.30M,0.90M,161.20M,,,-8.90M,-69.80M,,AOR,Restated
2019-03,80.30M,,,,20.70M,20.70M,,0.00,,0.00,,-113.60M,,-12.60M,,-12.30M,-4.60M,,-0.80M,-17.70M,,-8.80M,-0.20M,-9.00M,-63.80M,-63.80M,-25.20M,-25.20M,-1.20M,-99.20M,,290.60M,-129.50M,-0.50M,160.60M,,,-8.80M,-63.80M,,AOR,Restated
2018-12,132.90M,,,,20.40M,20.40M,,,,,,96.90M,,197.40M,,-17.30M,-0.30M,,-3.20M,-35.10M,,-8.80M,0.10M,-8.70M,-37.30M,-37.30M,-19.80M,-19.80M,-3.90M,-66.50M,,196.50M,95.80M,-1.70M,290.60M,,0.00,-8.10M,-37.30M,,AOR,Restated
2018-09,116.10M,,,,20.30M,20.30M,,,,,113.20M,5.30M,,141.70M,,-10.90M,-95.30M,,-1.20M,-107.40M,,-8.80M,-0.20M,-9.00M,0.00,0.00,-19.90M,-19.90M,2.40M,-26.50M,,189.60M,7.80M,-0.90M,196.50M,,75.00M,-84.00M,0.00,,AOR,Restated
2018-06,114.00M,,,,23.00M,23.00M,,,,,-8.20M,-8.20M,,128.80M,,-12.20M,-4.20M,,0.00,-16.40M,,-49.10M,-0.50M,-49.60M,0.00,0.00,-20.00M,-20.00M,0.10M,-69.50M,,151.80M,42.90M,-5.10M,189.60M,,0.00,-49.60M,0.00,,AOR,Restated
