,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,728.40M,728.40M,409.20M,319.20M,156.20M,-2.60M,12.90M,0.20M,-12.70M,156.20M,163.00M,0.20M,12.90M,-12.70M,9.40M,-12.70M,159.70M,12.80M,146.90M,,0.00,146.90M,149.48M,193.20M,20.60M,172.60M,,1.59,,1.618,1.59,,1.58,,1.608,1.58,,92.30M,92.70M,0.32,,AOR,
2020-06,589.50M,589.50M,342.90M,246.60M,150.10M,0.00,13.00M,0.10M,-12.90M,150.10M,96.50M,0.10M,13.00M,-12.90M,4.30M,-12.90M,87.90M,14.20M,73.70M,,0.00,73.70M,73.62M,120.80M,19.90M,100.90M,,0.80,,0.7991,0.80,,0.80,,0.7991,0.80,,92.30M,92.70M,0.32,,AOR,
2020-03,674.70M,674.70M,381.60M,293.10M,167.90M,-96.30M,12.90M,0.50M,-12.40M,167.90M,125.20M,0.50M,12.90M,-12.40M,-100.80M,-12.40M,12.00M,11.50M,0.50M,,-0.10M,0.40M,71.36M,44.70M,19.80M,24.90M,,0.0043,,0.7698,0.0043,,0.0043,,0.7648,0.0043,,92.70M,93.30M,0.32,,AOR,
2019-12,719.50M,719.50M,400.30M,319.20M,175.90M,-30.10M,13.30M,0.70M,-12.60M,175.90M,143.30M,0.70M,13.30M,-12.60M,-33.00M,-12.60M,97.70M,17.00M,80.70M,,0.00,80.70M,106.14M,131.40M,20.40M,111.00M,,0.87,,1.144,0.87,,0.86,,1.132,0.86,,93.00M,93.70M,0.27,,AOR,
2019-09,748.30M,748.30M,412.80M,335.50M,167.40M,0.00,15.60M,0.40M,-15.20M,167.40M,168.10M,0.40M,15.60M,-15.20M,-2.40M,-15.20M,150.50M,18.80M,131.70M,,-0.10M,131.60M,132.30M,187.30M,21.20M,166.10M,,1.41,,1.418,1.41,,1.40,,1.407,1.40,,93.30M,94.00M,0.27,,AOR,Restated
2019-06,731.20M,731.20M,410.50M,320.70M,175.00M,0.00,13.40M,0.40M,-13.00M,175.00M,145.70M,0.40M,13.40M,-13.00M,-1.10M,-13.00M,131.60M,22.20M,109.40M,,-0.10M,109.30M,109.72M,165.70M,20.70M,145.00M,,1.17,,1.174,1.17,,1.16,,1.164,1.16,,93.80M,94.50M,0.27,,AOR,Restated
2019-03,655.00M,655.00M,378.10M,276.90M,168.90M,0.00,13.70M,0.30M,-13.40M,168.90M,108.00M,0.30M,13.70M,-13.40M,0.80M,-13.40M,95.40M,15.10M,80.30M,,-0.10M,80.20M,80.03M,129.80M,20.70M,109.10M,,0.85,,0.8482,0.85,,0.84,,0.8382,0.84,,94.50M,95.10M,0.27,,AOR,Restated
2018-12,702.40M,702.40M,401.90M,300.50M,159.10M,,13.70M,0.10M,-13.60M,159.10M,141.40M,0.10M,13.70M,-13.60M,-0.60M,-13.60M,127.20M,-5.70M,132.90M,,-0.10M,132.80M,133.75M,161.30M,20.40M,140.90M,,1.40,,1.410,1.40,,1.39,,1.400,1.39,,94.70M,95.40M,0.21,,AOR,Restated
2018-09,711.50M,711.50M,402.10M,309.40M,167.10M,,14.00M,0.40M,-13.60M,167.10M,142.30M,0.40M,14.00M,-13.60M,1.50M,-13.60M,130.20M,14.10M,116.10M,,-0.10M,116.00M,115.29M,164.50M,20.30M,144.20M,,1.22,,1.212,1.22,,1.21,,1.203,1.21,,95.10M,95.80M,0.21,,AOR,Restated
2018-06,704.70M,704.70M,399.10M,305.60M,162.20M,,13.40M,0.10M,-13.30M,162.20M,143.40M,0.10M,13.40M,-13.30M,1.50M,-13.30M,131.60M,17.60M,114.00M,,-0.10M,113.90M,113.38M,168.00M,23.00M,145.00M,,1.20,,1.195,1.20,,1.19,,1.185,1.19,,95.00M,95.60M,0.21,,AOR,Restated
2018-03,613.10M,613.10M,355.30M,257.80M,159.10M,,12.90M,0.20M,-12.70M,159.10M,98.70M,0.20M,12.90M,-12.70M,0.20M,-12.70M,86.20M,13.80M,72.40M,,-0.20M,72.20M,72.54M,121.60M,22.50M,99.10M,,0.76,,0.7635,0.76,,0.75,,0.7535,0.75,,95.10M,95.80M,0.21,,AOR,Restated
2017-12,623.10M,623.10M,347.10M,276.00M,145.10M,,56.00M,0.60M,-55.40M,145.10M,130.90M,0.60M,56.00M,-55.40M,2.70M,-55.40M,78.20M,66.10M,12.10M,,-2.50M,9.60M,9.78M,151.20M,17.00M,134.20M,,0.10,,0.1019,0.10,,0.10,,0.1019,0.10,,94.80M,96.00M,0.16,,AOR,Restated
2017-09,609.40M,609.40M,335.00M,274.40M,147.30M,,17.80M,0.30M,-17.50M,147.30M,127.10M,0.30M,17.80M,-17.50M,2.40M,-17.50M,112.00M,21.90M,90.10M,,-0.30M,89.80M,89.72M,147.00M,17.20M,129.80M,,0.95,,0.9492,0.95,,0.94,,0.9392,0.94,,95.00M,95.80M,0.16,,AOR,Restated
2017-06,627.00M,627.00M,345.70M,281.30M,146.30M,,16.10M,0.20M,-15.90M,146.30M,135.00M,0.20M,16.10M,-15.90M,4.10M,-15.90M,123.20M,17.40M,105.80M,,-0.30M,105.50M,105.84M,155.50M,16.20M,139.30M,,1.11,,1.114,1.11,,1.10,,1.104,1.10,,95.20M,95.90M,0.16,,AOR,Restated
2017-03,548.80M,548.80M,307.60M,241.20M,141.70M,,15.90M,0.10M,-15.80M,141.70M,99.50M,0.10M,15.90M,-15.80M,-1.40M,-15.80M,82.30M,13.60M,68.70M,,-0.30M,68.40M,68.48M,114.70M,16.50M,98.20M,,0.72,,0.7209,0.72,,0.71,,0.7109,0.71,,95.30M,96.10M,0.16,,AOR,Restated
2016-12,569.70M,569.70M,327.20M,242.50M,136.50M,0.00,15.90M,0.00,-15.90M,136.50M,106.00M,0.00,15.90M,-15.90M,-7.60M,-15.90M,82.50M,7.50M,75.00M,,-0.20M,74.80M,73.98M,114.60M,16.20M,98.40M,,0.78,0.00,0.7714,0.78,,0.77,0.00,0.7616,0.77,,95.50M,97.20M,0.12,,AOR,Restated
2016-09,581.10M,581.10M,317.60M,263.50M,142.00M,-84.40M,15.60M,0.50M,-15.10M,142.00M,121.50M,0.50M,15.60M,-15.10M,-85.30M,-15.10M,21.10M,19.10M,2.00M,,-0.40M,1.60M,52.54M,53.90M,17.20M,36.70M,,0.02,,0.5506,0.02,,0.02,,0.5457,0.02,,96.00M,96.90M,0.12,,AOR,Restated
2016-06,584.90M,584.90M,317.50M,267.40M,143.10M,,16.50M,0.90M,-15.60M,143.10M,124.30M,0.90M,16.50M,-15.60M,7.70M,-15.60M,116.40M,21.00M,95.40M,,-0.40M,95.00M,94.51M,150.00M,17.10M,132.90M,,0.99,,0.9849,0.99,,0.98,,0.9749,0.98,,95.80M,96.80M,0.12,,AOR,Restated
2016-03,502.30M,502.30M,286.00M,216.30M,133.80M,,16.30M,0.50M,-15.80M,133.80M,82.50M,0.50M,16.30M,-15.80M,8.30M,-15.80M,75.00M,16.20M,58.80M,,-1.10M,57.70M,60.05M,107.70M,16.40M,91.30M,,0.60,,0.6245,0.60,,0.60,,0.6243,0.60,,95.90M,96.90M,0.12,,AOR,Restated
2015-12,545.40M,545.40M,325.20M,220.20M,138.70M,2.50M,16.30M,0.40M,-15.90M,138.70M,81.50M,0.40M,16.30M,-15.90M,10.20M,-15.90M,75.80M,3.80M,72.00M,0.00,-0.10M,71.90M,70.67M,107.80M,15.70M,92.10M,,0.75,0.00,0.7372,0.75,,0.74,0.00,0.7273,0.74,,96.20M,96.90M,0.10,,AOR,Restated
2015-09,544.50M,544.50M,304.50M,240.00M,129.60M,-106.70M,13.70M,0.30M,-13.40M,129.60M,110.40M,0.30M,13.70M,-13.40M,-103.80M,-13.40M,-6.80M,19.40M,-26.20M,-0.20M,-0.90M,-27.30M,36.80M,19.60M,12.70M,6.90M,,-0.28,0.00,0.3863,-0.28,,-0.28,0.00,0.3863,-0.28,,95.90M,95.90M,0.10,,AOR,Restated
