,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,4.644B,4.644B,3.065B,1.579B,1.382B,1.382B,,91.00M,114.00M,222.00M,2.00M,-220.00M,,1.986B,-407.00M,2.00M,222.00M,-220.00M,110.00M,-220.00M,-517.00M,-275.00M,-242.00M,,,-242.00M,-308.43M,212.00M,507.00M,-295.00M,-0.76,,,-0.9357,-0.76,-0.76,,,,2020-09,378.00M,378.00M,0.6375,,2020-09,AOR,
2020-06,2.987B,2.987B,1.83B,1.157B,83.00M,83.00M,,71.00M,103.00M,229.00M,7.00M,-222.00M,,675.00M,482.00M,7.00M,229.00M,-222.00M,92.00M,-222.00M,352.00M,4.00M,348.00M,,,348.00M,277.81M,1.085B,504.00M,581.00M,0.85,,,0.6628,0.85,0.85,,,,2020-06,375.00M,376.00M,0.6375,,2020-06,AOR,
2020-03,2.79B,2.79B,1.809B,981.00M,84.00M,84.00M,,31.00M,111.00M,225.00M,9.00M,-216.00M,,679.00M,302.00M,9.00M,225.00M,-216.00M,43.00M,-216.00M,129.00M,-84.00M,213.00M,,,213.00M,190.37M,855.00M,501.00M,354.00M,0.50,,,0.4377,0.50,0.50,,,,2020-03,363.00M,364.00M,0.6375,,2020-03,AOR,
2019-12,2.97B,2.97B,1.758B,1.212B,340.00M,340.00M,,20.00M,97.00M,222.00M,8.00M,-214.00M,0.00,907.00M,305.00M,8.00M,222.00M,-214.00M,16.00M,-214.00M,107.00M,-66.00M,173.00M,,,173.00M,158.40M,816.00M,487.00M,329.00M,0.40,0.00,,0.3596,0.40,0.40,0.00,,,2019-12,361.00M,362.00M,0.6375,,2019-12,AOR,
2019-09,3.741B,3.741B,2.482B,1.259B,67.00M,67.00M,,35.00M,99.00M,214.00M,13.00M,-201.00M,-2.00M,623.00M,636.00M,13.00M,214.00M,-201.00M,45.00M,-201.00M,480.00M,-22.00M,502.00M,,,502.00M,476.45M,1.173B,479.00M,694.00M,1.36,,,1.286,1.36,1.35,,,,2019-09,347.00M,349.00M,0.6125,,2019-09,AOR,Restated
2019-06,2.812B,2.812B,1.73B,1.082B,0.00,0.00,,-129.00M,93.00M,211.00M,7.00M,-204.00M,-2.00M,412.00M,670.00M,7.00M,211.00M,-204.00M,-122.00M,-204.00M,344.00M,-78.00M,422.00M,,,422.00M,516.17M,894.00M,339.00M,555.00M,1.20,,,1.489,1.20,1.20,,,,2019-06,326.00M,327.00M,0.6125,,2019-06,AOR,Restated
2019-03,2.824B,2.824B,1.887B,937.00M,0.00,0.00,,26.00M,110.00M,194.00M,9.00M,-185.00M,-5.00M,585.00M,352.00M,9.00M,194.00M,-185.00M,29.00M,-185.00M,196.00M,-112.00M,308.00M,,,308.00M,289.02M,888.00M,498.00M,390.00M,0.85,,,0.7918,0.85,0.85,,,,2019-03,326.00M,327.00M,0.6125,,2019-03,AOR,Restated
2018-12,3.009B,3.009B,1.791B,1.218B,,,,16.00M,94.00M,196.00M,9.00M,-187.00M,-2.00M,3.241B,-2.023B,9.00M,196.00M,-187.00M,-6.00M,-187.00M,-2.216B,-782.00M,-1.434B,,,-1.40B,-1.444B,-1.54B,301.00M,-2.02B,-4.49,0.10,,-4.522,-4.39,-4.49,0.10,,,2018-12,326.00M,326.00M,0.6125,,2018-12,AOR,Restated
2018-09,4.269B,4.269B,2.98B,1.289B,,,,59.00M,97.00M,188.00M,6.00M,-182.00M,-2.00M,561.00M,728.00M,6.00M,188.00M,-182.00M,81.00M,-182.00M,627.00M,83.00M,544.00M,,,544.00M,492.79M,1.38B,565.00M,815.00M,1.57,,,1.413,1.57,1.57,,,,2018-09,326.00M,327.00M,0.605,,2018-09,AOR,Restated
2018-06,2.815B,2.815B,1.831B,984.00M,,,5.00M,23.00M,97.00M,180.00M,5.00M,-175.00M,-1.00M,559.00M,425.00M,5.00M,180.00M,-175.00M,39.00M,-175.00M,289.00M,-9.00M,298.00M,,,306.00M,289.21M,1.064B,595.00M,469.00M,0.85,0.00,,0.7985,0.85,0.84,0.00,,,2018-06,326.00M,327.00M,0.605,,2018-06,AOR,Restated
2018-03,2.564B,2.564B,1.601B,963.00M,,,66.00M,-36.00M,107.00M,170.00M,4.00M,-166.00M,-2.00M,567.00M,396.00M,4.00M,170.00M,-166.00M,-19.00M,-166.00M,211.00M,-31.00M,242.00M,,,248.00M,274.28M,860.00M,479.00M,381.00M,0.67,0.00,,0.7506,0.67,0.67,0.00,,,2018-03,326.00M,327.00M,0.605,,2018-03,AOR,Restated
2017-12,3.22B,3.22B,1.944B,1.276B,,,,-686.00M,93.00M,166.00M,2.00M,-164.00M,-1.00M,598.00M,678.00M,2.00M,166.00M,-164.00M,-684.00M,-164.00M,-170.00M,364.00M,-534.00M,,,-515.00M,-103.40M,530.00M,534.00M,-4.00M,-1.67,0.00,,-0.4074,-1.67,-1.67,0.00,,,2017-12,326.00M,326.00M,0.605,,2017-12,AOR,Restated
2017-09,3.672B,3.672B,2.504B,1.168B,,,0.00,36.00M,98.00M,162.00M,3.00M,-159.00M,-7.00M,615.00M,553.00M,3.00M,162.00M,-159.00M,38.00M,-159.00M,432.00M,-69.00M,501.00M,,,502.00M,480.40M,1.133B,539.00M,594.00M,1.44,,,1.374,1.44,1.43,,,,2017-09,326.00M,328.00M,0.5425,,2017-09,AOR,Restated
2017-06,2.965B,2.965B,1.881B,1.084B,,,16.00M,17.00M,86.00M,159.00M,1.00M,-158.00M,,598.00M,486.00M,1.00M,159.00M,-158.00M,7.00M,-158.00M,335.00M,26.00M,309.00M,,,309.00M,293.32M,1.016B,522.00M,494.00M,0.85,0.00,,0.8019,0.85,0.85,0.00,,,2017-06,326.00M,329.00M,0.5425,,2017-06,AOR,Restated
2017-03,2.463B,2.463B,1.388B,1.075B,,,5.00M,26.00M,100.00M,152.00M,1.00M,-151.00M,,599.00M,476.00M,1.00M,152.00M,-151.00M,27.00M,-151.00M,352.00M,-40.00M,392.00M,,,393.00M,377.40M,1.024B,520.00M,504.00M,1.11,0.00,,1.062,1.11,1.10,0.00,,,2017-03,326.00M,329.00M,0.5425,,2017-03,AOR,Restated
2016-12,2.884B,2.884B,1.759B,1.125B,,,21.00M,5.00M,85.00M,150.00M,-1.00M,-151.00M,,567.00M,558.00M,-1.00M,150.00M,-151.00M,21.00M,-151.00M,428.00M,81.00M,347.00M,13.00M,,360.00M,342.95M,1.101B,523.00M,578.00M,1.02,0.04,,1.008,1.06,1.01,0.04,,,2016-12,326.00M,330.00M,0.5425,,2016-12,AOR,Restated
2016-09,3.767B,3.767B,2.459B,1.308B,,,0.00,28.00M,92.00M,147.00M,1.00M,-146.00M,,613.00M,695.00M,1.00M,147.00M,-146.00M,22.00M,-146.00M,571.00M,120.00M,451.00M,0.00,,452.00M,430.50M,1.268B,550.00M,718.00M,1.29,0.00,,1.224,1.29,1.27,0.00,,,2016-09,326.00M,330.00M,0.48,,2016-09,AOR,Restated
2016-06,2.777B,2.777B,1.785B,992.00M,,,21.00M,9.00M,85.00M,144.00M,2.00M,-142.00M,,590.00M,402.00M,2.00M,144.00M,-142.00M,-1.00M,-142.00M,259.00M,-51.00M,310.00M,-2.00M,,311.00M,307.60M,929.00M,526.00M,403.00M,0.87,-0.01,,0.8534,0.86,0.86,-0.01,,,2016-06,326.00M,330.00M,0.48,,2016-06,AOR,Restated
2016-03,2.44B,2.44B,1.423B,1.017B,,,0.00,29.00M,92.00M,140.00M,0.00,-140.00M,,569.00M,448.00M,0.00,140.00M,-140.00M,25.00M,-140.00M,333.00M,28.00M,305.00M,1.00M,,311.00M,283.44M,972.00M,499.00M,473.00M,0.86,0.00,,0.7785,0.86,0.85,0.00,,,2016-03,326.00M,329.00M,0.48,,2016-03,AOR,Restated
2015-12,2.341B,2.341B,1.449B,892.00M,,,5.00M,23.00M,81.00M,135.00M,0.00,-135.00M,,549.00M,343.00M,0.00,135.00M,-135.00M,36.00M,-135.00M,244.00M,291.00M,-47.00M,-8.00M,,-50.00M,-55.80M,869.00M,490.00M,379.00M,-0.22,-0.02,,-0.2623,-0.24,-0.22,-0.02,,,2015-12,326.00M,329.00M,0.48,,2015-12,AOR,Restated
2015-09,3.763B,3.763B,2.565B,1.198B,,,0.00,26.00M,84.00M,138.00M,1.00M,-137.00M,,590.00M,608.00M,1.00M,138.00M,-137.00M,16.00M,-137.00M,487.00M,82.00M,405.00M,43.00M,,449.00M,384.37M,1.153B,528.00M,625.00M,1.16,0.13,,1.094,1.29,1.15,0.13,,,2015-09,326.00M,328.00M,0.4175,,2015-09,AOR,Restated
2015-06,2.908B,2.908B,1.821B,1.087B,,,0.00,28.00M,82.00M,138.00M,2.00M,-136.00M,,563.00M,524.00M,2.00M,138.00M,-136.00M,24.00M,-136.00M,412.00M,6.00M,406.00M,0.00,,407.00M,379.42M,1.052B,502.00M,550.00M,1.16,0.00,,1.075,1.16,1.15,0.00,,,2015-06,326.00M,328.00M,0.4175,,2015-06,AOR,Restated
2015-03,2.512B,2.512B,1.422B,1.09B,,,,31.00M,89.00M,143.00M,1.00M,-142.00M,,552.00M,538.00M,1.00M,143.00M,-142.00M,28.00M,-142.00M,424.00M,106.00M,318.00M,0.00,,327.00M,303.75M,1.052B,485.00M,567.00M,0.92,0.00,,0.8487,0.92,0.91,0.00,,,2015-03,326.00M,329.00M,0.4175,,2015-03,AOR,Restated
2014-12,3.115B,3.115B,1.934B,1.181B,,,-71.00M,99.00M,87.00M,138.00M,-1.00M,-139.00M,,559.00M,622.00M,-1.00M,138.00M,-139.00M,82.00M,-139.00M,565.00M,159.00M,406.00M,39.00M,,448.00M,337.86M,1.206B,503.00M,703.00M,1.17,0.12,,0.9518,1.29,1.15,0.12,,,2014-12,326.00M,329.00M,0.4175,,2014-12,AOR,Restated
2014-09,4.356B,4.356B,2.984B,1.372B,,,-3.00M,16.00M,77.00M,141.00M,1.00M,-140.00M,,501.00M,871.00M,1.00M,141.00M,-140.00M,13.00M,-140.00M,744.00M,220.00M,524.00M,-16.00M,,508.00M,512.74M,1.333B,448.00M,885.00M,1.52,-0.05,,1.485,1.47,1.51,-0.05,,,2014-09,326.00M,329.00M,0.355,,2014-09,AOR,Restated
2014-06,3.016B,3.016B,1.954B,1.062B,,,0.00,41.00M,73.00M,139.00M,3.00M,-136.00M,,487.00M,575.00M,3.00M,139.00M,-136.00M,27.00M,-136.00M,466.00M,84.00M,382.00M,184.00M,,566.00M,348.38M,1.037B,432.00M,605.00M,1.08,0.56,,0.9769,1.64,1.07,0.56,,,2014-06,326.00M,329.00M,0.355,,2014-06,AOR,Restated
2014-03,2.926B,2.926B,1.869B,1.057B,,,231.00M,-211.00M,85.00M,141.00M,2.00M,-139.00M,,495.00M,562.00M,2.00M,141.00M,-139.00M,-218.00M,-139.00M,205.00M,-19.00M,224.00M,-22.00M,,202.00M,361.15M,778.00M,432.00M,346.00M,0.61,-0.07,,1.031,0.54,0.61,-0.07,,,2014-03,326.00M,329.00M,0.355,,2014-03,AOR,Restated
2013-12,2.943B,2.943B,1.737B,1.206B,,,-4.00M,42.00M,,142.00M,2.00M,-140.00M,,707.00M,499.00M,2.00M,142.00M,-140.00M,-1.00M,-140.00M,358.00M,69.00M,289.00M,37.00M,,326.00M,255.09M,972.00M,472.00M,500.00M,0.82,0.11,,0.7160,0.93,0.80,0.11,,,2013-12,326.00M,329.00M,0.355,,2013-12,AOR,Restated
2013-09,3.96B,3.96B,2.779B,1.181B,,,0.00,24.00M,,137.00M,2.00M,-135.00M,,392.00M,789.00M,2.00M,137.00M,-135.00M,11.00M,-135.00M,665.00M,177.00M,488.00M,-25.00M,,463.00M,470.38M,1.194B,392.00M,802.00M,1.42,-0.08,,1.366,1.34,1.41,-0.08,,,2013-09,326.00M,328.00M,0.3375,,2013-09,AOR,Restated
2013-06,3.046B,3.046B,2.124B,922.00M,,,575.00M,-550.00M,,133.00M,4.00M,-129.00M,,418.00M,504.00M,4.00M,133.00M,-129.00M,-559.00M,-129.00M,-184.00M,-102.00M,-82.00M,12.00M,,-70.00M,275.50M,367.00M,418.00M,-51.00M,-0.33,0.04,,0.7666,-0.29,-0.33,0.04,,,2013-06,326.00M,326.00M,0.3375,,2013-06,AOR,Restated
