,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-242.00M,,,,,,507.00M,507.00M,-286.00M,,-28.00M,,-13.00M,-448.00M,-5.00M,,-7.00M,,1.267B,-299.00M,508.00M,446.00M,,2020-09,-1.383B,,,,61.00M,20.00M,,2020-09,370.00M,623.00M,993.00M,12.00M,,12.00M,,-308.00M,-308.00M,454.00M,0.00,-36.00M,424.00M,,526.00M,-432.00M,,94.00M,,2020-09,12.00M,266.00M,-308.00M,,,,2020-09,AOR,
2020-06,348.00M,,,,,,504.00M,504.00M,0.00,,-18.00M,,-14.00M,-5.00M,-20.00M,,143.00M,,,-628.00M,-510.00M,310.00M,,2020-06,-1.246B,,,,76.00M,56.00M,,2020-06,-567.00M,0.00,-567.00M,810.00M,,810.00M,,,,-454.00M,1.00M,-24.00M,-8.00M,,1.338B,-812.00M,,526.00M,,2020-06,810.00M,-1.574B,,,,,2020-06,AOR,
2020-03,213.00M,,,,,,501.00M,501.00M,-58.00M,,,,100.00M,-30.00M,1.00M,,-129.00M,,,-283.00M,-441.00M,315.00M,,2020-03,-1.268B,,,,-14.00M,4.00M,,2020-03,2.954B,-550.00M,2.404B,74.00M,,74.00M,,,,,10.00M,-31.00M,2.231B,,70.00M,1.268B,,1.338B,,2020-03,74.00M,-590.00M,,,,,2020-03,AOR,
2019-12,173.00M,,,,,,487.00M,487.00M,-63.00M,,18.00M,,-19.00M,592.00M,-15.00M,,4.00M,,-101.00M,-566.00M,-86.00M,510.00M,,2019-12,-1.38B,,,,-8.00M,55.00M,,2019-12,-207.00M,550.00M,343.00M,226.00M,,226.00M,,0.00,0.00,-810.00M,7.00M,-15.00M,345.00M,,548.00M,-478.00M,,70.00M,,2019-12,226.00M,-1.001B,0.00,,,,2019-12,AOR,
2019-09,502.00M,,,,,,479.00M,479.00M,-39.00M,,0.00,,-2.356B,-311.00M,-19.00M,,63.00M,,0.00,266.00M,-1.00M,-1.415B,,2019-09,-1.262B,,,,42.00M,11.00M,,2019-09,1.18B,-213.00M,967.00M,2.165B,,2.165B,,0.00,0.00,399.00M,10.00M,-40.00M,2.907B,,265.00M,283.00M,,548.00M,,2019-09,2.165B,469.00M,0.00,,,,2019-09,AOR,Restated
2019-06,422.00M,,,,,,339.00M,339.00M,-68.00M,,166.00M,,-19.00M,-81.00M,-19.00M,,190.00M,,,-542.00M,-452.00M,388.00M,,2019-06,-1.161B,,,,-1.00M,12.00M,,2019-06,844.00M,29.00M,873.00M,0.00,,0.00,,,,-399.00M,-4.00M,-28.00M,642.00M,,385.00M,-120.00M,,265.00M,,2019-06,0.00,-722.00M,,,,,2019-06,AOR,Restated
2019-03,308.00M,,,,,,498.00M,498.00M,-114.00M,,,,-89.00M,9.00M,-30.00M,,31.00M,,,-403.00M,-393.00M,210.00M,,2019-03,-1.074B,,,,73.00M,15.00M,,2019-03,1.797B,-538.00M,1.259B,0.00,,0.00,,,,,-19.00M,-31.00M,1.009B,,152.00M,233.00M,,385.00M,,2019-03,0.00,-578.00M,,,,,2019-03,AOR,Restated
2018-12,-1.434B,,,,,,301.00M,301.00M,-660.00M,,18.00M,,-64.00M,-1.714B,-24.00M,,-51.00M,,,-135.00M,2.745B,906.00M,,2018-12,-1.268B,,,0.00,23.00M,19.00M,,2018-12,0.00,617.00M,617.00M,0.00,,0.00,,,,-197.00M,-3.00M,-24.00M,393.00M,,79.00M,73.00M,,152.00M,,2018-12,0.00,0.00,,,595.00M,,2018-12,AOR,Restated
2018-09,544.00M,,,,,,565.00M,565.00M,138.00M,,-11.00M,,-32.00M,-267.00M,-11.00M,,24.00M,,,104.00M,-150.00M,1.054B,,2018-09,-1.082B,,,0.00,13.00M,44.00M,,2018-09,379.00M,-197.00M,182.00M,0.00,,0.00,,,,-197.00M,-5.00M,-37.00M,-57.00M,,107.00M,-28.00M,,79.00M,,2018-09,0.00,-441.00M,,,-254.00M,,2018-09,AOR,Restated
2018-06,298.00M,,,,,,595.00M,595.00M,-9.00M,,5.00M,,-53.00M,-135.00M,-7.00M,,212.00M,,,-548.00M,-478.00M,358.00M,,2018-06,-1.022B,,,78.00M,49.00M,4.00M,,2018-06,462.00M,230.00M,692.00M,,,,,,,-197.00M,-4.00M,0.00,491.00M,,106.00M,-42.00M,,107.00M,,2018-06,,-172.00M,,,90.00M,,2018-06,AOR,Restated
