,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,452.14M,452.14M,329.79M,,329.79M,215.48M,54.31M,116.12M,385.91M,101.37M,,,1.269B,,,,,,575.70M,-315.50M,260.20M,918.29M,163.43M,1.082B,15.92M,76.95M,1.435B,2.704B,,110.65M,38.87M,149.52M,112.90M,262.42M,,,,,,46.90M,46.90M,15.39M,324.71M,421.00M,421.00M,15.73M,15.73M,,67.25M,,,593.07M,917.78M,,5.364M,1.880B,,,-99.42M,1.786B,,AOR,Restated
2017-12,519.09M,519.09M,346.69M,,346.69M,210.62M,47.40M,114.17M,372.18M,81.92M,,,1.387B,0.00,22.76M,167.64M,379.75M,,570.16M,-306.17M,264.00M,909.81M,168.13M,1.078B,21.00M,59.87M,1.423B,2.810B,,106.39M,64.14M,170.52M,123.42M,293.95M,,,,,,46.29M,46.29M,54.70M,394.93M,420.68M,420.68M,12.50M,12.50M,,59.87M,,,580.54M,975.47M,,91.16M,1.857B,,,-113.36M,1.835B,,AOR,Restated
2017-09,436.96M,436.96M,345.54M,,345.54M,223.82M,52.29M,136.90M,413.00M,86.57M,,,1.282B,,,,,,583.62M,-313.60M,270.02M,930.85M,183.68M,1.115B,51.18M,48.47M,1.484B,2.766B,,127.42M,46.18M,173.60M,131.48M,305.08M,,,,,,48.28M,48.28M,14.59M,367.94M,420.37M,420.37M,14.57M,14.57M,,59.83M,,,508.82M,876.76M,,72.12M,1.928B,,,-110.47M,1.890B,,AOR,Restated
2017-06,403.59M,403.59M,332.01M,,332.01M,217.11M,58.53M,129.68M,405.33M,83.18M,,,1.224B,,,,,,572.69M,-300.30M,272.39M,920.36M,190.06M,1.110B,48.82M,47.77M,1.479B,2.704B,,113.96M,36.57M,150.53M,110.44M,260.97M,,,,15.00M,15.00M,62.20M,62.20M,11.45M,349.62M,491.30M,491.30M,14.02M,14.02M,,58.15M,,,573.25M,922.87M,,25.49M,1.885B,,,-129.97M,1.781B,,AOR,Restated
2017-03,397.44M,397.44M,308.74M,,308.74M,204.73M,54.93M,126.39M,386.06M,83.93M,,,1.176B,,,,,,557.76M,-284.90M,272.86M,896.44M,193.10M,1.090B,45.32M,46.52M,1.454B,2.630B,,110.01M,48.50M,158.51M,96.67M,255.18M,,,,15.00M,15.00M,60.82M,60.82M,10.18M,341.18M,494.74M,494.74M,2.479M,2.479M,,62.78M,,,569.65M,910.83M,,17.88M,1.854B,,,-152.56M,1.720B,,AOR,Restated
2016-12,361.35M,361.35M,352.02M,,352.02M,200.64M,43.43M,127.30M,371.37M,79.92M,,,1.165B,0.00,22.33M,162.70M,361.82M,,546.85M,-275.06M,271.78M,801.41M,168.46M,969.87M,45.24M,168.16M,1.455B,2.620B,,114.22M,51.02M,165.24M,104.37M,269.61M,,,,15.00M,15.00M,60.44M,60.44M,16.66M,361.71M,501.92M,501.92M,2.331M,2.331M,,65.77M,,,579.67M,941.38M,,12.14M,1.832B,,,-165.95M,1.678B,,AOR,Restated
2016-09,677.69M,677.69M,309.60M,,309.60M,192.06M,55.01M,133.16M,380.22M,88.62M,,,1.456B,,,,,,540.35M,-273.20M,267.15M,626.24M,135.88M,762.12M,55.19M,47.29M,1.132B,2.588B,,109.66M,6.133M,115.80M,106.48M,222.28M,,,,15.00M,15.00M,65.23M,65.23M,8.134M,310.65M,501.61M,501.61M,3.711M,3.711M,,,,65.13M,623.84M,934.49M,,1.361M,1.787B,,,-134.95M,1.653B,,AOR,Restated
2016-06,903.18M,903.18M,279.32M,,279.32M,202.34M,51.60M,133.45M,387.39M,87.93M,,,1.658B,,,,,,541.53M,-269.80M,271.73M,592.95M,133.36M,726.31M,55.58M,83.52M,1.137B,2.795B,,101.17M,3.007M,104.18M,96.89M,201.06M,,,,264.92M,264.92M,51.93M,51.93M,4.441M,522.36M,505.04M,505.04M,3.893M,3.893M,,,,64.31M,625.05M,1.147B,,1.373M,1.774B,,,-127.52M,1.648B,,AOR,Restated
2016-03,510.61M,510.61M,298.53M,,298.53M,214.86M,49.71M,134.29M,398.87M,82.22M,,,1.290B,,,,,,539.85M,-264.70M,275.15M,601.25M,138.64M,739.89M,55.88M,52.07M,1.123B,2.413B,,106.39M,3.227M,109.62M,102.05M,211.67M,,,,264.81M,264.81M,52.63M,52.63M,6.038M,535.15M,90.00M,90.00M,3.787M,3.787M,,,,62.62M,210.03M,745.18M,,12.58M,1.758B,,,-102.43M,1.668B,,AOR,Restated
2015-12,472.78M,472.78M,326.10M,,326.10M,216.11M,38.64M,138.35M,393.09M,95.54M,,,1.288B,0.00,22.97M,163.42M,339.62M,,526.01M,-253.38M,272.63M,596.32M,141.30M,737.62M,55.43M,53.21M,1.119B,2.406B,,139.54M,0.201M,139.74M,109.14M,248.88M,,,,264.69M,264.69M,65.78M,65.78M,5.987M,585.34M,93.75M,93.75M,3.623M,3.623M,,63.71M,,,171.54M,756.88M,,1.374M,1.773B,,,-125.13M,1.650B,,AOR,Restated
