,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-06,284.52M,284.52M,268.47M,,268.47M,160.42M,43.76M,39.06M,243.25M,89.43M,13.34M,,899.01M,,,,,,178.27M,-0.1147M,178.16M,267.49M,59.68M,327.17M,11.42M,155.66M,672.40M,1.571B,,71.35M,,71.35M,98.83M,170.18M,,,,,,17.18M,17.18M,11.85M,199.21M,,,1.432M,1.432M,5.176M,42.98M,,,49.59M,248.80M,,433.03M,922.65M,,,-33.07M,1.323B,,AOR,Restated
2010-03,461.82M,461.82M,224.40M,,224.40M,158.99M,47.44M,16.64M,223.08M,71.22M,13.11M,,993.62M,,,,,,277.67M,-109.40M,168.27M,272.86M,59.23M,332.08M,5.391M,30.95M,536.69M,1.530B,,66.23M,,66.23M,80.82M,147.04M,,,,,,14.98M,14.98M,10.35M,172.38M,58.50M,58.50M,3.328M,3.328M,4.85M,37.68M,,,104.36M,276.74M,,396.89M,863.20M,,,-6.518M,1.254B,,AOR,Restated
2009-12,422.05M,422.05M,234.97M,,234.97M,144.56M,37.73M,34.21M,216.50M,93.28M,13.23M,,980.03M,0.00,6.942M,39.21M,195.88M,,242.03M,-102.92M,139.11M,262.33M,59.18M,321.51M,5.322M,48.57M,514.52M,1.495B,,53.32M,20.05M,73.37M,83.80M,157.18M,,,,,,20.99M,20.99M,8.723M,186.89M,57.99M,57.99M,2.222M,2.222M,,39.15M,,4.55M,103.91M,290.80M,,389.32M,807.30M,,,7.13M,1.204B,,AOR,Restated
2009-09,403.32M,403.32M,209.08M,,209.08M,135.00M,47.12M,39.58M,221.69M,77.06M,16.83M,,927.98M,,,,,,237.12M,-98.90M,138.22M,239.06M,51.11M,290.17M,8.152M,31.72M,468.26M,1.396B,,55.75M,,55.75M,79.72M,135.47M,,,,,,21.88M,21.88M,2.588M,159.94M,60.20M,60.20M,6.311M,6.311M,4.568M,36.28M,,,107.36M,267.30M,,367.23M,747.05M,,,14.67M,1.129B,,AOR,Restated
2009-06,346.40M,346.40M,214.59M,,214.59M,129.01M,43.40M,47.27M,219.68M,66.28M,16.65M,,863.61M,,,,,,236.88M,-98.90M,137.98M,226.94M,50.84M,277.78M,5.277M,36.19M,457.23M,1.321B,,59.14M,,59.14M,72.09M,131.23M,,,,0.021M,0.021M,23.95M,23.95M,1.607M,156.81M,88.89M,88.89M,4.966M,4.966M,6.183M,34.88M,,,134.91M,291.72M,,350.18M,687.02M,,,-8.074M,1.029B,,AOR,Restated
2009-03,327.26M,327.26M,234.40M,,234.40M,128.42M,40.16M,41.94M,210.52M,55.09M,16.54M,,843.82M,,,,,,214.54M,-89.40M,125.14M,221.40M,52.30M,273.70M,3.861M,22.28M,424.98M,1.269B,,59.40M,,59.40M,88.27M,147.67M,,,,0.018M,0.018M,25.11M,25.11M,1.858M,174.66M,88.16M,88.16M,5.158M,5.158M,6.025M,30.36M,,,129.70M,304.36M,,369.15M,631.36M,,,-36.07M,964.44M,,AOR,Restated
2008-12,289.44M,289.44M,239.18M,,239.18M,129.11M,40.32M,38.05M,207.49M,59.82M,16.57M,,812.50M,0.00,7.06M,33.58M,168.20M,,208.85M,-86.55M,122.30M,225.68M,56.17M,281.86M,2.217M,22.20M,428.58M,1.241B,,47.82M,,47.82M,92.32M,140.15M,,,,,,27.55M,27.55M,4.574M,172.28M,182.82M,182.82M,5.983M,5.983M,5.697M,29.57M,,,224.08M,396.35M,,282.85M,577.09M,,,-15.21M,844.72M,,,Restated
2008-09,206.10M,206.10M,241.65M,,241.65M,150.29M,38.72M,26.10M,215.12M,75.12M,10.96M,,748.95M,,,,,,204.95M,-80.02M,124.93M,224.67M,61.08M,285.75M,3.532M,24.72M,438.92M,1.188B,,63.29M,,63.29M,47.03M,110.32M,1.11M,,0.021M,1.131M,1.131M,31.47M,31.47M,38.52M,181.44M,208.57M,208.57M,1.649M,1.649M,,,,28.42M,238.64M,420.08M,,221.21M,527.44M,,,19.14M,767.80M,,,Restated
2008-06,177.00M,177.00M,230.36M,,230.36M,148.68M,37.51M,27.60M,213.79M,86.29M,10.92M,,718.36M,,,,,,209.94M,-80.02M,129.92M,177.85M,62.92M,240.76M,2.486M,88.48M,461.65M,1.180B,,67.33M,,67.33M,44.44M,111.78M,1.396M,,0.022M,1.418M,1.418M,24.07M,24.07M,38.95M,176.22M,208.36M,208.36M,2.01M,2.01M,,,,28.33M,238.70M,414.92M,,230.34M,471.81M,,,62.94M,765.10M,,,Restated
2008-03,159.09M,159.09M,208.80M,,208.80M,135.81M,34.82M,25.63M,196.26M,68.53M,10.88M,,643.57M,,,,,,209.60M,-80.02M,129.59M,177.72M,50.81M,228.54M,2.37M,83.38M,443.87M,1.087B,,63.44M,,63.44M,50.20M,113.65M,1.835M,,0.007M,1.842M,1.842M,22.53M,22.53M,33.32M,171.34M,208.11M,208.11M,1.95M,1.95M,,,,26.83M,236.89M,408.23M,,191.15M,426.37M,,,61.70M,679.21M,,,Restated
2007-12,203.68M,203.68M,203.37M,,203.37M,141.52M,25.88M,11.96M,179.37M,58.06M,11.03M,,655.51M,0.00,7.06M,34.02M,159.80M,,200.89M,-80.02M,120.87M,176.23M,52.82M,229.05M,2.237M,16.65M,368.81M,1.024B,,53.99M,,53.99M,49.78M,103.77M,19.00M,,0.007M,19.01M,19.01M,19.61M,19.61M,23.76M,166.14M,207.89M,207.89M,1.902M,1.902M,,,,25.11M,234.90M,401.04M,,197.51M,389.03M,,,36.73M,623.28M,,,
2007-09,169.94M,169.94M,177.83M,,177.83M,94.39M,27.24M,52.72M,174.35M,60.69M,,15.68M,598.50M,,,,,,175.63M,-61.75M,113.88M,163.04M,36.45M,199.49M,2.60M,17.72M,333.70M,932.20M,,53.30M,,53.30M,39.94M,93.25M,,,,0.007M,0.007M,19.45M,19.45M,22.25M,134.96M,207.67M,207.67M,4.667M,4.667M,,,,28.50M,240.84M,375.80M,,177.35M,342.44M,,,36.62M,556.40M,,,
2007-06,151.62M,151.62M,173.56M,,173.56M,112.52M,36.51M,13.93M,162.95M,44.72M,15.58M,,548.42M,,,,,,165.90M,-61.75M,104.15M,159.71M,40.38M,200.08M,1.811M,16.57M,322.62M,871.04M,,47.10M,,47.10M,34.25M,81.35M,22.00M,,0.007M,22.01M,22.01M,17.45M,17.45M,20.34M,141.14M,207.46M,207.46M,4.816M,4.816M,,,,26.05M,238.32M,379.46M,,162.29M,307.67M,,,21.61M,491.58M,,,
2007-03,153.46M,153.46M,153.73M,,153.73M,97.25M,38.68M,13.63M,149.56M,29.80M,15.64M,,502.19M,,,,,,157.54M,-61.75M,95.79M,159.49M,39.03M,198.52M,1.136M,17.00M,312.44M,814.63M,,45.16M,,45.16M,33.28M,78.44M,28.50M,,0.007M,28.51M,28.51M,15.71M,15.71M,22.69M,145.35M,207.24M,207.24M,4.867M,4.867M,,,25.74M,,212.11M,357.46M,,136.11M,278.59M,,,16.74M,431.44M,,,
2006-12,138.62M,138.62M,167.50M,,167.50M,85.86M,35.06M,15.01M,135.93M,29.16M,15.26M,,486.47M,0.00,7.06M,32.34M,114.50M,,153.90M,-61.75M,92.16M,159.80M,40.92M,200.72M,3.687M,15.12M,311.68M,798.15M,,40.61M,,40.61M,48.34M,88.94M,45.50M,,0.007M,45.51M,45.51M,13.71M,13.71M,22.21M,170.37M,207.02M,207.02M,2.392M,2.392M,,,,19.61M,229.02M,399.40M,,126.09M,252.32M,,,20.34M,398.75M,,,
2006-09,112.37M,112.37M,133.90M,,133.90M,80.82M,34.12M,14.32M,129.26M,39.14M,21.28M,,435.96M,,,,,,128.98M,-52.59M,76.38M,159.02M,42.50M,201.52M,9.405M,17.11M,304.41M,740.37M,,34.69M,,34.69M,45.11M,79.80M,53.00M,,0.007M,53.01M,53.01M,11.62M,11.62M,17.18M,161.60M,206.81M,206.81M,2.799M,2.799M,,,,19.73M,229.33M,390.94M,,0.00,224.79M,116.55M,,8.098M,349.43M,,,
2006-06,143.32M,143.32M,125.89M,,125.89M,75.09M,33.50M,13.32M,121.90M,36.98M,18.71M,,446.80M,,,,,,127.22M,-52.59M,74.63M,159.63M,44.17M,203.81M,8.636M,15.78M,302.85M,749.66M,,35.56M,,35.56M,31.48M,67.04M,,,,0.007M,0.007M,11.85M,11.85M,14.56M,93.46M,206.59M,206.59M,10.64M,10.64M,,,,19.21M,236.44M,329.90M,,213.24M,197.72M,,,8.803M,419.76M,,,
2006-03,127.30M,127.30M,119.08M,,119.08M,70.45M,28.16M,12.65M,111.26M,36.07M,18.72M,,412.44M,,,,,,120.77M,-52.59M,68.17M,158.33M,45.75M,204.08M,8.032M,15.91M,296.19M,708.63M,,37.20M,,37.20M,25.09M,62.30M,,,,0.032M,0.032M,9.615M,9.615M,17.93M,89.87M,206.37M,206.37M,10.71M,10.71M,,,,18.66M,235.74M,325.62M,,0.00,176.31M,209.46M,,-2.755M,383.01M,,,
2005-12,107.06M,107.06M,142.78M,,142.78M,66.55M,23.99M,13.29M,103.84M,33.15M,22.17M,,409.00M,0.00,5.30M,20.12M,86.66M,,112.07M,-52.59M,59.48M,158.06M,46.90M,204.97M,,15.98M,280.43M,689.42M,,34.48M,,34.48M,31.19M,65.67M,,,,0.056M,0.056M,10.30M,10.30M,16.64M,92.66M,206.16M,206.16M,15.21M,15.21M,,,,18.41M,239.78M,332.44M,,212.23M,151.43M,,,-6.671M,356.98M,,,
2005-09,133.88M,133.88M,111.47M,,111.47M,59.73M,30.68M,13.40M,103.82M,22.90M,9.771M,,381.84M,,,,,,100.44M,-49.33M,51.11M,,195.38M,195.38M,24.01M,15.81M,286.31M,668.15M,,33.57M,,33.57M,28.57M,62.14M,,,,0.081M,0.081M,9.561M,9.561M,14.06M,85.84M,205.94M,205.94M,,,,,,16.87M,222.81M,308.64M,,231.14M,129.51M,,,-1.138M,359.51M,,,
2005-06,107.98M,107.98M,109.09M,,109.09M,,,,100.07M,21.45M,9.771M,,348.37M,,,,,,97.26M,-49.33M,47.93M,,193.40M,193.40M,18.71M,17.79M,277.83M,626.20M,,32.25M,,32.25M,28.02M,60.27M,,,,0.106M,0.106M,8.25M,8.25M,7.335M,75.96M,205.72M,205.72M,,,,,,16.67M,222.39M,298.35M,,,112.16M,,,215.68M,327.84M,,,
2005-03,125.61M,125.61M,107.00M,,107.00M,66.57M,25.91M,15.80M,108.28M,21.31M,9.771M,,371.97M,,,,,,94.51M,-49.33M,45.18M,,195.04M,195.04M,17.56M,14.51M,272.30M,644.27M,,32.27M,,32.27M,24.40M,56.67M,,,,0.105M,0.105M,11.76M,11.76M,16.59M,85.12M,205.53M,205.53M,,,,,,16.50M,222.03M,307.16M,,237.01M,87.59M,,,12.51M,337.11M,,,
2004-12,120.69M,120.69M,116.93M,,116.93M,62.91M,21.18M,14.17M,98.26M,21.77M,9.771M,,367.42M,0.00,1.40M,9.95M,72.75M,,84.10M,-49.33M,34.78M,,196.66M,196.66M,22.89M,8.691M,263.01M,630.43M,,32.32M,,32.32M,33.47M,65.79M,,,,0.105M,0.105M,7.601M,7.601M,15.59M,89.09M,205.34M,205.34M,10.32M,10.32M,,,,12.52M,228.17M,317.26M,,219.23M,72.88M,,,21.06M,313.17M,,,
2004-09,94.90M,94.90M,92.57M,2.95M,95.52M,54.32M,26.23M,13.49M,94.04M,22.81M,9.908M,,317.17M,,,,,,79.51M,-47.04M,32.46M,,198.00M,198.00M,6.50M,9.488M,246.45M,563.62M,,33.93M,,33.93M,21.50M,55.43M,,,,0.128M,0.128M,5.713M,5.713M,21.83M,83.10M,205.14M,205.14M,,,,,,11.76M,216.90M,300.00M,,207.16M,48.82M,,,7.641M,263.62M,,,
2004-06,67.00M,67.00M,89.06M,,89.06M,47.60M,24.97M,14.34M,86.92M,19.88M,9.908M,,272.76M,,,,,,78.93M,-47.04M,31.89M,,199.47M,199.47M,6.50M,8.887M,246.74M,519.50M,,29.08M,,29.08M,19.89M,48.97M,,,,0.128M,0.128M,5.075M,5.075M,18.99M,73.16M,204.95M,204.95M,,,,,,11.33M,216.28M,289.44M,,192.93M,32.00M,,,5.127M,230.06M,,,
2004-03,55.98M,55.98M,84.58M,1.994M,86.58M,46.50M,28.20M,12.91M,87.62M,19.48M,9.908M,,259.57M,,,,,,76.77M,-47.04M,29.73M,,199.95M,199.95M,6.50M,7.891M,244.07M,503.64M,,30.03M,,30.03M,17.13M,47.16M,,,,1.356M,1.356M,5.294M,5.294M,23.89M,77.70M,206.99M,206.99M,,,,,,11.02M,218.01M,295.70M,,188.66M,14.07M,,,5.204M,207.94M,,,
2003-12,197.99M,197.99M,79.33M,,79.33M,41.19M,25.68M,9.087M,75.96M,20.00M,8.832M,,382.11M,0.00,1.40M,9.151M,59.25M,,69.80M,-47.04M,22.76M,,16.54M,16.54M,21.15M,7.87M,68.31M,450.42M,,26.43M,,26.43M,19.03M,45.46M,,,,,,4.54M,4.54M,20.34M,70.34M,204.37M,204.37M,,,,,,10.88M,215.24M,285.58M,,0.329M,1.388M,155.82M,,7.30M,164.84M,,,
2003-09,202.92M,202.92M,64.89M,,64.89M,34.31M,24.14M,9.259M,67.70M,19.06M,8.887M,,363.46M,,,,,,52.30M,-40.66M,11.64M,,16.56M,16.56M,25.98M,6.874M,61.05M,424.51M,,23.70M,,23.70M,17.48M,41.18M,,,,,,4.476M,4.476M,20.07M,65.72M,204.15M,204.15M,,,,,,10.65M,214.80M,280.53M,,0.00,-13.58M,155.00M,,2.554M,143.98M,,,
2003-06,204.21M,204.21M,65.86M,,65.86M,32.92M,16.37M,5.982M,55.27M,18.50M,8.887M,,352.72M,,,,,,52.68M,-40.66M,12.03M,,16.59M,16.59M,25.98M,5.904M,60.50M,413.22M,,18.82M,,18.82M,13.72M,32.54M,,,,,,4.989M,4.989M,18.49M,56.01M,203.96M,203.96M,,,,,,9.974M,213.94M,269.95M,,0.00,-24.44M,167.57M,,0.139M,143.27M,,,
2003-03,48.09M,48.09M,57.75M,,57.75M,32.86M,15.52M,4.476M,52.86M,15.52M,8.887M,,183.11M,,,,,,52.92M,-40.66M,12.26M,,16.60M,16.60M,25.98M,5.918M,60.76M,243.87M,,18.89M,,18.89M,15.04M,33.93M,,,,,,4.481M,4.481M,17.15M,55.57M,,,,,,,,,9.386M,64.95M,,0.173M,-34.16M,214.83M,,-1.94M,178.91M,,,
2002-12,46.61M,46.61M,55.80M,,55.80M,32.82M,12.70M,4.616M,50.14M,12.67M,8.887M,,174.10M,,,,53.33M,,53.33M,-40.66M,12.68M,,16.65M,16.65M,25.98M,4.415M,59.72M,233.82M,,16.46M,,16.46M,22.49M,38.96M,,,,,,4.77M,4.77M,8.899M,52.63M,,,,,,,,,8.869M,61.50M,,0.173M,-43.30M,217.88M,,-2.42M,172.33M,,,
2002-09,27.72M,27.72M,52.61M,,52.61M,31.55M,15.01M,2.976M,49.53M,15.08M,8.834M,,153.78M,,,,,,50.31M,-37.43M,12.88M,,16.68M,16.68M,15.09M,2.962M,47.60M,201.39M,,18.93M,,18.93M,30.26M,49.18M,,,,0.003M,0.003M,5.314M,5.314M,,54.50M,,,,,,,,,6.432M,60.93M,,0.169M,-55.99M,200.71M,,-4.435M,140.45M,,,
2002-06,11.01M,11.01M,55.49M,,55.49M,31.88M,16.02M,2.736M,50.64M,13.99M,8.834M,,139.96M,,,,,,51.13M,-37.43M,13.70M,,16.80M,16.80M,15.09M,2.757M,48.34M,188.30M,,14.52M,,14.52M,29.00M,43.52M,3.685M,,0.126M,3.811M,3.811M,4.895M,4.895M,,52.23M,,,,,,,,,7.702M,59.93M,,0.168M,-66.64M,199.04M,,-4.199M,128.37M,,,
2002-03,8.271M,8.271M,50.89M,,50.89M,33.03M,15.12M,4.223M,52.37M,12.60M,8.834M,,132.97M,,,,49.96M,,49.96M,-37.43M,12.53M,,16.73M,16.73M,15.09M,2.783M,47.13M,180.10M,,22.00M,,22.00M,24.56M,46.55M,3.748M,,0.397M,4.145M,4.145M,5.017M,5.017M,,55.71M,,,,,,,,,8.96M,64.67M,,0.166M,-76.20M,196.16M,,-4.699M,115.43M,,,
2001-12,15.51M,15.51M,57.96M,,57.96M,28.44M,11.66M,6.459M,46.56M,11.55M,8.834M,,140.42M,,,,48.24M,,48.24M,-37.43M,10.81M,,16.81M,16.81M,15.09M,1.913M,44.62M,185.04M,,18.43M,,18.43M,23.28M,41.71M,23.37M,,0.584M,23.95M,23.95M,5.314M,5.314M,,70.98M,,,,,,,,,9.209M,80.19M,,0.165M,-84.86M,194.34M,,-4.791M,104.85M,,,
2001-09,13.08M,13.08M,41.17M,,41.17M,23.61M,11.14M,11.18M,45.93M,5.972M,11.94M,,118.09M,,,,,,53.34M,-39.88M,13.47M,,17.18M,17.18M,11.77M,1.486M,43.90M,162.00M,,10.99M,,10.99M,26.21M,37.20M,65.83M,,0.766M,66.60M,66.60M,,,,103.80M,,,,,,,,,8.948M,112.75M,,0.152M,-95.13M,149.58M,,-5.36M,49.24M,,,
2001-06,8.101M,8.101M,39.30M,,39.30M,28.07M,9.726M,7.937M,45.73M,3.138M,11.94M,,108.21M,,,,,,54.84M,-39.88M,14.96M,,16.03M,16.03M,11.77M,0.835M,43.60M,151.81M,,8.568M,,8.568M,24.23M,32.80M,7.138M,,0.916M,8.054M,8.054M,,,,40.85M,64.91M,64.91M,,,,,,6.451M,71.36M,112.21M,,0.148M,-101.30M,146.15M,,-5.392M,39.60M,,,
2001-03,9.014M,9.014M,36.24M,,36.24M,29.40M,10.61M,10.05M,50.06M,3.478M,11.94M,,110.73M,,,,,,15.12M,,15.12M,,16.36M,16.36M,11.77M,0.923M,44.18M,154.91M,,9.563M,,9.563M,21.33M,30.89M,13.50M,,0.863M,14.36M,14.36M,,,0.751M,46.01M,69.91M,69.91M,,,,,,7.007M,76.91M,122.92M,,0.146M,-106.92M,144.31M,,-5.547M,31.99M,,,
2000-12,11.86M,11.86M,39.66M,,39.66M,,,,55.84M,,,14.97M,122.34M,,,,,,55.28M,-39.88M,15.41M,,16.64M,16.64M,,12.61M,44.65M,166.99M,,16.25M,,16.25M,,16.25M,,,,18.82M,18.82M,,,21.40M,56.47M,75.48M,75.48M,,,,,,6.012M,81.50M,137.97M,,0.145M,-110.80M,144.12M,,-4.44M,29.02M,,,
2000-09,5.648M,5.648M,,,36.63M,,,,59.26M,,,12.96M,114.49M,,,,,,59.50M,-42.40M,17.10M,,16.98M,16.98M,,17.36M,51.44M,165.93M,,11.65M,,11.65M,,11.65M,,,,97.92M,97.92M,,,23.35M,132.92M,0.78M,0.78M,,,,,,3.471M,4.251M,137.17M,,0.145M,-110.13M,143.85M,,-5.103M,28.76M,,,
2000-06,6.627M,6.627M,,,43.48M,,,,67.56M,,,13.50M,131.17M,,,,,,59.74M,-40.58M,19.16M,,17.32M,17.32M,,17.11M,53.58M,184.76M,,12.31M,,12.31M,,12.31M,,,,97.25M,97.25M,,,20.64M,130.20M,1.067M,1.067M,,,,,,3.759M,4.826M,135.02M,,0.145M,-91.53M,143.77M,,-2.647M,49.73M,,,
2000-03,8.43M,8.43M,,,46.43M,,,,72.60M,,,14.81M,142.27M,,,,,,59.53M,-38.85M,20.68M,,17.59M,17.59M,,18.27M,56.55M,198.82M,,15.28M,,15.28M,,15.28M,,,,96.05M,96.05M,,,25.38M,136.71M,1.296M,1.296M,,,,,,3.849M,5.145M,141.86M,,0.144M,-84.27M,143.47M,,-2.39M,56.96M,,,
1999-12,4.255M,4.255M,,,57.78M,,,,64.37M,,,13.26M,139.66M,,,,,,58.61M,-37.81M,20.80M,,17.93M,17.93M,,18.33M,57.06M,196.72M,,22.13M,,22.13M,,22.13M,,,,82.33M,82.33M,,,24.68M,129.14M,1.497M,1.497M,,,,,,3.879M,5.376M,134.52M,,0.144M,-78.76M,143.32M,,-2.499M,62.20M,,,
1999-09,4.10M,4.10M,,,77.80M,,,,75.10M,,,14.20M,171.20M,,,,,,66.80M,-38.40M,28.40M,,15.10M,15.10M,,20.80M,64.30M,235.50M,,23.30M,,23.30M,,23.30M,,,,69.60M,69.60M,,,17.10M,110.00M,1.70M,1.70M,,,,,,3.90M,5.60M,115.60M,,0.10M,-21.90M,143.00M,,-1.30M,119.90M,,,
1999-06,5.40M,5.40M,,,68.70M,,,,76.20M,,,16.50M,166.80M,,,,,,60.20M,-33.00M,27.20M,,15.40M,15.40M,,20.90M,63.50M,230.30M,,31.90M,,31.90M,,31.90M,,,,69.00M,69.00M,,,14.50M,115.40M,0.80M,0.80M,,,,,,3.90M,4.70M,120.10M,,0.10M,-30.50M,142.40M,-1.80M,-1.80M,110.20M,,,
1999-03,6.90M,6.90M,,,69.90M,,,,66.00M,,,10.10M,152.90M,,,,,,58.30M,-31.40M,26.90M,,15.70M,15.70M,,23.10M,65.70M,218.60M,,19.80M,,19.80M,,19.80M,,,,69.80M,69.80M,,,17.50M,107.10M,0.90M,0.90M,,,,,,3.90M,4.80M,111.90M,,,-33.70M,,,,106.70M,,,
1998-12,4.793M,4.793M,,,84.44M,,,,71.42M,,,12.84M,173.49M,,,,,,49.20M,-22.43M,26.78M,,15.94M,15.94M,,20.31M,63.02M,236.51M,,24.03M,,24.03M,,24.03M,,,,42.64M,42.64M,,,30.47M,97.14M,19.30M,19.30M,,,,,,3.96M,23.26M,120.40M,,0.141M,-24.12M,142.17M,,-2.073M,116.11M,,,
1998-09,2.60M,2.60M,,,74.50M,,,,39.60M,,,3.80M,120.50M,,,,,,43.80M,-20.50M,23.30M,,13.30M,13.30M,,21.20M,57.80M,178.30M,,9.90M,,9.90M,,9.90M,,,,36.70M,36.70M,,,9.30M,55.90M,1.20M,1.20M,,,,,,4.20M,5.40M,61.30M,,,-14.10M,,,,117.00M,,,
1998-06,3.10M,3.10M,,,56.90M,,,,39.50M,,,3.30M,102.80M,,,,,,40.90M,-19.10M,21.80M,,13.50M,13.50M,,21.30M,56.60M,159.40M,,22.40M,,22.40M,,22.40M,,,,43.40M,43.40M,,,8.80M,74.60M,1.30M,1.30M,,,,,,4.10M,5.40M,80.00M,,,-19.30M,,,,79.40M,,,
1998-03,5.40M,5.40M,,,47.60M,,,,38.50M,,,4.20M,95.70M,,,,,,37.50M,-17.80M,19.70M,,13.80M,13.80M,,21.80M,55.30M,151.00M,,19.70M,,19.70M,,19.70M,,,,37.20M,37.20M,,,12.90M,69.80M,1.50M,1.50M,,,,,,4.00M,5.50M,75.30M,,,-22.00M,,,,75.70M,,,
1997-12,5.90M,5.90M,,,55.50M,,,,34.70M,,,10.40M,106.50M,,,,,,27.70M,-9.30M,18.40M,,14.00M,14.00M,,15.00M,47.40M,153.90M,,21.70M,,21.70M,,21.70M,,,,31.80M,31.80M,,,19.50M,73.00M,1.70M,1.70M,,,,,,4.00M,5.70M,78.70M,,,-22.30M,,,,75.20M,,,
1997-09,2.50M,2.50M,,,44.00M,,,,34.10M,,,1.30M,81.90M,,,,,,18.90M,-8.50M,10.40M,,,,,4.00M,14.40M,96.30M,,6.70M,,6.70M,,6.70M,,,,23.10M,23.10M,,,5.90M,35.70M,5.50M,5.50M,,,,,,-0.10M,5.40M,41.10M,,,12.20M,,,,55.20M,,,
1997-06,1.40M,1.40M,,,35.60M,,,,33.90M,,,1.30M,72.20M,,,,,,16.70M,-7.80M,8.90M,,,,,4.10M,13.00M,85.20M,,8.40M,,8.40M,,8.40M,,,,14.50M,14.50M,,,4.30M,27.20M,5.50M,5.50M,,,,,,,5.50M,32.70M,,,9.80M,,,,52.50M,,,
1997-03,0.30M,0.30M,,,32.90M,,,,34.00M,,,1.50M,68.70M,,,,,,15.10M,-7.20M,7.90M,,,,,3.80M,11.70M,80.40M,,8.60M,,8.60M,,8.60M,,,,12.70M,12.70M,,,3.80M,25.10M,4.80M,4.80M,,,,,,,4.80M,29.90M,,,8.30M,,,,50.50M,,,
1996-12,0.80M,0.80M,,,28.30M,,,,33.50M,,,1.60M,64.20M,,,,,,13.80M,-6.70M,7.10M,,,,,3.80M,10.90M,75.10M,,7.80M,,7.80M,,7.80M,,,,7.70M,7.70M,,,4.50M,20.00M,5.20M,5.20M,,,,,,-0.10M,5.10M,25.10M,,,8.30M,,,,50.00M,,,
1996-09,0.20M,0.20M,,,33.00M,,,,29.80M,,,0.70M,63.70M,,,,,,11.70M,-6.20M,5.50M,,,,,3.20M,8.70M,72.40M,,8.30M,,8.30M,,8.30M,,,,8.70M,8.70M,,,2.70M,19.70M,5.50M,5.50M,,,,,,,5.50M,25.20M,,,6.40M,,,,47.20M,,,
1996-06,0.20M,0.20M,,,25.70M,,,,26.50M,,,0.60M,53.00M,,,,,,11.60M,-6.40M,5.20M,,,,,3.10M,8.30M,61.30M,,4.90M,,4.90M,,4.90M,,,,4.00M,4.00M,,,2.30M,11.20M,5.00M,5.00M,,,,,,0.10M,5.10M,16.30M,,,4.30M,,,,45.00M,,,
1996-03,0.80M,0.80M,,,19.60M,,,,26.10M,,,0.60M,47.10M,,,,,,10.60M,-6.00M,4.60M,,,,,2.90M,7.50M,54.60M,,4.70M,,4.70M,,4.70M,,,,2.60M,2.60M,,,2.50M,9.80M,1.00M,1.00M,,,,,,0.10M,1.10M,10.90M,,,3.20M,,,,43.70M,,,
1995-12,1.20M,1.20M,,,24.90M,,,,23.70M,,,0.40M,50.20M,,,,,,9.60M,-5.60M,4.00M,,,,,2.70M,6.70M,56.90M,,5.80M,,5.80M,,5.80M,,,,2.50M,2.50M,,,4.00M,12.30M,1.20M,1.20M,,,,,,-0.10M,1.10M,13.40M,,,3.20M,,,,43.50M,,,
1995-09,3.90M,3.90M,,,18.30M,,,,21.70M,,,0.40M,44.30M,,,,,,7.30M,-3.80M,3.50M,,,,,2.10M,5.60M,49.90M,,3.50M,,3.50M,,3.50M,,,,0.40M,0.40M,,,3.40M,7.30M,1.20M,1.20M,,,,,,0.10M,1.30M,8.60M,,,6.50M,,,,41.30M,,,
1995-06,0.10M,0.10M,,,24.90M,,,,20.30M,,,0.30M,45.60M,,,,,,7.20M,-3.80M,3.40M,,,,,1.90M,5.30M,50.90M,,3.70M,,3.70M,,3.70M,,,,2.40M,2.40M,,,3.50M,9.60M,1.00M,1.00M,,,,,,0.10M,1.10M,10.70M,,,5.50M,,,,40.20M,,,
1995-03,3.90M,3.90M,,,18.10M,,,,20.00M,,,0.30M,42.30M,,,,,,6.90M,-3.80M,3.10M,,,,,1.60M,4.70M,47.00M,,3.40M,,3.40M,,3.40M,,,,0.40M,0.40M,,,3.20M,7.00M,1.10M,1.10M,,,,,,,1.10M,8.10M,,,4.30M,,,,38.90M,,,
