,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,60.66M,,8.893M,,,23.47M,23.47M,0.055M,0.00,9.66M,0.475M,-3.293M,-36.45M,-0.279M,38.24M,,,-19.26M,-21.04M,82.17M,,-9.894M,,-9.894M,,0.00,0.00,,-9.894M,,-68.49M,,-68.49M,,0.00,0.00,-22.29M,-22.29M,0.00,-0.163M,-90.95M,,332.96M,-18.67M,5.703M,320.00M,,,494.23M,-562.73M,0.00,,AOR,
2020-06,61.26M,,0.594M,,,23.52M,23.52M,-0.348M,4.803M,13.24M,6.37M,-0.855M,-32.31M,1.214M,-12.99M,,,-1.353M,-46.29M,63.15M,,-14.52M,,-14.52M,,0.00,0.304M,,-14.22M,,-3.114M,,-3.114M,,0.00,0.00,-22.28M,-22.28M,5.85M,-9.192M,-28.73M,,308.62M,20.19M,4.149M,332.96M,,,0.00,-3.114M,0.00,,AOR,
2020-03,15.42M,,2.991M,,,24.22M,24.22M,-0.165M,,7.646M,-3.152M,12.12M,-14.45M,0.382M,6.417M,,,-0.567M,3.897M,50.87M,,-12.72M,,-12.72M,,0.00,0.00,,-12.72M,,171.98M,,171.98M,,-150.00M,-150.00M,-22.73M,-22.73M,1.459M,-0.879M,-0.169M,,284.59M,37.98M,-13.96M,308.62M,,,175.00M,-3.021M,-150.00M,,AOR,
2019-12,1.684M,,,,,27.10M,27.10M,46.13M,13.67M,9.318M,4.084M,13.91M,5.855M,-1.787M,3.492M,,,-29.90M,-8.431M,93.55M,,-12.76M,,-12.76M,,0.00,-6.03M,0.00,-18.79M,,-74.59M,,-74.59M,,-0.002M,-0.002M,-22.84M,-22.84M,7.642M,-1.533M,-91.32M,,295.39M,-16.57M,5.769M,284.59M,,,0.00,-74.59M,-0.002M,,AOR,
2019-09,62.05M,,,,,27.12M,27.12M,-3.384M,0.00,10.09M,3.659M,24.59M,-6.611M,11.53M,9.91M,,,14.57M,53.99M,153.52M,,-14.25M,,-14.25M,,0.529M,0.00,3.392M,-10.33M,,-15.54M,,-15.54M,,-75.00M,-75.00M,-22.79M,-22.79M,3.426M,-0.115M,-110.02M,,268.88M,33.18M,-6.67M,295.39M,,,0.00,-15.54M,-75.00M,,AOR,Restated
2019-06,46.12M,,,,,32.25M,32.25M,1.965M,0.00,9.188M,-2.292M,6.643M,-6.132M,-13.43M,-10.95M,,,4.43M,-19.44M,67.79M,,-8.641M,,-8.641M,,-22.90M,0.00,0.00,-31.54M,,-3.095M,,-3.095M,,-25.00M,-25.00M,-23.03M,-23.03M,7.629M,-9.436M,-52.93M,,284.36M,-16.68M,1.206M,268.88M,,,0.00,-3.095M,-25.00M,,AOR,Restated
2019-03,61.75M,,,,,16.66M,16.66M,0.222M,,8.09M,-1.328M,-25.77M,-17.47M,1.944M,16.24M,,,-4.824M,-29.88M,55.51M,,-9.14M,,-9.14M,,-579.56M,-5.00M,2.973M,-590.72M,,348.05M,,348.05M,,-25.00M,-25.00M,-23.03M,-23.03M,9.721M,-1.432M,308.31M,,512.14M,-226.90M,-0.883M,284.36M,,,723.05M,-375.00M,-25.00M,,AOR,Restated
2018-12,98.52M,,,,,17.10M,17.10M,12.68M,,9.208M,0.188M,-34.21M,22.48M,-1.233M,-36.04M,,,6.277M,-42.73M,98.31M,,-10.11M,,-10.11M,,-4.598M,0.00,,-11.69M,,0.00,,0.00,,-143.75M,-143.75M,-21.67M,-21.67M,4.94M,-1.564M,-162.04M,,593.34M,-75.42M,-5.771M,512.14M,,,0.00,0.00,-143.75M,,AOR,Restated
2018-09,73.15M,,,,,16.31M,16.31M,-1.27M,,10.56M,2.824M,13.64M,8.59M,-3.839M,0.597M,,,1.933M,20.92M,122.50M,,-7.23M,,-7.23M,,-7.971M,-6.00M,,-21.20M,,0.00,,0.00,,0.00,0.00,-22.12M,-22.12M,7.294M,-2.551M,-17.38M,,507.94M,83.92M,1.473M,593.34M,,,0.00,0.00,0.00,,AOR,Restated
2018-06,71.56M,,,,,16.61M,16.61M,-1.385M,,8.469M,-0.148M,21.28M,-4.88M,0.314M,-2.949M,,,1.296M,15.06M,110.17M,,-6.336M,,-6.336M,,-7.125M,0.00,,-13.46M,,0.00,,0.00,,-5.001M,-5.001M,-22.10M,-22.10M,13.39M,-11.85M,-25.55M,,452.14M,71.15M,-15.35M,507.94M,,,0.00,0.00,-5.001M,,AOR,Restated
