,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-39.10M,,,,,61.50M,61.50M,-20.00M,22.10M,19.50M,,-2.80M,-236.00M,-100.30M,48.50M,340.80M,,,-37.30M,15.70M,57.60M,-32.60M,0.00,0.00,-0.50M,-173.80M,,-206.90M,-304.10M,,-304.10M,,-1.60M,-1.60M,0.00,0.00,,-0.10M,-305.80M,2.461B,-455.10M,16.00M,2.022B,,0.00,-304.10M,-1.60M,,
2020-06,-127.70M,,,,,63.70M,63.70M,-66.90M,-14.40M,15.10M,,0.70M,186.30M,-29.00M,-37.40M,-119.20M,,,59.20M,59.90M,-70.30M,-21.30M,0.00,0.00,0.00,242.00M,,220.70M,765.30M,,765.30M,,-33.90M,-33.90M,-49.80M,-49.80M,,-8.50M,673.10M,1.630B,823.50M,7.60M,2.461B,,1.242B,-476.60M,-33.90M,,
2020-03,-249.00M,0.00,,,0.00,68.50M,68.50M,-13.10M,75.70M,27.70M,,-4.90M,10.70M,162.30M,88.60M,-120.60M,,,-39.30M,101.70M,6.60M,-54.30M,0.00,0.00,0.00,330.50M,,276.20M,472.00M,,472.00M,,-152.70M,-152.70M,-50.70M,-50.70M,0.00,0.00,268.60M,1.089B,551.40M,-11.00M,1.630B,,475.00M,-3.00M,-152.70M,,
2019-12,334.10M,0.00,,,0.00,68.20M,68.20M,-140.30M,12.90M,22.10M,,1.00M,137.90M,112.30M,16.70M,9.00M,,,-30.00M,245.90M,543.90M,-85.40M,0.00,0.00,0.00,215.70M,,130.30M,-2.90M,0.00,-2.90M,,-99.40M,-99.40M,-51.30M,-51.30M,0.00,-0.20M,-153.80M,563.30M,520.40M,5.70M,1.089B,,0.00,-2.90M,-99.40M,,
2019-09,182.10M,,,,,66.60M,66.60M,-7.30M,7.50M,27.80M,,3.60M,-199.60M,-36.60M,1.70M,-35.60M,,,-3.50M,-273.60M,6.70M,-81.20M,0.00,0.00,0.00,269.60M,,188.40M,-2.80M,,-2.80M,,-251.60M,-251.60M,-53.10M,-53.10M,,-0.70M,-308.20M,691.40M,-113.10M,-15.00M,563.30M,,0.00,-2.80M,-251.60M,,
2019-06,117.10M,,,,,66.20M,66.20M,-8.10M,1.30M,23.00M,,-2.00M,108.60M,-165.70M,-48.80M,82.90M,,,22.90M,-0.10M,197.40M,-49.40M,20.80M,20.80M,0.90M,134.90M,,107.20M,-4.90M,,-4.90M,,-191.10M,-191.10M,-48.80M,-48.80M,,,-244.80M,626.50M,59.80M,5.10M,691.40M,,0.00,-4.90M,-191.10M,,
2019-03,31.60M,0.00,,,0.00,69.30M,69.30M,-5.20M,12.90M,23.30M,,-4.20M,-95.80M,95.70M,35.20M,-29.60M,,,-32.50M,-27.00M,100.70M,-48.50M,0.00,0.00,0.00,-20.70M,,-69.20M,-14.70M,9.90M,-4.80M,,-70.70M,-70.70M,-49.10M,-49.10M,0.00,0.00,-124.60M,723.50M,-93.10M,-3.90M,626.50M,,0.00,-4.80M,-70.70M,,
2018-12,120.00M,11.60M,,,11.60M,72.00M,72.00M,2.50M,2.20M,22.50M,,4.50M,124.60M,72.50M,-25.90M,21.50M,,,42.10M,234.80M,470.10M,-56.10M,20.00M,20.00M,0.00,-41.20M,,-77.30M,-4.30M,0.00,-4.30M,,-208.00M,-208.00M,-50.30M,-50.30M,0.00,0.00,-262.60M,596.50M,130.20M,-3.20M,723.50M,,0.00,-4.30M,-208.00M,,
2018-09,170.30M,,,,,69.70M,69.70M,3.90M,9.80M,21.30M,,0.40M,-172.50M,-104.70M,-13.90M,3.50M,,,-5.40M,-293.00M,-17.60M,-50.80M,0.00,0.00,0.00,145.10M,,94.30M,93.30M,0.00,93.30M,,-93.90M,-93.90M,-50.70M,-50.70M,0.00,-2.80M,-54.10M,575.80M,22.60M,-1.90M,596.50M,,398.10M,-304.80M,-93.90M,,
2018-06,109.00M,,,,,70.30M,70.30M,7.30M,1.30M,21.50M,,5.80M,153.80M,-147.10M,-35.90M,-0.10M,,,44.70M,15.40M,230.60M,-42.30M,0.00,0.00,-4.50M,-780.30M,,-827.10M,-5.70M,-9.90M,-15.60M,,-130.00M,-130.00M,-40.60M,-40.60M,21.80M,,-164.40M,1.356B,-760.90M,-18.80M,575.80M,,,-15.60M,-130.00M,,
