,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,5.773B,5.773B,4.037B,1.736B,214.00M,647.00M,,,48.00M,10.00M,-38.00M,9.00M,870.00M,866.00M,10.00M,48.00M,-38.00M,13.00M,-38.00M,841.00M,51.00M,803.00M,,0.00,803.00M,803.00M,2.376B,1.487B,889.00M,,0.72,,0.72,0.72,,0.71,,0.71,0.71,,1.115B,1.135B,0.00,,AOR,
2020-08,6.056B,6.056B,3.988B,2.068B,231.00M,630.00M,,-47.00M,50.00M,13.00M,-37.00M,3.00M,864.00M,1.204B,13.00M,50.00M,-37.00M,-42.00M,-37.00M,1.125B,136.00M,990.00M,,-2.00M,988.00M,1.030B,2.742B,1.567B,1.175B,,0.89,,0.9280,0.89,,0.87,,0.9073,0.87,,1.11B,1.131B,0.00,,AOR,
2020-05,5.438B,5.438B,3.675B,1.763B,216.00M,649.00M,,-6.00M,51.00M,23.00M,-28.00M,6.00M,871.00M,892.00M,23.00M,51.00M,-28.00M,6.00M,-28.00M,870.00M,68.00M,805.00M,,-2.00M,803.00M,811.30M,2.343B,1.422B,921.00M,,0.72,,0.7275,0.72,,0.71,,0.7174,0.71,,1.111B,1.129B,0.00,,AOR,
2020-02,4.797B,4.797B,3.442B,1.355B,223.00M,681.00M,,-10.00M,46.00M,34.00M,-12.00M,1.00M,905.00M,450.00M,34.00M,46.00M,-12.00M,-11.00M,-12.00M,427.00M,21.00M,407.00M,,-2.00M,405.00M,416.41M,1.838B,1.365B,473.00M,,0.37,,0.3803,0.37,,0.36,,0.3701,0.36,,1.111B,1.133B,0.00,,AOR,
2019-11,5.144B,5.144B,3.778B,1.366B,211.00M,640.00M,,42.00M,47.00M,44.00M,-3.00M,-3.00M,848.00M,518.00M,44.00M,47.00M,-3.00M,46.00M,-3.00M,561.00M,55.00M,508.00M,,-17.00M,491.00M,453.12M,1.904B,1.296B,608.00M,,0.44,,0.4058,0.44,,0.43,,0.3964,0.43,,1.107B,1.129B,0.00,,AOR,Restated
2019-08,4.87B,4.87B,3.475B,1.395B,212.00M,623.00M,,69.00M,39.00M,57.00M,18.00M,-11.00M,824.00M,571.00M,57.00M,39.00M,18.00M,66.00M,18.00M,655.00M,71.00M,586.00M,,-25.00M,561.00M,499.48M,2.11B,1.416B,694.00M,,0.51,,0.4543,0.51,,0.49,,0.4355,0.49,,1.105B,1.128B,0.00,,AOR,Restated
2019-05,4.788B,4.788B,2.96B,1.828B,206.00M,606.00M,,-326.00M,29.00M,52.00M,23.00M,-3.00M,809.00M,1.019B,52.00M,29.00M,23.00M,-326.00M,23.00M,716.00M,-135.00M,851.00M,,-11.00M,840.00M,1.079B,2.105B,1.36B,745.00M,,0.76,,0.9760,0.76,,0.74,,0.9514,0.74,,1.105B,1.129B,0.00,,AOR,Restated
2019-02,5.835B,5.835B,2.971B,2.864B,209.00M,601.00M,,-134.00M,27.00M,58.00M,31.00M,46.00M,856.00M,2.008B,58.00M,27.00M,31.00M,-135.00M,31.00M,1.904B,280.00M,1.625B,,-6.00M,1.619B,1.736B,3.244B,1.313B,1.931B,,1.45,,1.555,1.45,,1.42,,1.522,1.42,,1.114B,1.141B,0.00,,AOR,Restated
2018-11,7.913B,7.913B,3.298B,4.615B,209.00M,611.00M,,-19.00M,33.00M,38.00M,5.00M,3.00M,823.00M,3.792B,38.00M,33.00M,5.00M,-24.00M,5.00M,3.773B,477.00M,3.296B,,-3.00M,3.293B,3.314B,5.141B,1.335B,3.806B,,2.91,,2.929,2.91,,2.81,,2.828,2.81,,1.133B,1.174B,0.00,,AOR,Restated
2018-08,8.44B,8.44B,3.289B,5.151B,215.00M,567.00M,,,50.00M,34.00M,-16.00M,60.00M,842.00M,4.309B,34.00M,50.00M,-16.00M,53.00M,-16.00M,4.346B,20.00M,4.326B,,-1.00M,4.325B,4.325B,5.681B,1.285B,4.396B,,3.73,,3.73,3.73,,3.56,,3.56,3.56,,1.158B,1.217B,0.00,,AOR,Restated
2018-05,7.797B,7.797B,3.074B,4.723B,211.00M,603.00M,,,80.00M,36.00M,-44.00M,-44.00M,770.00M,3.953B,36.00M,80.00M,-44.00M,-193.00M,-44.00M,3.716B,-109.00M,3.823B,,0.00,3.823B,3.823B,5.029B,1.233B,3.796B,,3.30,,3.30,3.30,,3.10,,3.10,3.10,,1.159B,1.235B,0.00,,AOR,Restated
2018-02,7.351B,7.351B,3.081B,4.27B,196.00M,523.00M,,-30.00M,88.00M,27.00M,-61.00M,-23.00M,696.00M,3.574B,27.00M,88.00M,-61.00M,-60.00M,-61.00M,3.453B,143.00M,3.311B,,-2.00M,3.309B,3.359B,4.692B,1.151B,3.541B,,2.86,,2.903,2.86,,2.67,,2.710,2.67,,1.156B,1.238B,0.00,,AOR,Restated
2017-11,6.803B,6.803B,3.056B,3.747B,191.00M,448.00M,,-201.00M,124.00M,23.00M,-101.00M,5.00M,644.00M,3.103B,23.00M,124.00M,-101.00M,-210.00M,-101.00M,2.792B,114.00M,2.678B,,0.00,2.678B,2.879B,4.006B,1.09B,2.916B,,2.36,,2.538,2.36,,2.19,,2.354,2.19,,1.134B,1.225B,0.00,,AOR,Restated
2017-08,6.138B,6.138B,3.026B,3.112B,193.00M,447.00M,,-33.00M,148.00M,16.00M,-132.00M,-26.00M,614.00M,2.498B,16.00M,148.00M,-132.00M,-45.00M,-132.00M,2.321B,-47.00M,2.369B,,-1.00M,2.368B,2.395B,3.535B,1.066B,2.469B,,2.13,,2.154,2.13,,1.99,,2.013,1.99,,1.11B,1.19B,0.00,,AOR,Restated
2017-05,5.566B,5.566B,2.957B,2.609B,204.00M,434.00M,,-61.00M,153.00M,10.00M,-143.00M,8.00M,646.00M,1.963B,10.00M,153.00M,-143.00M,-83.00M,-143.00M,1.737B,92.00M,1.647B,,0.00,1.647B,1.726B,2.911B,1.021B,1.89B,,1.49,,1.561,1.49,,1.40,,1.467,1.40,,1.106B,1.177B,0.00,,AOR,Restated
2017-02,4.648B,4.648B,2.944B,1.704B,187.00M,473.00M,,0.00,161.00M,8.00M,-153.00M,,660.00M,1.044B,8.00M,161.00M,-153.00M,34.00M,-153.00M,925.00M,38.00M,894.00M,,0.00,894.00M,920.85M,2.089B,1.003B,1.086B,,0.81,,0.8344,0.81,,0.77,,0.7931,0.77,,1.099B,1.16B,0.00,,AOR,Restated
2016-11,3.97B,3.97B,2.959B,1.011B,159.00M,470.00M,,-2.00M,139.00M,7.00M,-132.00M,23.00M,652.00M,359.00M,7.00M,139.00M,-132.00M,-14.00M,-132.00M,213.00M,31.00M,180.00M,,,180.00M,191.96M,1.123B,771.00M,352.00M,,0.17,,0.1815,0.17,,0.16,,0.1710,0.16,,1.04B,1.091B,0.00,,AOR,Restated
2016-08,3.217B,3.217B,2.638B,579.00M,157.00M,411.00M,,-47.00M,135.00M,9.00M,-126.00M,-4.00M,564.00M,15.00M,9.00M,135.00M,-126.00M,-57.00M,-126.00M,-168.00M,3.00M,-170.00M,,0.00,-170.00M,-135.20M,681.00M,714.00M,-33.00M,,-0.16,,-0.1265,-0.16,,-0.16,,-0.1265,-0.16,,1.039B,1.039B,0.00,,AOR,Restated
2016-05,2.898B,2.898B,2.40B,498.00M,148.00M,382.00M,,-3.00M,109.00M,10.00M,-99.00M,-5.00M,525.00M,-27.00M,10.00M,109.00M,-99.00M,-34.00M,-99.00M,-160.00M,15.00M,-215.00M,,0.00,-215.00M,-207.75M,704.00M,755.00M,-51.00M,,-0.21,,-0.2030,-0.21,,-0.21,,-0.2030,-0.21,,1.036B,1.036B,0.00,,AOR,Restated
2016-02,2.934B,2.934B,2.355B,579.00M,175.00M,403.00M,,-1.00M,97.00M,12.00M,-85.00M,5.00M,583.00M,-4.00M,12.00M,97.00M,-85.00M,-7.00M,-85.00M,-96.00M,5.00M,-96.00M,,-1.00M,-97.00M,-91.31M,775.00M,774.00M,1.00M,,-0.09,,-0.0845,-0.09,,-0.09,,-0.0845,-0.09,,1.036B,1.036B,0.00,,AOR,Restated
2015-11,3.35B,3.35B,2.501B,849.00M,179.00M,421.00M,,-15.00M,96.00M,11.00M,-85.00M,2.00M,602.00M,247.00M,11.00M,96.00M,-85.00M,-19.00M,-85.00M,143.00M,-4.00M,206.00M,,0.00,206.00M,223.50M,976.00M,737.00M,239.00M,,0.20,,0.2169,0.20,,0.19,,0.2061,0.19,,1.035B,1.085B,0.00,,AOR,Restated
