,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,3.082B,5.985B,1.047B,7.032B,3.182B,214.00M,3.691B,765.00M,3.878B,878.00M,,5.521B,,,,285.00M,16.53B,0.00,352.00M,14.45B,919.00M,50.87B,1.814B,68.40B,-35.59B,32.81B,1.228B,336.00M,1.564B,1.264B,726.00M,802.00M,37.16B,53.69B,,1.656B,180.00M,2.18B,4.016B,840.00M,4.856B,132.00M,,63.00M,195.00M,78.00M,273.00M,,,,559.00M,5.688B,5.903B,982.00M,6.885B,,656.00M,656.00M,,,555.00M,8.096B,13.78B,,120.00M,34.14B,9.034B,3.495B,,110.00M,39.91B,,AOR,
2020-08,3.996B,7.624B,518.00M,8.142B,3.494B,186.00M,3.912B,752.00M,3.854B,1.001B,,5.607B,,,,304.00M,17.96B,0.00,352.00M,13.98B,873.00M,49.11B,1.60B,65.92B,-34.30B,31.62B,1.228B,334.00M,1.562B,1.048B,707.00M,781.00M,35.71B,53.68B,,2.191B,237.00M,2.374B,4.802B,1.015B,5.817B,,1.00M,193.00M,194.00M,76.00M,270.00M,,,,548.00M,6.635B,5.963B,943.00M,6.906B,,643.00M,643.00M,0.00,0.00,498.00M,8.047B,14.68B,,119.00M,33.38B,8.917B,3.495B,,71.00M,39.00B,,AOR,
2020-05,2.506B,8.267B,391.00M,8.658B,3.265B,143.00M,3.603B,722.00M,3.866B,817.00M,,5.405B,,,,233.00M,17.90B,0.00,352.00M,12.07B,885.00M,47.89B,2.674B,63.87B,-33.19B,30.68B,1.228B,332.00M,1.56B,577.00M,775.00M,514.00M,34.11B,52.00B,,2.234B,233.00M,1.866B,4.333B,1.031B,5.364B,,,195.00M,195.00M,135.00M,330.00M,,,,491.00M,6.185B,5.962B,934.00M,6.896B,,553.00M,553.00M,0.00,98.00M,453.00M,8.00B,14.18B,,119.00M,32.40B,8.764B,3.454B,,-11.00M,37.82B,,AOR,
2020-02,3.146B,7.118B,363.00M,7.481B,2.695B,168.00M,3.049B,650.00M,3.756B,802.00M,,5.208B,,,,238.00M,15.98B,0.00,352.00M,11.68B,811.00M,47.18B,2.119B,62.15B,-31.89B,30.25B,1.228B,332.00M,1.56B,586.00M,764.00M,510.00M,33.67B,49.65B,,2.054B,209.00M,2.057B,4.32B,757.00M,5.077B,,,84.00M,84.00M,153.00M,237.00M,,,,508.00M,5.822B,4.845B,891.00M,5.736B,,586.00M,586.00M,0.00,98.00M,383.00M,6.803B,12.62B,,119.00M,31.60B,8.725B,3.414B,,-9.00M,37.02B,,AOR,
2019-11,2.319B,6.969B,619.00M,7.588B,3.03B,195.00M,3.419B,589.00M,3.724B,630.00M,,4.943B,,,,217.00M,16.17B,0.00,352.00M,11.44B,793.00M,46.24B,1.795B,60.63B,-30.67B,29.96B,1.228B,333.00M,1.561B,599.00M,783.00M,579.00M,33.48B,49.65B,,1.879B,336.00M,2.425B,4.64B,768.00M,5.408B,,,277.00M,277.00M,185.00M,462.00M,,,,447.00M,6.317B,4.844B,855.00M,5.699B,,609.00M,609.00M,0.00,98.00M,426.00M,6.832B,13.15B,,119.00M,31.22B,8.428B,3.271B,,6.00M,36.50B,,AOR,Restated
2019-08,2.388B,7.152B,803.00M,7.955B,2.778B,175.00M,3.195B,536.00M,3.825B,757.00M,,5.118B,,,,235.00M,16.50B,0.00,352.00M,10.93B,790.00M,44.05B,1.70B,57.82B,-29.58B,28.24B,1.228B,340.00M,1.568B,1.164B,837.00M,575.00M,32.38B,48.89B,,1.677B,309.00M,1.782B,3.768B,858.00M,4.626B,196.00M,198.00M,693.00M,1.087B,223.00M,1.31B,,,,454.00M,6.39B,4.173B,368.00M,4.541B,,636.00M,636.00M,889.00M,98.00M,452.00M,5.727B,12.12B,,118.00M,30.76B,8.214B,3.221B,,9.00M,35.88B,,AOR,Restated
2019-05,3.171B,5.157B,1.532B,6.689B,2.848B,207.00M,3.257B,515.00M,3.537B,853.00M,,4.905B,,,,215.00M,15.07B,0.00,352.00M,10.17B,767.00M,42.63B,1.893B,55.80B,-28.67B,27.14B,1.228B,339.00M,1.567B,1.167B,817.00M,533.00M,31.22B,46.29B,,1.336B,254.00M,1.16B,2.75B,744.00M,3.494B,,,,1.346B,,1.346B,,,,557.00M,5.397B,3.564B,,3.564B,,622.00M,622.00M,867.00M,98.00M,417.00M,4.701B,10.10B,,118.00M,30.20B,8.217B,3.221B,,8.00M,35.32B,,AOR,Restated
2019-02,2.652B,6.353B,1.18B,7.533B,3.997B,169.00M,4.416B,524.00M,3.023B,843.00M,,4.39B,,,,211.00M,16.55B,0.00,346.00M,9.547B,745.00M,41.38B,1.715B,53.73B,-27.53B,26.20B,1.228B,350.00M,1.578B,1.614B,762.00M,779.00M,30.94B,47.49B,,1.523B,449.00M,1.416B,3.388B,674.00M,4.062B,,,2.373B,2.373B,261.00M,2.634B,,,,665.00M,7.361B,3.151B,455.00M,3.606B,,,,863.00M,97.00M,993.00M,4.696B,12.06B,,118.00M,29.36B,8.143B,3.064B,,6.00M,34.57B,,AOR,Restated
2018-11,2.073B,4.447B,1.116B,5.563B,4.98B,212.00M,5.418B,488.00M,2.643B,745.00M,,3.876B,,,,182.00M,15.04B,0.00,346.00M,9.006B,732.00M,39.65B,1.467B,51.20B,-26.40B,24.81B,1.228B,356.00M,1.584B,1.565B,842.00M,758.00M,29.56B,44.60B,,1.683B,569.00M,1.213B,3.465B,735.00M,4.20B,,,109.00M,109.00M,289.00M,398.00M,,,,591.00M,5.189B,3.227B,509.00M,3.736B,,,,870.00M,97.00M,834.00M,4.667B,9.856B,,117.00M,27.77B,8.35B,2.362B,,-5.00M,33.87B,,AOR,Restated
2018-08,3.223B,6.506B,296.00M,6.802B,5.056B,261.00M,5.478B,423.00M,2.357B,815.00M,,3.595B,,,,164.00M,16.04B,0.00,345.00M,8.68B,655.00M,38.25B,1.162B,49.09B,-25.42B,23.67B,1.228B,331.00M,1.559B,473.00M,1.022B,611.00M,27.34B,43.38B,,1.692B,402.00M,1.238B,3.332B,1.042B,4.374B,,,549.00M,549.00M,310.00M,859.00M,,,,521.00M,5.754B,3.244B,536.00M,3.78B,,227.00M,227.00M,870.00M,97.00M,354.00M,4.458B,10.21B,,117.00M,24.40B,8.201B,429.00M,,10.00M,32.29B,,AOR,Restated
