,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.270B,1.270B,756.34M,513.73M,254.19M,100.04M,47.68M,-11.21M,32.76M,-32.76M,401.92M,111.82M,32.76M,-32.76M,0.239M,-32.76M,79.30M,12.73M,66.56M,1.025M,67.59M,77.00M,193.84M,81.78M,112.05M,,0.57,,0.6539,0.57,,0.57,,0.6528,0.57,,112.20M,113.63M,0.77,,AOR,
2020-09,1.268B,1.268B,743.65M,524.43M,234.52M,89.97M,47.74M,-1.912M,34.84M,-34.84M,372.23M,152.20M,34.84M,-34.84M,-11.86M,-34.84M,105.50M,19.27M,86.23M,-0.539M,85.69M,87.25M,223.68M,83.33M,140.34M,,0.76,,0.7739,0.76,,0.75,,0.7637,0.75,,112.18M,113.62M,0.77,,AOR,
2020-06,1.199B,1.199B,716.93M,481.84M,230.41M,80.95M,48.83M,-2.283M,32.06M,-32.06M,360.19M,121.65M,32.06M,-32.06M,13.47M,-32.06M,103.06M,15.70M,87.37M,-2.868M,84.50M,86.43M,214.78M,79.65M,135.13M,,0.75,,0.7673,0.75,,0.74,,0.7570,0.74,,112.18M,113.68M,0.75,,AOR,
2020-03,1.347B,1.347B,781.45M,565.87M,229.71M,85.91M,48.35M,-5.672M,32.14M,-32.14M,363.97M,201.89M,32.14M,-32.14M,-16.25M,-32.14M,153.51M,26.30M,127.21M,-2.604M,124.61M,129.31M,266.24M,80.60M,185.65M,,1.16,,1.202,1.16,,1.15,,1.191,1.15,,112.08M,113.59M,0.75,,AOR,
2019-12,1.284B,1.284B,781.61M,502.16M,242.01M,85.64M,49.13M,-8.581M,35.56M,-35.56M,376.78M,125.38M,35.56M,-35.56M,6.708M,-35.56M,96.53M,16.15M,80.38M,1.572M,81.95M,89.10M,219.99M,87.90M,132.09M,,0.71,,0.7738,0.71,,0.70,,0.7628,0.70,,112.00M,113.83M,0.75,,AOR,
2019-09,1.267B,1.267B,734.26M,533.09M,210.83M,85.08M,48.43M,-4.088M,33.50M,-33.50M,344.34M,188.75M,33.50M,-33.50M,1.611M,-33.50M,156.87M,27.06M,129.81M,-0.947M,128.86M,132.24M,270.98M,80.62M,190.36M,,1.15,,1.180,1.15,,1.13,,1.160,1.13,,112.00M,113.49M,0.75,,AOR,Restated
2019-06,1.292B,1.292B,745.33M,546.24M,210.10M,84.82M,47.91M,-3.477M,32.59M,-32.59M,342.82M,203.41M,32.59M,-32.59M,-1.34M,-32.59M,169.48M,30.61M,138.87M,-3.005M,135.86M,138.71M,275.11M,73.04M,202.07M,,1.21,,1.235,1.21,,1.20,,1.225,1.20,,112.00M,112.87M,0.73,,AOR,Restated
2019-03,1.297B,1.297B,766.14M,531.26M,213.18M,90.60M,47.62M,-15.99M,36.57M,-36.57M,351.40M,179.86M,36.57M,-36.57M,-8.708M,-36.57M,134.58M,23.36M,111.21M,-2.385M,108.83M,122.03M,252.92M,81.78M,171.15M,,0.97,,1.088,0.97,,0.96,,1.076,0.96,,111.86M,113.39M,0.73,,AOR,Restated
2018-12,1.219B,1.219B,741.53M,477.52M,249.61M,83.04M,48.11M,-1.507M,38.80M,-38.80M,380.76M,96.76M,38.80M,-38.80M,8.347M,-38.80M,66.30M,50.80M,15.50M,-2.479M,13.02M,14.12M,182.90M,77.80M,105.10M,,0.09,,0.0999,0.09,,0.09,,0.0998,0.09,,110.86M,112.14M,0.73,,AOR,Restated
2018-09,907.55M,907.55M,506.88M,400.67M,157.80M,75.30M,9.003M,-38.11M,23.91M,-23.91M,242.10M,158.56M,23.91M,-23.91M,-33.95M,-23.91M,100.70M,4.986M,95.72M,0.00,95.72M,131.92M,155.64M,31.03M,124.62M,,1.18,,1.625,1.18,,1.17,,1.613,1.17,,81.26M,81.65M,0.73,,AOR,Restated
