,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-06,,556.92M,5.481M,562.41M,,,,225.38M,,,,,22.63M,56.83M,,,867.25M,,,,,,,,946.69M,-618.18M,328.51M,,37.60M,37.60M,77.02M,,,142.28M,585.41M,1.453B,,2009-06,,,,,182.41M,,,,,,258.64M,258.64M,,,,426.17M,,116.53M,116.53M,,382.52M,925.22M,1.366B,,2009-06,1.656B,-1.117B,,490.39M,,,37.46M,86.39M,,2009-06,AOR,Restated
2009-03,,554.40M,3.634M,558.04M,,,,245.69M,,,,,29.14M,55.26M,,,888.14M,,,,,,,,949.71M,-613.18M,336.53M,,42.28M,42.28M,103.82M,,,144.37M,627.00M,1.515B,,2009-03,,,,,182.39M,,,,,,269.22M,269.22M,,,,421.36M,,126.43M,126.43M,,368.05M,915.84M,1.367B,,2009-03,1.663B,-992.29M,,554.86M,,,31.43M,147.68M,,2009-03,AOR,Restated
2008-12,,568.26M,3.84M,572.10M,,,,298.66M,10.14M,,15.10M,3.235M,28.46M,39.68M,15.08M,,953.99M,74.09M,61.41M,74.24M,694.57M,,,75.56M,979.86M,-625.01M,354.85M,,49.08M,49.08M,160.74M,,72.04M,89.15M,725.86M,1.680B,,2008-12,33.20M,9.844M,43.05M,218.05M,261.10M,,,,,,303.11M,303.11M,,,,416.57M,,130.35M,130.35M,,382.00M,928.93M,1.493B,,2008-12,1.659B,-814.68M,,695.15M,,,37.24M,186.71M,,2008-12,AOR,Restated
2008-09,,551.75M,6.068M,557.82M,278.46M,,,278.46M,,,,,25.54M,84.11M,,,945.94M,,,,,,,,995.50M,-636.30M,359.20M,1.315B,101.41M,1.417B,,,,527.03M,2.303B,3.249B,,2008-09,259.06M,,259.06M,,259.06M,,,,,,245.90M,245.90M,,,,500.18M,,,,,538.70M,1.039B,1.544B,,2008-09,0.00,868.26M,1.546B,730.30M,,,20.72M,1.705B,,2008-09,,Restated
2008-06,,836.51M,52.75M,889.26M,315.68M,,,315.68M,,,,,23.69M,99.15M,,,1.328B,,,,,,,,999.40M,-640.38M,359.02M,1.314B,304.69M,1.619B,,,,320.58M,2.299B,3.626B,,2008-06,246.98M,,246.98M,,246.98M,230.38M,,,230.38M,230.38M,247.76M,247.76M,,,,500.00M,,,,,472.54M,972.54M,1.698B,,2008-06,0.00,1.105B,1.531B,734.61M,,,27.81M,1.929B,,2008-06,,Restated
2008-03,,825.54M,11.16M,836.70M,346.32M,,,346.32M,,,,,29.77M,97.94M,,,1.311B,,,,,,,,978.98M,-633.06M,345.92M,1.316B,124.20M,1.440B,,,,540.99M,2.327B,3.637B,,2008-03,220.91M,,220.91M,,220.91M,230.38M,,,230.38M,230.38M,298.96M,298.96M,,,,500.00M,,,,,493.45M,993.45M,1.744B,,2008-03,0.00,1.119B,1.529B,781.00M,,,26.86M,1.894B,,2008-03,,Restated
2007-12,,1.063B,15.19M,1.078B,,,,326.21M,13.84M,,8.639M,8.519M,31.00M,36.30M,57.94M,,1.530B,38.22M,60.86M,80.61M,712.41M,,,72.04M,964.14M,-624.68M,339.46M,1.310B,127.07M,1.437B,238.01M,,210.14M,116.69M,2.342B,3.871B,,2007-12,17.01M,15.27M,32.28M,257.65M,289.93M,,,,230.38M,230.38M,265.17M,265.17M,,,,500.00M,,136.66M,136.66M,,368.94M,1.006B,1.791B,,2007-12,1.516B,1.162B,,619.12M,,,20.26M,2.080B,,2007-12,,Restated
2007-09,,935.59M,15.65M,951.24M,278.20M,,,278.20M,,,,,37.87M,111.55M,,,1.379B,,,,,,,,944.72M,-612.21M,332.52M,1.311B,139.46M,1.451B,,,,577.35M,2.360B,3.739B,,2007-09,241.74M,,241.74M,,241.74M,230.38M,,,230.38M,230.38M,241.32M,241.32M,,,,500.00M,,,,,572.99M,1.073B,1.786B,,2007-09,0.00,1.043B,1.492B,597.00M,,,15.22M,1.953B,,2007-09,,
2007-06,,1.129B,20.24M,1.149B,242.35M,,,242.35M,,,,,38.17M,90.37M,,,1.520B,,,,,,,,935.74M,-604.16M,331.58M,1.262B,98.24M,1.360B,,,,552.25M,2.244B,3.764B,,2007-06,216.74M,,216.74M,,216.74M,,,,,,251.73M,251.73M,,,,730.38M,,,,,512.72M,1.243B,1.712B,,2007-06,0.00,971.76M,1.473B,404.12M,,,12.18M,2.052B,,2007-06,,
2007-03,,946.75M,22.50M,969.26M,256.34M,,,256.34M,,,,,37.85M,92.05M,,,1.356B,,,,,,,,895.02M,-568.92M,326.10M,1.262B,101.51M,1.363B,,,,524.75M,2.214B,3.570B,,2007-03,191.40M,,191.40M,,191.40M,,,,,,268.19M,268.19M,,,,730.38M,,,,,510.84M,1.241B,1.701B,,2007-03,0.00,917.79M,1.445B,508.29M,,,14.23M,1.869B,,2007-03,,
2006-12,,934.34M,24.09M,958.43M,238.44M,,,238.44M,20.77M,,8.454M,7.958M,37.18M,32.78M,45.18M,,1.312B,0.00,74.14M,186.35M,687.86M,,21.99M,,970.34M,-615.77M,354.58M,1.268B,112.74M,1.380B,,,,395.92M,2.131B,3.443B,,2006-12,21.97M,,21.97M,211.67M,233.64M,,,,28.00M,28.00M,260.28M,260.28M,,26.15M,,730.38M,,,,,465.08M,1.195B,1.744B,,2006-12,0.00,832.76M,1.399B,544.86M,,,12.48M,1.699B,,2006-12,,
2006-09,,757.51M,24.63M,782.14M,248.62M,,,248.62M,,,,,29.08M,84.21M,,,1.144B,,,,,,,,956.19M,-602.90M,353.29M,1.268B,126.87M,1.395B,,,,387.11M,2.136B,3.280B,,2006-09,199.59M,,199.59M,,199.59M,,,,44.00M,44.00M,274.17M,274.17M,,,,437.00M,,,,,443.61M,880.61M,1.398B,,2006-09,1.082B,784.40M,,,,,14.52M,1.881B,,2006-09,,
2006-06,,825.86M,30.91M,856.78M,295.45M,,,295.45M,,,,,25.63M,84.09M,,,1.262B,,,,,,,,908.13M,-549.59M,358.54M,1.269B,139.33M,1.409B,,,,375.11M,2.142B,3.404B,,2006-06,256.98M,,256.98M,,256.98M,,,,40.00M,40.00M,312.26M,312.26M,,,,474.00M,,,,,437.89M,911.89M,1.521B,,2006-06,1.123B,742.34M,,,,,17.90M,1.883B,,2006-06,,
2006-03,,872.89M,32.05M,904.94M,242.56M,,,242.56M,,,,,23.38M,78.33M,,,1.249B,,,,,,,,924.52M,-566.38M,358.14M,1.250B,141.63M,1.392B,,,,382.42M,2.133B,3.382B,,2006-03,237.22M,,237.22M,,237.22M,,,,36.00M,36.00M,282.58M,282.58M,,,,511.00M,,,,,427.36M,938.36M,1.494B,,2006-03,1.154B,711.95M,,,,,21.71M,1.888B,,2006-03,,
2005-12,,861.32M,33.28M,894.59M,282.07M,,,282.07M,,,,,28.90M,70.74M,,,1.276B,0.00,74.03M,172.35M,639.94M,,20.23M,,906.54M,-549.59M,356.94M,,1.387B,1.387B,,,,381.29M,2.125B,3.401B,,2005-12,300.59M,,300.59M,,300.59M,,,,32.00M,32.00M,273.26M,273.26M,,,,599.86M,,,,,350.89M,950.76M,1.557B,,2005-12,1.221B,690.17M,,,,,-66.20M,1.845B,,2005-12,,
2005-09,,618.77M,30.58M,649.35M,277.12M,,,277.12M,,,,,26.36M,97.74M,,,1.051B,,,,,,,,886.55M,-533.15M,353.40M,,1.410B,1.410B,,,,300.60M,2.064B,3.115B,,2005-09,236.39M,,236.39M,,236.39M,,,,,,254.02M,254.02M,,,,420.00M,,,,,337.24M,757.24M,1.248B,,2005-09,1.238B,663.60M,,,,,-34.52M,1.867B,,2005-09,,
2005-06,,543.56M,22.95M,566.51M,297.25M,,,297.25M,,,,,22.09M,82.29M,,,968.14M,,,,,,,,871.63M,-518.09M,353.54M,,1.440B,1.440B,,,,302.24M,2.096B,3.064B,,2005-06,257.95M,,257.95M,,257.95M,,,,,,283.28M,283.28M,,,,420.00M,,,,,330.72M,750.72M,1.292B,,2005-06,1.172B,642.33M,,,,,-42.35M,1.772B,,2005-06,,
2005-03,,656.82M,26.51M,683.33M,289.08M,,,289.08M,,,,,19.77M,79.90M,,,1.072B,,,,,,,,897.75M,-511.17M,386.58M,,1.187B,1.187B,,,,332.50M,1.906B,2.978B,,2005-03,231.67M,,231.67M,,231.67M,,,,,,253.84M,253.84M,,,,420.00M,,,,,327.46M,747.46M,1.233B,,2005-03,1.137B,641.85M,,,,,-33.76M,1.745B,,2005-03,,
2004-12,,448.52M,144.49M,593.01M,384.11M,,,384.11M,,,,,20.48M,72.31M,,,1.070B,0.00,74.90M,210.52M,591.39M,,11.97M,,888.79M,-498.42M,390.37M,,1.191B,1.191B,,,,338.84M,1.920B,2.990B,,2004-12,277.99M,,277.99M,,277.99M,,,,,,270.97M,270.97M,,,,420.00M,,,,,320.91M,740.91M,1.290B,,2004-12,1.091B,640.83M,,,,,-32.07M,1.700B,,2004-12,,
2004-09,,423.56M,28.94M,452.50M,355.69M,,,355.69M,,,,,20.29M,67.72M,,,896.21M,,,,,,,,888.50M,-493.78M,394.72M,,1.208B,1.208B,,,,321.24M,1.924B,2.820B,,2004-09,244.82M,,244.82M,,244.82M,,,,,,250.56M,250.56M,,,,420.00M,,,,,310.51M,730.51M,1.226B,,2004-09,1.043B,581.03M,,,,,-29.93M,1.594B,,2004-09,,
2004-06,,389.72M,21.99M,411.71M,347.63M,,,347.63M,,,,,24.14M,71.23M,,,854.71M,,,,,,,,892.31M,-493.78M,398.54M,,1.229B,1.229B,,,,313.41M,1.941B,2.796B,,2004-06,261.52M,,261.52M,,261.52M,,,,,,242.58M,242.58M,,,,434.59M,,,,,290.05M,724.64M,1.229B,,2004-06,1.047B,561.40M,,,,,-41.70M,1.567B,,2004-06,,
2004-03,,466.90M,27.23M,494.13M,354.88M,,,354.88M,,,,,26.04M,64.36M,,,939.41M,,,,,,,,897.25M,-493.78M,403.48M,,1.141B,1.141B,,,,361.41M,1.906B,2.846B,,2004-03,251.60M,,251.60M,,251.60M,,,,,,240.91M,240.91M,,,,420.00M,,,,,312.63M,732.63M,1.225B,,2004-03,1.087B,557.60M,,,,,-24.62M,1.620B,,2004-03,,
2003-12,,309.18M,109.25M,418.42M,348.68M,,,348.68M,,,,,16.93M,58.21M,,,842.24M,0.00,74.79M,206.30M,577.64M,,38.89M,,897.62M,-493.78M,403.85M,,1.160B,1.160B,,,,411.51M,1.976B,2.818B,,2003-12,243.06M,,243.06M,,243.06M,,,,0.388M,0.388M,238.48M,238.48M,,,,420.00M,,,,,343.69M,763.69M,1.246B,,2003-12,1.034B,566.35M,,,,,-28.26M,1.572B,,2003-12,,
2003-09,,394.20M,30.15M,424.35M,288.66M,,,288.66M,,,,,15.14M,60.67M,,,788.82M,,,,,,,,831.40M,-436.52M,394.89M,,1.126B,1.126B,,,,361.50M,1.883B,2.671B,,2003-09,311.90M,,311.90M,,311.90M,,,,0.801M,0.801M,219.86M,219.86M,,,,420.08M,,,,,267.12M,687.20M,1.220B,,2003-09,917.23M,565.50M,,,,,-31.16M,1.452B,,2003-09,,
2003-06,,207.21M,34.20M,241.42M,327.98M,,,327.98M,,,,,11.28M,46.10M,,,626.78M,,,,,,,,858.24M,-436.52M,421.73M,,1.058B,1.058B,,,,333.05M,1.813B,2.440B,,2003-06,268.02M,,268.02M,,268.02M,,,,0.933M,0.933M,218.06M,218.06M,,,,35.12M,,,,,285.76M,320.88M,807.90M,,2003-06,1.092B,580.49M,,,,,-40.24M,1.632B,,2003-06,,
2003-03,,239.40M,21.85M,261.25M,297.57M,,,297.57M,8.389M,0.371M,,,8.76M,41.36M,,,608.94M,,,,,,,,862.50M,-436.52M,425.98M,,921.02M,921.02M,,,,336.84M,1.684B,2.293B,,2003-03,237.30M,,237.30M,,237.30M,,,,1.451M,1.451M,208.73M,208.73M,,,,10.22M,,,,,230.87M,241.10M,688.58M,,2003-03,1.062B,588.34M,,,,,-45.71M,1.604B,,2003-03,,
2002-12,,371.33M,24.29M,395.61M,313.97M,,,313.97M,,,,,9.614M,39.45M,,,758.64M,0.00,74.68M,184.23M,527.58M,,81.87M,,868.36M,-436.52M,431.85M,,883.23M,883.23M,,,,352.90M,1.668B,2.427B,,2002-12,294.97M,,294.97M,,294.97M,,,,1.609M,1.609M,207.74M,207.74M,,,0.659M,52.66M,,,,,225.61M,278.27M,782.59M,,2002-12,1.103B,583.92M,,,,,-43.06M,1.644B,,2002-12,,
2002-09,,164.14M,20.97M,185.11M,298.30M,,,298.30M,,,,,7.575M,90.83M,,,581.81M,,,,,,,,818.78M,-378.53M,440.24M,,874.08M,874.08M,,,,311.64M,1.626B,2.208B,,2002-09,245.92M,,245.92M,,245.92M,,,,1.685M,1.685M,193.45M,193.45M,,,,95.87M,,,,,168.35M,264.22M,705.27M,,2002-09,1.041B,518.77M,,,,,-56.97M,1.503B,,2002-09,,
2002-06,,239.19M,39.87M,279.06M,288.37M,,,288.37M,7.214M,,,,7.214M,103.78M,,,678.42M,,,,,,,,817.12M,-378.53M,438.59M,,704.84M,704.84M,,,,287.71M,1.431B,2.110B,,2002-06,261.61M,,261.61M,,261.61M,,,,1.232M,1.232M,232.37M,232.37M,,,1.135M,1.135M,,,,,179.98M,181.12M,676.33M,,2002-06,984.99M,510.54M,,,,,-62.30M,1.433B,,2002-06,,
2002-03,,179.22M,46.04M,225.26M,243.32M,,,243.32M,15.96M,0.297M,,,16.25M,98.12M,,,582.96M,,,,,,,,805.78M,-378.53M,427.25M,,427.67M,427.67M,,,,283.20M,1.138B,1.721B,,2002-03,193.70M,,193.70M,,193.70M,,,,1.293M,1.293M,220.01M,220.01M,,,1.254M,1.254M,,,,,153.29M,154.55M,569.55M,,2002-03,637.89M,556.86M,,,,,-43.22M,1.152B,,2002-03,,
2001-12,,206.31M,68.48M,274.79M,258.40M,,,258.40M,18.13M,0.018M,,,18.15M,83.58M,,,634.92M,0.00,71.88M,169.98M,458.28M,,95.58M,,795.72M,-378.53M,417.19M,,413.64M,413.64M,,,,264.28M,1.095B,1.730B,,2001-12,259.03M,,259.03M,,259.03M,,,,1.397M,1.397M,211.96M,211.96M,,,1.476M,1.476M,,,,,134.82M,136.29M,608.68M,,2001-12,628.70M,535.51M,,,,,-42.86M,1.121B,,2001-12,,
2001-09,,155.86M,20.03M,175.89M,262.20M,,,262.20M,,,,,14.08M,60.41M,,,512.58M,,,,,,,,727.46M,-320.74M,406.72M,,333.97M,333.97M,,,,255.78M,996.48M,1.509B,,2001-09,227.50M,,227.50M,,227.50M,1.636M,,,1.636M,1.636M,216.98M,250.93M,33.95M,,1.70M,1.70M,,,,,62.72M,64.42M,544.48M,,2001-09,766.43M,496.58M,,250.56M,,,-47.87M,964.58M,,2001-09,,
2001-06,,130.04M,11.03M,141.06M,249.08M,,,249.08M,17.69M,4.447M,,,22.14M,126.13M,,,538.41M,,,,,,,,702.60M,-320.74M,381.86M,,355.51M,355.51M,,,,204.29M,941.66M,1.480B,,2001-06,243.83M,,243.83M,,243.83M,1.807M,,,1.807M,1.807M,,233.07M,233.07M,,2.207M,2.207M,,,,6.878M,60.04M,62.25M,540.95M,,2001-06,798.74M,369.16M,,164.15M,,,-71.51M,932.24M,,2001-06,,
2001-03,,100.62M,10.93M,111.55M,254.21M,,,254.21M,19.93M,3.98M,,,23.91M,113.88M,,,503.55M,,,,,,,,692.09M,-320.74M,371.35M,,401.32M,401.32M,,,,218.50M,991.18M,1.495B,,2001-03,217.09M,,217.09M,,217.09M,,,,1.914M,1.914M,221.35M,221.35M,,0.124M,2.793M,2.793M,,,,10.76M,58.80M,61.59M,502.07M,,2001-03,809.55M,398.05M,,145.19M,,,-80.51M,981.90M,,2001-03,,
2000-12,,85.22M,51.75M,136.97M,289.47M,,,289.47M,17.90M,2.252M,,,20.15M,110.26M,,,556.85M,0.00,68.54M,162.18M,422.13M,,36.76M,,689.62M,-320.74M,368.88M,,326.52M,326.52M,,,,225.08M,920.47M,1.477B,,2000-12,273.59M,,273.59M,,273.59M,,,,2.212M,2.212M,215.77M,215.77M,,,,3.298M,,,,11.61M,61.37M,64.67M,556.24M,,2000-12,847.10M,394.22M,,256.26M,,,-75.60M,909.46M,,2000-12,,
2000-09,,122.19M,5.788M,127.98M,256.30M,,,256.30M,15.46M,1.825M,,,17.28M,87.01M,,,488.58M,,,,,,,,654.72M,-306.44M,348.29M,,349.16M,349.16M,,,,229.97M,927.41M,1.416B,,2000-09,250.06M,,250.06M,,250.06M,2.651M,,,2.651M,2.651M,194.60M,194.60M,,,,3.817M,,,,,47.45M,51.27M,498.57M,,2000-09,789.37M,351.73M,,221.59M,,,-2.091M,917.42M,,2000-09,,
2000-06,,113.16M,6.278M,119.44M,231.84M,,,231.84M,12.62M,2.604M,,,15.22M,117.77M,,,484.28M,,,,,,,,629.50M,-291.74M,337.76M,,366.98M,366.98M,,,,206.72M,911.46M,1.396B,,2000-06,256.99M,,256.99M,,256.99M,,,,3.447M,3.447M,192.47M,192.47M,,,,4.198M,,,,,31.18M,35.37M,488.28M,,2000-06,820.22M,338.06M,,246.25M,,,-4.58M,907.46M,,2000-06,,
2000-03,,110.96M,7.27M,118.23M,213.38M,,,213.38M,13.19M,2.382M,,,15.57M,96.16M,,,443.34M,,,,,,,,621.46M,-281.74M,339.72M,,394.55M,394.55M,,,,227.95M,962.23M,1.406B,,2000-03,225.81M,,225.81M,,225.81M,,,,3.695M,3.695M,166.46M,166.46M,,,,4.494M,,,,,32.91M,37.40M,433.36M,,2000-03,831.41M,332.44M,,209.43M,,,17.80M,972.21M,,2000-03,,
1999-12,,111.40M,7.357M,118.76M,248.03M,,,248.03M,,,,,19.87M,,,93.25M,479.91M,,,,,,,,555.71M,-225.30M,330.41M,,402.15M,402.15M,,,,247.18M,979.75M,1.460B,,1999-12,265.52M,,265.52M,,265.52M,,,,3.924M,3.924M,,,,152.12M,,25.02M,,,,,26.93M,51.95M,473.51M,,1999-12,857.96M,344.25M,,240.75M,,,24.69M,986.15M,,1999-12,,
1999-09,,113.36M,7.105M,120.46M,259.36M,,,259.36M,11.64M,1.107M,,,12.75M,122.16M,,,514.73M,,,,,,,,582.51M,-253.57M,328.95M,,377.47M,377.47M,,,,276.35M,982.76M,1.497B,,1999-09,221.30M,,221.30M,,221.30M,2.41M,,,2.41M,2.41M,139.76M,139.76M,,10.64M,,38.78M,77.64M,,77.64M,0.041M,22.99M,139.42M,513.53M,,1999-09,849.94M,366.73M,,223.21M,,,-9.529M,983.93M,,1999-09,,
1999-06,,192.96M,33.03M,225.99M,254.09M,,,254.09M,0.22M,9.521M,,,9.741M,117.41M,,,607.23M,,,,,,,,546.88M,-237.23M,309.65M,,278.35M,278.35M,,,,305.06M,893.05M,1.500B,,1999-06,222.07M,,222.07M,,222.07M,1.615M,,,1.615M,1.615M,130.16M,130.16M,,7.858M,,1.253M,71.54M,,71.54M,0.041M,19.73M,92.52M,454.22M,,1999-06,871.10M,408.18M,,223.58M,,,-9.681M,1.046B,,1999-06,,
1999-03,,203.78M,13.13M,216.91M,252.11M,,,252.11M,,,,,,98.90M,,,567.92M,,,,,,,,314.15M,-35.70M,278.45M,,289.80M,289.80M,,,,282.18M,850.43M,1.418B,,1999-03,158.79M,,158.79M,,158.79M,1.23M,,,1.23M,1.23M,102.68M,102.68M,,7.359M,,86.08M,69.10M,,69.10M,0.24M,24.31M,179.49M,449.55M,,1999-03,764.85M,412.69M,,200.68M,,,-8.293M,968.56M,,1999-03,,
1998-12,,209.10M,,209.10M,305.10M,,,305.10M,,,,,9.90M,,,142.10M,666.20M,,,,,,,,466.70M,-192.50M,274.20M,,286.10M,286.10M,,,,255.40M,815.70M,1.482B,,1998-12,242.50M,,242.50M,,242.50M,,,,1.30M,1.30M,,,,128.00M,,136.40M,,,,0.40M,25.50M,161.90M,533.70M,,1998-12,818.00M,358.30M,,219.40M,,,-9.10M,947.80M,,1998-12,,
1998-09,,207.73M,38.23M,245.96M,236.87M,,,236.87M,,,,,,,,86.58M,569.41M,,,,,,,,427.08M,-179.06M,248.02M,,91.15M,91.15M,,,,274.64M,613.82M,1.183B,,1998-09,161.83M,,161.83M,,161.83M,,,,1.105M,1.105M,109.43M,109.43M,,288.47M,,1.461M,,,,0.322M,30.17M,31.63M,592.47M,,1998-09,626.60M,177.08M,,205.78M,,-7.469M,-7.469M,590.43M,,1998-09,,
1998-06,,134.91M,125.83M,260.74M,230.56M,,,230.56M,,,,,,,,79.85M,571.16M,,,,,,,,396.22M,-165.80M,230.42M,,31.55M,31.55M,,,,253.06M,515.02M,1.086B,,1998-06,148.37M,,148.37M,,148.37M,,,,0.802M,0.802M,104.26M,104.26M,,8.71M,,1.048M,,,,0.196M,33.53M,34.58M,296.71M,,1998-06,596.64M,369.84M,,167.90M,,-9.299M,-9.299M,789.28M,,1998-06,,
