,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,302.40M,746.97M,5.466M,752.43M,117.06M,,109.42M,225.82M,,,,,30.09M,61.60M,,,1.070B,,,,,,,,923.08M,-673.26M,249.81M,665.62M,264.93M,930.54M,9.38M,,,227.00M,1.417B,2.487B,,2018-03,,,,,210.78M,,45.00M,299.83M,344.83M,344.83M,310.64M,310.64M,,,,344.77M,,56.28M,56.28M,,77.08M,478.13M,1.344B,,2018-03,1.859B,499.82M,,1.222B,,,5.94M,1.142B,,2018-03,AOR,Restated
2017-12,184.15M,688.09M,,688.09M,119.32M,,71.10M,190.43M,17.49M,,15.72M,,33.21M,68.27M,,,979.99M,0.00,55.84M,127.48M,615.07M,,5.154M,106.17M,909.72M,-658.38M,251.34M,666.01M,278.84M,944.84M,12.24M,,152.50M,74.81M,1.439B,2.419B,,2017-12,4.825M,,4.825M,216.28M,221.10M,,85.00M,,85.00M,85.00M,336.30M,336.30M,,,,644.37M,,61.51M,61.51M,,81.23M,787.11M,1.430B,,2017-12,1.830B,341.00M,,1.178B,,,-3.63M,989.20M,,2017-12,AOR,Restated
2017-09,188.80M,678.28M,4.135M,682.42M,95.27M,,75.04M,170.31M,,,,,36.00M,42.37M,,,931.10M,,,,,,,,892.92M,-648.30M,244.62M,574.91M,216.18M,791.09M,11.59M,,,326.82M,1.374B,2.305B,,2017-09,,,,,199.67M,,0.00,,0.00,0.00,320.46M,320.46M,,,,644.15M,,57.86M,57.86M,,72.34M,774.35M,1.294B,,2017-09,1.808B,355.44M,,1.143B,,,-10.02M,1.011B,,2017-09,AOR,Restated
2017-06,208.11M,656.00M,3.229M,659.23M,84.38M,,68.77M,153.15M,,,,,31.89M,39.18M,,,883.45M,,,,,,,,883.56M,-634.42M,249.14M,575.02M,229.78M,804.81M,13.34M,,,316.96M,1.384B,2.268B,,2017-06,,,,,222.22M,,0.00,,0.00,0.00,322.51M,322.51M,,,,643.93M,,60.16M,60.16M,,67.10M,771.18M,1.316B,,2017-06,1.849B,274.29M,,1.157B,,,-14.59M,951.79M,,2017-06,AOR,Restated
2017-03,162.92M,544.13M,3.479M,547.61M,114.14M,,66.43M,180.57M,,,,,30.73M,41.09M,,,800.00M,,,,,,,,867.13M,-623.18M,243.95M,574.54M,244.44M,818.99M,13.13M,,,315.13M,1.391B,2.191B,,2017-03,,,,,193.98M,,50.00M,,50.00M,50.00M,331.85M,331.85M,,,,643.71M,,66.40M,66.40M,,64.67M,774.78M,1.351B,,2017-03,1.824B,205.16M,,1.167B,,,-22.28M,840.59M,,2017-03,AOR,Restated
2016-12,227.51M,465.23M,3.057M,468.29M,85.55M,,71.62M,157.17M,26.59M,,12.89M,,39.48M,37.10M,,,702.03M,0.00,55.78M,126.02M,571.24M,,3.478M,95.04M,851.57M,-612.96M,238.61M,572.76M,258.81M,831.58M,12.95M,,256.55M,55.19M,1.395B,2.097B,,2016-12,4.367M,18.38M,22.75M,216.75M,239.50M,,50.00M,,50.00M,50.00M,296.07M,296.07M,,,,643.49M,,66.77M,66.77M,,59.31M,769.58M,1.355B,,2016-12,1.820B,136.90M,,1.190B,,,-25.16M,741.77M,,2016-12,AOR,Restated
2016-09,227.26M,524.33M,8.503M,532.84M,80.03M,,71.99M,152.02M,,,,,64.48M,42.95M,,,792.29M,,,,,,,,853.90M,-613.31M,240.59M,573.89M,273.38M,847.27M,14.96M,,,298.98M,1.402B,2.194B,,2016-09,,,,,192.95M,,50.00M,,50.00M,50.00M,288.37M,288.37M,,,,643.28M,,36.34M,36.34M,,56.36M,735.97M,1.267B,,2016-09,1.801B,98.42M,,963.60M,,,-9.15M,926.80M,,2016-09,AOR,Restated
2016-06,274.63M,669.57M,34.74M,704.32M,77.76M,,78.68M,156.44M,,,,,61.93M,39.48M,,,962.18M,,,,,,,,840.44M,-604.53M,235.91M,573.71M,287.89M,861.60M,17.37M,,,300.81M,1.416B,2.378B,,2016-06,,,,,224.68M,,50.00M,,50.00M,50.00M,289.79M,289.79M,,,,643.07M,,38.09M,38.09M,,56.84M,738.01M,1.302B,,2016-06,1.852B,33.71M,,800.06M,,,-9.985M,1.075B,,2016-06,AOR,Restated
2016-03,330.25M,810.40M,96.32M,906.72M,82.40M,,65.13M,147.53M,,,,,56.63M,41.36M,,,1.152B,,,,,,,,824.16M,-592.98M,231.18M,551.90M,283.82M,835.72M,11.36M,,,308.51M,1.387B,2.539B,,2016-03,,,,,195.22M,,50.00M,,50.00M,50.00M,322.68M,322.68M,,,,642.86M,,38.45M,38.45M,,55.76M,737.07M,1.305B,,2016-03,1.844B,-15.62M,,587.35M,,,-7.265M,1.234B,,2016-03,AOR,Restated
2015-12,256.00M,616.69M,94.50M,711.18M,107.04M,,57.81M,164.85M,40.50M,,16.26M,,56.76M,31.44M,,,964.24M,0.00,55.90M,126.16M,535.96M,,1.527M,90.40M,809.94M,-581.34M,228.60M,551.77M,296.48M,848.25M,4.498M,,245.65M,54.28M,1.381B,2.346B,,2015-12,25.15M,11.02M,36.18M,201.85M,238.02M,,0.00,,0.00,0.00,298.28M,298.28M,,,,343.29M,,30.21M,30.21M,,59.60M,433.09M,969.40M,,2015-12,1.863B,-73.99M,,400.56M,,,-12.42M,1.376B,,2015-12,AOR,Restated
