,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2010-06,48.61M,,-6.935M,0.046M,4.023M,,,19.87M,19.87M,-67.56M,5.778M,1.763M,10.44M,2.40M,11.32M,-4.876M,-12.26M,5.101M,,,34.79M,49.00M,,2010-06,-10.90M,,-8.866M,-2.03M,-253.95M,0.669M,-264.18M,,2010-06,76.70M,,76.70M,0.075M,-42.03M,-41.96M,,37.45M,0.029M,,2010-06,619.30M,-142.96M,475.60M,,2010-06,0.075M,350.28M,-273.58M,-42.03M,,,2010-06,AOR,Restated
2010-03,-11.78M,,,0.027M,-5.564M,,,21.46M,21.46M,-1.706M,5.523M,0.164M,10.37M,0.94M,33.78M,-6.047M,-1.518M,0.925M,,,2.747M,46.70M,,2010-03,-10.39M,,-9.899M,-0.487M,0.00,8.964M,-1.422M,,2010-03,-1.719M,,-1.719M,8.044M,-2.079M,5.965M,,,0.03M,,2010-03,569.12M,49.56M,619.30M,,2010-03,8.044M,,-1.719M,-2.079M,,,2010-03,AOR,Restated
2009-12,1.79M,0.00,,0.112M,-11.31M,,,21.80M,21.80M,3.082M,5.355M,5.334M,11.02M,-15.08M,-2.434M,1.05M,2.648M,-15.46M,,,-27.83M,0.908M,,2009-12,-10.80M,3.864M,-6.94M,0.00,0.00,3.996M,-2.944M,,2009-12,-2.467M,,-2.467M,0.148M,4.055M,4.203M,,0.00,-2.109M,,2009-12,570.62M,-2.409M,569.12M,,2009-12,0.148M,0.00,-2.467M,4.055M,,,2009-12,AOR,Restated
2009-09,-14.05M,0.00,,0.138M,-3.546M,,,21.31M,21.31M,-1.476M,5.313M,2.908M,14.46M,5.862M,45.66M,-3.001M,-3.916M,-13.15M,,,-34.65M,21.72M,,2009-09,-8.602M,0.00,-8.222M,-0.38M,-9.23M,-0.611M,-18.44M,,2009-09,0.00,,0.00,8.261M,-1.616M,6.645M,,0.00,-1.671M,,2009-09,556.92M,8.254M,570.62M,,2009-09,8.261M,0.00,0.00,-1.616M,,,2009-09,AOR,Restated
2009-06,-74.36M,,,0.085M,4.077M,,,23.77M,23.77M,-1.971M,5.215M,0.266M,16.51M,8.387M,43.39M,6.512M,-0.297M,-2.511M,,,-18.64M,10.34M,,2009-06,-7.858M,,-7.464M,-0.394M,-1.353M,-0.40M,-9.611M,,2009-06,0.796M,,0.796M,0.08M,-1.78M,-1.70M,,0.00,-0.796M,,2009-06,554.40M,-0.967M,556.92M,,2009-06,0.08M,0.00,0.796M,-1.78M,,,2009-06,AOR,Restated
2009-03,-63.26M,,,0.146M,9.972M,,,26.26M,26.26M,-3.073M,5.029M,3.429M,12.73M,5.542M,89.70M,-0.665M,0.172M,-63.74M,,,-29.44M,-7.338M,,2009-03,-14.82M,,-14.82M,0.00,-3.543M,-1.15M,-19.51M,,2009-03,-0.796M,,-0.796M,19.52M,-0.659M,18.86M,,,,,2009-03,568.26M,-8.783M,554.40M,,2009-03,19.52M,,-0.796M,-0.659M,,,2009-03,AOR,Restated
2008-12,-1.634B,-0.35M,,0.122M,-38.20M,,,30.45M,30.45M,209.88M,4.696M,1.382B,23.60M,49.91M,-19.26M,-2.902M,-1.197M,-1.30M,,,24.71M,32.56M,,2008-12,-17.37M,,-16.18M,-1.189M,-0.31M,3.191M,-14.49M,,2008-12,-0.793M,,-0.793M,0.076M,3.693M,3.769M,,,-5.058M,,2008-12,551.75M,15.99M,568.26M,,2008-12,0.076M,0.00,-0.793M,3.693M,,,2008-12,AOR,Restated
2008-09,-170.66M,1.42M,,0.105M,31.85M,,,31.62M,31.62M,1.763M,4.411M,0.514M,14.63M,2.374M,25.63M,0.743M,4.654M,15.10M,,,35.59M,-1.777M,,2008-09,-21.17M,,-20.34M,-0.824M,-14.43M,16.77M,-18.83M,,2008-09,-230.21M,,-230.21M,21.48M,-58.12M,-36.64M,,,0.139M,,2008-09,836.51M,-287.32M,551.75M,,2008-09,21.48M,0.00,-230.21M,-58.12M,,,2008-09,,Restated
2008-06,-18.81M,-0.535M,,0.385M,16.65M,,,32.02M,32.02M,-12.86M,4.409M,0.393M,21.45M,0.398M,19.89M,3.462M,-4.529M,24.25M,,,-28.14M,58.59M,,2008-06,-36.17M,,-36.17M,0.00,-0.629M,-29.48M,-66.29M,,2008-06,17.97M,,17.97M,1.152M,-1.08M,0.072M,,,0.193M,,2008-06,825.54M,10.53M,836.51M,,2008-06,1.152M,17.97M,0.00,-1.08M,,,2008-06,,Restated
2008-03,-33.14M,-0.535M,,0.333M,15.23M,,,32.40M,32.40M,0.00,4.503M,1.097M,21.59M,5.837M,22.17M,1.281M,-3.546M,-80.93M,,,-5.571M,-19.08M,,2008-03,-24.97M,,-24.60M,-0.375M,-5.56M,3.25M,-27.28M,,2008-03,0.00,,0.00,25.48M,-218.44M,-192.96M,,,0.095M,,2008-03,1.063B,-239.22M,825.54M,,2008-03,25.48M,,,-218.44M,,,2008-03,,Restated
2007-12,119.50M,,,,213.95M,,,33.85M,33.85M,7.963M,,,,-234.98M,-113.65M,6.878M,22.63M,55.87M,,,-19.91M,193.51M,,2007-12,-26.39M,0.00,-24.39M,,-6.608M,0.00,-33.00M,,2007-12,,,0.00,6.456M,-34.47M,-28.01M,,,-8.195M,,2007-12,935.59M,124.31M,1.063B,,2007-12,6.456M,,,-34.47M,,,2007-12,,Restated
2007-09,72.73M,,,,-80.47M,,,33.49M,33.49M,3.516M,,,,190.49M,-288.42M,0.291M,-15.47M,-16.02M,,,188.64M,88.78M,,2007-09,-19.41M,0.00,-19.41M,,-66.72M,2.028M,-84.10M,,2007-09,,,0.00,43.79M,-252.36M,-208.57M,,,11.55M,,2007-09,1.129B,-192.34M,935.59M,,2007-09,43.79M,,,-252.36M,,,2007-09,,
2007-06,59.60M,,,,30.32M,,,31.39M,31.39M,1.141M,,,,30.51M,6.012M,-0.321M,2.072M,18.24M,,,-77.77M,101.18M,,2007-06,-17.60M,0.00,-17.60M,,-5.847M,4.064M,-19.38M,,2007-06,,,0.00,93.60M,-4.114M,89.49M,,,9.09M,,2007-06,946.75M,180.38M,1.129B,,2007-06,93.60M,,,-4.114M,,,2007-06,,
2007-03,44.42M,,,,23.45M,,,31.92M,31.92M,0.191M,,,,34.09M,18.16M,-0.651M,-9.832M,-37.73M,,,-85.05M,18.96M,,2007-03,-20.39M,46.50M,26.11M,,-1.547M,3.485M,28.04M,,2007-03,,,-28.00M,111.62M,-127.68M,-16.06M,,,8.642M,,2007-03,934.34M,11.59M,946.75M,,2007-03,111.62M,,,-127.68M,,,2007-03,,
2006-12,48.36M,,,,42.59M,,,33.26M,33.26M,15.84M,,,,52.43M,-246.50M,-8.095M,15.50M,55.68M,,-13.28M,208.93M,204.72M,,2006-12,-21.37M,,-21.05M,,-0.426M,4.603M,-16.87M,,2006-12,,,282.35M,69.73M,-365.66M,-295.92M,,,3.156M,,2006-12,757.51M,177.44M,934.34M,,2006-12,69.73M,,,-365.66M,,,2006-12,,
2006-09,42.06M,,,,55.93M,,,34.32M,34.32M,5.404M,,,,24.54M,153.38M,-3.467M,2.109M,-39.11M,,-33.59M,-181.42M,60.14M,,2006-09,-13.33M,,-13.33M,,-21.64M,3.454M,-31.52M,,2006-09,,,-33.00M,30.34M,-97.55M,-67.21M,,,0.383M,,2006-09,825.86M,-71.20M,757.51M,,2006-09,30.34M,,,-97.55M,,,2006-09,,
2006-06,30.39M,,,,14.61M,,,38.60M,38.60M,4.413M,,,,60.38M,-84.57M,-1.443M,-2.985M,21.50M,,46.86M,-12.79M,114.96M,,2006-06,-26.07M,,-26.07M,,-40.38M,-2.00M,-68.45M,,2006-06,,,-33.00M,34.51M,-91.80M,-57.28M,,,1.033M,,2006-06,872.89M,-42.75M,825.86M,,2006-06,34.51M,,,-91.80M,,,2006-06,,
2006-03,21.78M,,,,35.75M,,,40.94M,40.94M,3.88M,,,,2.251M,8.682M,2.133M,-8.492M,-89.53M,,,24.00M,41.39M,,2006-03,-15.28M,,-15.28M,,-3.329M,23.69M,5.079M,,2006-03,,,-33.00M,61.46M,-69.03M,-7.572M,,,6.14M,,2006-03,861.32M,12.04M,872.89M,,2006-03,61.46M,,,-69.03M,,,2006-03,,
2005-12,26.57M,,,,84.24M,,,40.99M,40.99M,-17.60M,,,,-2.131M,-110.11M,-2.536M,8.948M,69.46M,1.64M,65.09M,12.10M,176.67M,,2005-12,-21.70M,0.00,-21.70M,,-1.69M,0.042M,-30.45M,,2005-12,,,160.00M,37.07M,,-64.00M,,,,,2005-12,618.77M,242.22M,861.32M,,2005-12,37.07M,,,,,,2005-12,,
2005-09,21.27M,,,,37.67M,,,48.32M,48.32M,-5.369M,,,,2.179M,8.38M,-4.807M,-15.99M,-10.40M,-0.265M,-15.26M,-12.10M,53.63M,,2005-09,-16.69M,0.00,-16.69M,,-18.00M,2.735M,-34.70M,,2005-09,,,-0.007M,57.49M,,57.49M,,,,,2005-09,543.56M,76.41M,618.77M,,2005-09,57.49M,,,,,,2005-09,,
2005-06,0.483M,,,,92.30M,,,51.05M,51.05M,2.591M,,,,-0.048M,-44.70M,-0.952M,0.754M,21.82M,0.265M,10.83M,-5.404M,128.99M,,2005-06,-13.67M,33.62M,19.95M,,-276.03M,3.659M,-256.92M,,2005-06,,,-0.024M,12.33M,,12.33M,,,,,2005-06,656.82M,-115.63M,543.56M,,2005-06,12.33M,,,,,,2005-06,,
2005-03,1.023M,,,,50.35M,,,44.35M,44.35M,-2.591M,,,,,45.70M,0.707M,-1.807M,-60.55M,,-15.60M,5.404M,66.99M,,2005-03,-19.59M,,-19.59M,,-1.411M,122.81M,99.38M,,2005-03,,,-0.027M,39.59M,,39.59M,,,,,2005-03,448.52M,205.94M,656.82M,,2005-03,39.59M,,,,,,2005-03,,
2004-12,59.80M,,,,7.324M,179.20M,31.41M,72.10M,72.10M,,,,,-1.008M,-41.73M,-0.188M,1.06M,24.85M,16.42M,40.40M,-24.74M,138.58M,,2004-12,-14.99M,0.00,-14.99M,,0.00,-38.62M,-62.43M,,2004-12,,,-0.016M,9.476M,-0.002M,9.474M,,,0.00,,2004-12,361.63M,85.60M,448.52M,,2004-12,9.476M,,,-0.002M,,,2004-12,,
2004-09,19.63M,,,,41.79M,-92.87M,-16.15M,29.49M,29.49M,,,,,1.008M,-31.90M,3.851M,1.498M,-11.28M,-1.05M,-4.862M,24.74M,72.92M,,2004-09,-13.10M,0.00,-13.10M,,-18.37M,13.42M,-22.08M,,2004-09,,,-0.033M,19.98M,-24.26M,-4.281M,,,0.00,,2004-09,389.72M,46.52M,361.63M,,2004-09,19.98M,,,-24.26M,,,2004-09,,
2004-06,3.803M,,,,-1.12M,92.87M,16.15M,63.66M,63.66M,,,,,,16.31M,1.896M,-3.944M,2.985M,1.05M,17.16M,-0.441M,101.36M,,2004-06,-15.86M,3.625M,-12.23M,,-96.80M,49.26M,-67.54M,,2004-06,,,1.972M,5.505M,-69.85M,-64.34M,,,-1.92M,,2004-06,345.90M,-30.47M,389.72M,,2004-06,5.505M,,,-69.85M,,,2004-06,,
2004-03,-8.755M,,,,18.80M,,,45.36M,45.36M,,,,,,28.51M,-9.114M,-2.024M,-14.55M,,1.00M,0.441M,59.66M,,2004-03,-17.83M,,-17.83M,,,-38.76M,-62.90M,,2004-03,,,-2.293M,40.36M,,40.36M,,,,,2004-03,309.18M,34.83M,345.90M,,2004-03,40.36M,,,,,,2004-03,,
2003-12,15.23M,,,,-20.37M,48.26M,15.57M,63.83M,63.83M,,,,,,-103.72M,-1.785M,4.537M,-31.95M,98.45M,95.85M,,60.04M,,2003-12,-27.88M,0.00,-27.88M,,-41.39M,,-163.00M,,2003-12,,,-0.432M,88.68M,-2.88M,85.80M,,,-56.44M,,2003-12,394.20M,-74.03M,309.18M,,2003-12,88.68M,,,-2.88M,,,2003-12,,
2003-09,-5.829M,,,,64.64M,48.13M,6.421M,54.55M,54.55M,,,,,,-0.457M,-3.864M,-8.498M,15.39M,5.538M,-40.03M,-8.393M,73.05M,,2003-09,-17.54M,9.147M,-8.391M,,-36.22M,,-71.83M,,2003-09,,,384.82M,25.53M,-148.99M,-123.46M,,,-89.66M,,2003-09,207.21M,172.92M,394.20M,,2003-09,25.53M,,,-148.99M,,,2003-09,,
2003-06,-13.93M,,,,1.954M,47.78M,13.06M,60.83M,60.83M,,,,,,-14.48M,-2.517M,-3.802M,5.717M,-2.052M,-3.238M,8.393M,36.88M,,2003-06,6.152M,,6.152M,,-104.64M,,-102.32M,,2003-06,,,24.35M,6.906M,0.00,6.906M,,,,,2003-06,239.40M,-34.18M,207.21M,,2003-06,6.906M,,,0.00,,,2003-06,,
2003-03,-13.04M,,,,25.35M,47.44M,6.081M,53.52M,53.52M,,,,,,9.399M,0.854M,0.943M,-95.85M,17.36M,2.50M,,1.035M,,2003-03,-43.61M,,-43.61M,,,,-49.18M,,2003-03,,,-42.59M,21.89M,-61.96M,-40.07M,,,,,2003-03,371.33M,-130.81M,239.40M,,2003-03,21.89M,,,-61.96M,,,2003-03,,
2002-12,77.08M,,,,56.15M,,,76.64M,76.64M,-24.16M,,,,,-255.33M,-2.039M,25.60M,47.76M,210.99M,64.73M,,277.43M,,2002-12,-29.34M,,-29.34M,,5.544M,1.675M,-11.29M,,2002-12,,,-43.38M,3.62M,-23.61M,-19.99M,,,,,2002-12,164.14M,202.76M,371.33M,,2002-12,3.62M,,,-23.61M,,,2002-12,,
2002-09,8.231M,,,,9.193M,,,60.35M,60.35M,-0.545M,,,,,9.684M,-0.361M,17.80M,-11.20M,97.08M,-50.11M,,140.13M,,2002-09,-27.80M,,-27.80M,,-68.74M,9.949M,-92.45M,,2002-09,,,94.56M,21.19M,-100.03M,-78.84M,,,-138.77M,,2002-09,239.19M,-75.38M,164.14M,,2002-09,21.19M,,,-100.03M,,,2002-09,,
2002-06,-46.32M,,,,57.28M,,,58.46M,58.46M,-0.119M,,,,,17.50M,-0.298M,8.407M,30.69M,-159.02M,34.93M,,1.519M,,2002-06,-36.47M,,-36.47M,,48.10M,3.88M,4.003M,,2002-06,,,-0.41M,7.086M,-15.75M,-8.664M,,,58.37M,,2002-06,179.22M,54.82M,239.19M,,2002-06,7.086M,,,-15.75M,,,2002-06,,
2002-03,21.34M,,,,-2.256M,,,52.46M,52.46M,0.672M,,,,,-66.76M,1.897M,-22.23M,-75.01M,-7.919M,26.38M,,-71.42M,,2002-03,-31.54M,,-31.54M,,-19.58M,23.82M,-36.35M,,2002-03,,,-0.30M,45.33M,-42.40M,2.929M,,,80.40M,,2002-03,206.31M,-24.74M,179.22M,,2002-03,45.33M,,,-42.40M,,,2002-03,,
2001-12,38.93M,,,,29.15M,,,53.37M,53.37M,-15.92M,,,,,-299.80M,-4.326M,-18.58M,-3.483M,211.34M,29.03M,,19.70M,,2001-12,-34.17M,,-34.17M,,9.10M,37.60M,35.78M,,2001-12,,,-10.87M,51.80M,-45.67M,6.127M,,,-1.435M,,2001-12,155.86M,49.30M,206.31M,,2001-12,51.80M,,,-45.67M,,,2001-12,,
2001-09,127.42M,,,,22.89M,,,56.50M,56.50M,2.874M,,,,,92.89M,-4.806M,43.87M,-3.81M,-49.12M,20.53M,,309.25M,,2001-09,-45.44M,,-45.44M,,0.00,5.933M,-64.45M,,2001-09,,,9.852M,12.05M,-151.99M,-139.95M,,,-90.36M,,2001-09,130.04M,24.35M,155.86M,,2001-09,12.05M,,,-151.99M,,,2001-09,,
2001-06,-28.89M,,,,56.19M,,,62.20M,62.20M,-0.988M,,,,,-72.31M,-3.619M,-8.107M,25.31M,-2.357M,8.736M,,36.16M,,2001-06,-41.58M,,-41.58M,,-2.188M,-0.589M,-41.18M,,2001-06,,,-0.63M,12.07M,-39.48M,-27.42M,,,64.01M,,2001-06,100.62M,30.94M,130.04M,,2001-06,12.07M,,,-39.48M,,,2001-06,,
2001-03,3.822M,,,,10.25M,,,58.36M,58.36M,0.851M,,,,,11.40M,-3.765M,-6.846M,-33.52M,,5.102M,,45.66M,,2001-03,-33.13M,,-33.13M,,,41.31M,-15.53M,,2001-03,,,-0.656M,23.96M,-61.89M,-37.93M,,,26.35M,,2001-03,85.22M,17.90M,100.62M,,2001-03,23.96M,,,-61.89M,,,2001-03,,
2000-12,42.49M,,,,-16.74M,,,56.40M,56.40M,-27.78M,,,,,-43.46M,-82.05M,19.66M,-5.522M,,53.84M,,-3.173M,,2000-12,-40.90M,,-40.90M,,0.00,-45.95M,-84.07M,,2000-12,,,-0.883M,48.03M,-74.56M,-26.53M,,,78.24M,,2000-12,122.19M,-36.42M,85.22M,,2000-12,48.03M,,,-74.56M,,,2000-12,,
2000-09,13.67M,,,,10.25M,,,54.60M,54.60M,-1.278M,,,,,-69.32M,77.12M,-11.51M,10.42M,,-27.09M,,56.86M,,2000-09,-31.92M,,-31.92M,,0.00,1.514M,-55.82M,,2000-09,,,-1.058M,28.35M,-59.76M,-31.41M,,,43.50M,,2000-09,113.16M,12.07M,122.19M,,2000-09,28.35M,,,-59.76M,,,2000-09,,
2000-06,5.626M,,,,-10.76M,,,46.98M,46.98M,0.00,,,,,-89.74M,0.351M,-21.61M,37.96M,,68.51M,,37.31M,,2000-06,-24.92M,,-24.92M,,0.00,1.00M,-26.35M,,2000-06,,,-1.07M,19.90M,-67.93M,-48.03M,,,42.01M,,2000-06,110.96M,3.871M,113.16M,,2000-06,19.90M,,,-67.93M,,,2000-06,,
2000-03,-11.81M,,,,6.515M,,,48.84M,48.84M,0.014M,,,,,24.48M,-1.16M,-2.847M,-27.28M,,14.34M,,51.10M,,2000-03,-21.73M,,-21.73M,,-4.503M,1.106M,-59.76M,,2000-03,,,-20.69M,21.04M,-30.70M,-9.657M,,,38.80M,,2000-03,111.40M,-0.211M,110.96M,,2000-03,21.04M,,,-30.70M,,,2000-03,,
1999-12,-22.50M,,,,18.00M,,,46.00M,46.00M,-14.90M,,,,-0.30M,-37.00M,-7.20M,,13.20M,28.20M,0.60M,,24.10M,,1999-12,-45.40M,,-45.40M,,,4.30M,-77.00M,,1999-12,,,-14.50M,35.90M,-33.60M,2.30M,,,65.20M,,1999-12,113.40M,0.10M,111.40M,,1999-12,35.90M,,,-33.60M,,,1999-12,,
1999-09,-41.50M,,,,26.10M,,,41.20M,41.20M,-0.10M,,,,-3.30M,-23.70M,-3.00M,,-7.50M,1.00M,-7.30M,,-18.10M,,1999-09,-123.90M,,-123.90M,,,20.90M,-97.80M,,1999-09,,,38.10M,5.70M,-33.10M,-27.40M,,,25.30M,,1999-09,193.00M,-79.90M,113.40M,,1999-09,5.70M,,,-33.10M,,,1999-09,,
1999-06,-2.962M,,,,4.292M,,,39.10M,39.10M,-0.116M,,,,3.40M,-9.054M,-1.592M,,43.22M,-9.51M,8.061M,,74.84M,,1999-06,-41.37M,,-41.37M,,,6.535M,-52.79M,,1999-06,,,-84.49M,17.96M,-28.32M,-10.36M,,,28.86M,,1999-06,238.18M,-43.94M,193.00M,,1999-06,17.96M,,,-28.32M,,,1999-06,,
1999-03,52.86M,,,,14.61M,,,37.60M,37.60M,13.72M,,,,,-26.95M,1.792M,,-53.02M,-7.19M,12.94M,,46.36M,,1999-03,-32.83M,,-32.83M,,,20.56M,-26.91M,,1999-03,,,-50.31M,31.64M,-20.78M,10.86M,,,48.24M,,1999-03,209.07M,28.24M,238.18M,,1999-03,31.64M,,,-20.78M,,,1999-03,,
1998-12,47.50M,,,,8.00M,,,36.90M,36.90M,-12.00M,,,,0.10M,-144.00M,-6.40M,,56.90M,-3.10M,33.30M,,17.20M,,1998-12,-283.60M,,-283.60M,,,11.40M,-279.60M,,1998-12,,,134.00M,42.60M,-20.80M,21.80M,,,83.70M,,1998-12,232.30M,-22.90M,209.10M,,1998-12,42.60M,,,-20.80M,,,1998-12,,
1998-09,-80.40M,,,,145.40M,,,26.10M,26.10M,38.70M,,,,-0.50M,-98.20M,-1.90M,,2.60M,1.30M,37.90M,,71.00M,,1998-09,-77.70M,,-77.70M,,,94.70M,-59.50M,,1998-09,,,-0.20M,17.90M,-51.90M,-34.00M,,,101.10M,,1998-09,152.10M,78.40M,232.30M,,1998-09,17.90M,,,-51.90M,,,1998-09,,
1998-06,58.40M,,,,4.20M,,,27.20M,27.20M,-6.00M,,,,0.50M,-84.40M,5.90M,,19.50M,3.90M,7.20M,,36.40M,,1998-06,-30.20M,,-30.20M,,,-14.60M,-58.00M,,1998-06,,,-0.70M,20.70M,-65.10M,-44.40M,,,27.10M,,1998-06,179.20M,-39.60M,152.10M,,1998-06,20.70M,,,-65.10M,,,1998-06,,
