,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,72.88M,,,,-0.996M,,,29.39M,29.39M,1.363M,,,37.90M,0.122M,-10.99M,2.105M,8.392M,-46.96M,,,63.76M,157.65M,,2018-03,-13.13M,,-13.13M,,,0.00,-13.13M,,2018-03,,-43.87M,-43.87M,23.34M,-76.53M,-53.19M,,,,,2018-03,688.09M,47.46M,746.97M,,2018-03,23.34M,0.00,-43.87M,-76.53M,2.716M,,2018-03,AOR,Restated
2017-12,-14.44M,,,,3.048M,,,28.92M,28.92M,79.72M,,,36.02M,-2.819M,-21.49M,2.752M,-21.17M,15.14M,,,20.06M,126.86M,,2017-12,-18.22M,,-18.22M,,-142.70M,0.412M,-160.51M,,2017-12,0.00,88.87M,88.87M,3.546M,-53.04M,-49.50M,,,0.00,,2017-12,678.28M,5.714M,688.09M,,2017-12,3.546M,88.87M,0.00,-53.04M,9.972M,,2017-12,AOR,Restated
2017-09,81.16M,,,,-10.42M,,,28.30M,28.30M,-4.601M,,,36.09M,1.893M,-15.88M,-0.253M,-3.07M,-19.13M,,,-6.27M,89.31M,,2017-09,-12.19M,,-12.19M,,-0.55M,9.34M,-3.398M,,2017-09,0.00,0.00,0.00,15.45M,-78.32M,-62.87M,,,0.00,,2017-09,656.00M,23.04M,678.28M,,2017-09,15.45M,0.00,0.00,-78.32M,2.076M,,2017-09,AOR,Restated
2017-06,69.13M,,,,-0.855M,,,29.41M,29.41M,2.823M,,,30.48M,1.081M,28.82M,-3.465M,2.22M,24.16M,,,-21.66M,162.14M,,2017-06,-12.64M,,-12.64M,,,0.082M,-12.56M,,2017-06,,-50.00M,-50.00M,7.252M,-3.349M,3.903M,,,0.00,,2017-06,544.13M,103.48M,656.00M,,2017-06,7.252M,0.00,-50.00M,-3.349M,9.893M,,2017-06,AOR,Restated
2017-03,68.26M,,,,-1.228M,,,28.89M,28.89M,1.99M,,,27.44M,1.709M,-22.48M,6.00M,-3.777M,-46.16M,,,31.78M,92.43M,,2017-03,-14.84M,,-14.84M,,,0.107M,-14.74M,,2017-03,,0.00,0.00,22.72M,-22.47M,0.245M,,,-0.793M,,2017-03,465.23M,77.15M,544.13M,,2017-03,22.72M,50.00M,-50.00M,-22.47M,2.219M,,2017-03,AOR,Restated
2016-12,38.48M,-0.441M,,,-1.096M,,,29.86M,29.86M,-13.53M,,,29.23M,2.435M,-6.48M,21.27M,5.232M,49.24M,,,41.91M,196.86M,,2016-12,-11.26M,0.441M,-10.82M,,0.00,5.605M,-5.214M,,2016-12,0.00,0.00,0.00,5.147M,-241.79M,-236.64M,,,0.00,,2016-12,524.33M,-44.99M,465.23M,,2016-12,5.147M,65.00M,-65.00M,-241.79M,9.786M,,2016-12,AOR,Restated
2016-09,64.71M,-0.482M,,,-1.287M,,,26.97M,26.97M,-1.595M,,,30.00M,1.384M,6.405M,-6.043M,-3.445M,-32.57M,,,-0.063M,84.46M,,2016-09,-14.16M,0.482M,-13.68M,,0.00,26.83M,13.14M,,2016-09,0.00,0.00,0.00,14.00M,-258.14M,-244.14M,,,0.00,,2016-09,669.57M,-146.54M,524.33M,,2016-09,14.00M,0.00,0.00,-258.14M,1.815M,,2016-09,AOR,Restated
2016-06,49.34M,,,,-0.648M,,,31.53M,31.53M,8.629M,,,25.36M,0.813M,-15.15M,-6.582M,1.442M,28.54M,,,-42.90M,80.37M,,2016-06,-16.17M,,-16.17M,,-37.77M,61.28M,7.338M,,2016-06,0.00,0.00,0.00,12.10M,-242.36M,-230.27M,,,-0.08M,,2016-06,810.40M,-142.64M,669.57M,,2016-06,12.10M,0.00,0.00,-242.36M,9.314M,,2016-06,AOR,Restated
2016-03,50.56M,,,,-2.617M,,,31.23M,31.23M,1.623M,,,24.63M,0.464M,11.62M,-3.714M,-10.13M,-42.56M,,,22.08M,83.19M,,2016-03,-12.12M,,-12.12M,,-3.853M,2.058M,-13.91M,,2016-03,300.00M,50.00M,350.00M,24.20M,-255.22M,-231.02M,,,-0.542M,,2016-03,616.69M,187.71M,810.40M,,2016-03,24.20M,350.00M,0.00,-255.22M,0.109M,,2016-03,AOR,Restated
2015-12,80.37M,,,,-0.69M,,,30.16M,30.16M,-14.86M,,,24.66M,0.932M,-34.63M,0.741M,11.07M,43.48M,,,-18.38M,122.85M,,2015-12,-10.72M,,-10.72M,,0.00,0.738M,-9.977M,,2015-12,0.00,0.00,0.00,15.49M,-121.91M,-106.42M,,,-1.349M,,2015-12,616.09M,5.105M,616.69M,,2015-12,15.49M,0.00,0.00,-121.91M,7.784M,,2015-12,AOR,Restated
2015-09,77.62M,,,,0.156M,,,29.04M,29.04M,-5.384M,,,24.12M,-0.997M,-2.022M,4.382M,-4.415M,-7.501M,,,-28.10M,86.91M,,2015-09,-10.03M,,-10.03M,,,3.603M,-6.423M,,2015-09,0.00,,0.00,21.28M,-136.04M,-114.76M,,,6.843M,,2015-09,647.85M,-27.43M,616.09M,,2015-09,21.28M,,0.00,-136.04M,0.128M,,2015-09,AOR,Restated
