,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,756.13M,756.13M,426.10M,330.04M,172.71M,16.14M,0.076M,8.665M,1.188M,-7.477M,,188.85M,141.19M,1.188M,8.665M,-7.477M,0.076M,-7.477M,133.79M,27.78M,106.01M,,,-0.15M,105.86M,54.42M,142.45M,,2020-09,1.24,1.239,1.24,,2020-09,1.23,1.229,1.23,,85.84M,0.40,,2020-09,AOR,
2020-06,668.93M,668.93M,383.36M,285.57M,155.17M,16.23M,-0.166M,9.492M,2.289M,-7.203M,,171.40M,114.17M,2.289M,9.492M,-7.203M,-0.166M,-7.203M,106.80M,18.67M,88.12M,,,0.066M,88.19M,48.95M,116.29M,,2020-06,1.04,1.042,1.04,,2020-06,1.03,1.032,1.03,,85.68M,0.37,,2020-06,AOR,
2020-03,822.99M,822.99M,458.93M,364.06M,189.06M,17.22M,-0.006M,9.577M,-0.176M,-9.753M,,206.29M,157.77M,-0.176M,9.577M,-9.753M,-0.006M,-9.753M,148.01M,24.79M,123.22M,,,0.097M,123.32M,50.94M,157.59M,,2020-03,1.45,1.450,1.45,,2020-03,1.44,1.440,1.44,,85.67M,0.37,,2020-03,AOR,
2019-12,774.26M,774.26M,442.91M,331.35M,172.93M,16.49M,0.448M,9.813M,1.378M,-8.435M,,189.41M,141.94M,1.378M,9.813M,-8.435M,0.448M,-8.435M,133.95M,29.28M,104.67M,,,0.263M,104.93M,49.56M,143.76M,,2019-12,1.24,1.236,1.24,,2019-12,1.23,1.226,1.23,,85.63M,0.37,,2019-12,AOR,
2019-09,736.84M,736.84M,418.17M,318.67M,175.96M,16.25M,0.274M,10.44M,1.018M,-9.426M,,192.21M,126.46M,1.018M,10.44M,-9.426M,0.274M,-9.426M,117.31M,22.16M,95.14M,,,-0.373M,94.77M,49.63M,127.75M,,2019-09,1.12,1.117,1.12,,2019-09,1.11,1.107,1.11,,85.70M,0.37,,2019-09,AOR,Restated
2019-06,696.80M,696.80M,390.96M,305.84M,178.78M,15.58M,-1.389M,10.68M,,-10.68M,,194.37M,111.48M,,10.68M,-10.68M,-1.389M,-10.68M,99.41M,14.63M,84.78M,,,-0.187M,84.59M,47.10M,110.09M,,2019-06,1.00,1.014,1.00,,2019-06,0.99,1.004,0.99,,85.57M,0.34,,2019-06,AOR,Restated
2019-03,768.21M,768.21M,433.50M,334.72M,173.12M,15.88M,-4.84M,10.50M,,-7.478M,,189.00M,145.72M,,10.50M,-7.478M,-4.84M,-7.478M,133.40M,24.52M,108.88M,,,-0.132M,108.74M,50.26M,143.90M,,2019-03,1.29,1.337,1.29,,2019-03,1.27,1.316,1.27,,85.44M,0.34,,2019-03,AOR,Restated
2018-12,696.24M,696.24M,409.24M,287.00M,176.10M,15.17M,-26.15M,11.82M,,-11.82M,,191.27M,95.73M,,11.82M,-11.82M,-26.15M,-11.82M,57.76M,9.334M,48.43M,,,-0.568M,47.86M,82.69M,69.58M,,2018-12,0.57,0.8292,0.57,,2018-12,0.56,0.8164,0.56,,85.44M,0.34,,2018-12,AOR,Restated
2018-09,678.96M,678.96M,394.30M,284.66M,162.31M,15.77M,0.00,11.39M,0.073M,-11.32M,,178.08M,106.58M,0.073M,11.39M,-11.32M,,-11.32M,95.26M,17.76M,77.50M,,,-0.038M,77.46M,46.12M,106.65M,,2018-09,0.92,0.92,0.92,,2018-09,0.91,0.91,0.91,,85.48M,0.34,,2018-09,AOR,Restated
2018-06,638.76M,638.76M,369.71M,269.05M,158.41M,16.22M,0.00,11.74M,0.367M,-11.37M,,174.63M,94.42M,0.367M,11.74M,-11.37M,,-11.37M,83.05M,12.77M,70.28M,,,-0.287M,69.99M,46.85M,94.79M,,2018-06,0.83,0.83,0.83,,2018-06,0.82,0.82,0.82,,85.51M,0.31,,2018-06,AOR,Restated
