,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-11,1.410B,1.757B,937.16M,819.88M,467.01M,,24.56M,0.218M,-24.34M,,467.01M,352.87M,0.218M,24.56M,-24.34M,,-24.34M,328.53M,43.68M,284.86M,0.00,,284.86M,284.86M,449.56M,96.48M,353.09M,2.69,0.0,,2.69,2.69,2.62,0.0,,2.62,2.62,105.00M,107.98M,3.51
2020-08,1.394B,1.747B,920.37M,826.20M,476.50M,,24.55M,0.064M,-24.49M,,476.50M,349.71M,0.064M,24.55M,-24.49M,,-24.49M,325.22M,25.22M,300.00M,,,300.00M,300.00M,445.95M,96.18M,349.77M,2.86,,,2.86,2.86,2.78,,,2.78,2.78,104.11M,107.13M,0.0
2020-05,1.271B,1.620B,911.76M,707.82M,500.39M,0.00,25.95M,0.196M,-25.76M,,500.39M,207.43M,0.196M,25.95M,-25.76M,,-25.76M,181.68M,37.09M,144.58M,0.00,,144.58M,144.58M,304.19M,96.56M,207.63M,1.38,0.0,,1.38,1.38,1.35,0.0,,1.35,1.35,103.74M,106.21M,0.0
2020-02,1.448B,1.811B,986.25M,824.40M,509.74M,0.00,25.94M,0.347M,-25.60M,,509.74M,314.65M,0.347M,25.94M,-25.60M,,-25.60M,289.06M,54.54M,234.52M,0.00,,234.52M,234.52M,411.16M,96.16M,315.00M,2.23,0.0,,2.23,2.23,2.16,0.0,,2.16,2.16,104.24M,107.59M,0.0
2019-11,1.470B,1.844B,991.36M,852.39M,517.93M,0.00,26.18M,0.283M,-25.89M,,517.93M,334.46M,0.283M,26.18M,-25.89M,,-25.89M,308.57M,62.13M,246.44M,-0.323M,,246.12M,246.44M,429.08M,94.34M,334.75M,2.35,0.0,,2.35,2.35,2.27,0.0,,2.27,2.27,103.96M,107.34M,2.55
2019-08,1.455B,1.811B,962.00M,849.14M,543.00M,,27.32M,0.162M,-27.16M,,543.00M,306.15M,0.162M,27.32M,-27.16M,,-27.16M,278.99M,28.18M,250.81M,,,250.81M,250.81M,398.30M,91.99M,306.31M,2.4,,,2.4,2.4,2.32,,,2.32,2.32,103.54M,107.08M,0.0
2019-05,1.428B,1.794B,970.16M,823.56M,508.24M,-0.914M,25.78M,0.271M,-25.51M,,508.24M,315.32M,0.271M,25.78M,-25.51M,-0.914M,-25.51M,288.90M,62.73M,226.17M,-0.052M,,226.12M,226.89M,408.45M,93.76M,314.68M,2.13,0.0,,2.137,2.13,2.06,0.0,,2.0669999999999997,2.06,105.88M,109.23M,0.0
2019-02,1.358B,1.682B,927.18M,755.15M,476.10M,-0.799M,26.77M,0.07M,-26.70M,,476.10M,279.05M,0.07M,26.77M,-26.70M,-0.799M,-26.70M,251.56M,50.63M,200.92M,2.411M,,203.33M,201.56M,369.98M,91.66M,278.32M,1.89,0.02,,1.896,1.91,1.83,0.02,,1.8359999999999999,1.85,105.08M,108.16M,0.0
2018-11,1.391B,1.718B,943.11M,775.16M,491.67M,-7.847M,24.88M,0.391M,-24.49M,,491.67M,283.49M,0.391M,24.88M,-24.49M,61.53M,-24.49M,320.52M,77.53M,242.99M,0.019M,,243.01M,196.36M,433.78M,88.38M,345.40M,2.25,0.0,,1.8119999999999998,2.25,2.18,0.0,,1.756,2.18,106.48M,109.87M,2.05
2018-08,1.375B,1.698B,923.26M,774.71M,504.63M,-4.85M,24.30M,0.496M,-23.81M,,504.63M,270.08M,0.496M,24.30M,-23.81M,-4.85M,-23.81M,241.42M,28.87M,212.55M,-0.032M,,212.52M,216.82M,352.02M,86.30M,265.72M,1.96,0.0,,2.0,1.96,1.89,0.0,,1.929,1.89,106.84M,110.65M,0.0
