,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-11,703.18M,,703.18M,910.27M,,967.07M,,,,534.13M,125.46M,,772.94M,3.103B,,,,,1.498B,,,1.498B,,1.498B,2.890B,430.92M,3.321B,252.45M,280.49M,5.352B,8.455B,274.02M,0.00,274.02M,791.16M,1.065B,,249.87M,249.87M,42.68M,292.55M,,,,1.508B,2.291B,117.49M,2.408B,376.41M,376.41M,563.48M,,3.348B,4.857B,1.388B,7.510B,51.61M,5.254B,,,,-97.41M,3.598B
2020-08,421.54M,,421.54M,866.41M,,866.41M,18.56M,26.75M,442.86M,488.16M,133.69M,,756.36M,2.666B,,,,,1.538B,,,1.538B,,1.538B,2.886B,674.15M,3.560B,240.43M,39.07M,5.377B,8.043B,252.51M,23.25M,275.76M,406.79M,682.55M,,249.81M,249.81M,43.41M,293.22M,,,,1.093B,2.290B,121.73M,2.412B,385.15M,385.15M,547.90M,,3.345B,4.439B,1.345B,7.597B,30.16M,5.251B,,,,-115.95M,3.605B
2020-05,145.40M,,145.40M,870.37M,,870.37M,18.66M,29.50M,360.74M,408.90M,114.62M,,770.41M,2.310B,0.0,188.72M,682.77M,2.348B,159.97M,54.55M,40.19M,3.474B,-1.911B,1.563B,2.870B,681.16M,3.551B,214.85M,31.13M,5.360B,7.670B,231.00M,27.10M,258.09M,321.81M,579.90M,0.00,,0.00,43.03M,43.03M,,,,885.20M,2.540B,122.70M,2.662B,388.58M,388.58M,498.51M,,3.549B,4.435B,1.103B,7.297B,171.52M,5.182B,,,,-153.38M,3.235B
2020-02,234.44M,,234.44M,942.85M,,966.34M,14.31M,27.22M,311.39M,352.92M,125.52M,,818.49M,2.498B,,,,,1.600B,,,1.600B,,1.600B,2.874B,688.55M,3.563B,212.80M,28.90M,5.404B,7.902B,243.25M,,243.25M,430.64M,673.89M,,199.80M,199.80M,44.04M,243.84M,,,,1.067B,2.539B,126.99M,2.666B,423.68M,423.68M,421.20M,,3.511B,4.578B,1.092B,7.152B,154.16M,4.979B,,,,-94.81M,3.324B
2019-11,226.54M,,226.54M,949.12M,,974.00M,15.55M,27.15M,305.61M,348.30M,123.59M,,817.86M,2.490B,,,,,1.595B,,,1.595B,,1.595B,2.853B,687.79M,3.541B,218.87M,42.77M,5.397B,7.887B,254.61M,,254.61M,674.24M,928.85M,,199.79M,199.79M,44.26M,244.05M,,,,1.297B,2.539B,130.58M,2.669B,443.86M,443.86M,372.07M,,3.485B,4.782B,1.067B,6.917B,134.04M,4.976B,,,,-36.84M,3.105B
2019-08,102.13M,,102.13M,917.54M,,917.54M,16.54M,25.62M,294.13M,336.29M,137.68M,,796.19M,2.290B,,,,,1.585B,,,1.585B,,1.585B,2.850B,696.74M,3.546B,208.99M,31.30M,5.372B,7.662B,237.24M,9.238M,246.48M,395.42M,641.90M,139.00M,199.78M,338.78M,43.01M,381.79M,,,,1.123B,2.538B,125.68M,2.664B,436.76M,436.76M,387.82M,,3.488B,4.611B,1.036B,6.939B,110.44M,4.974B,,,,-60.65M,3.051B
2019-05,96.64M,,96.64M,910.12M,,917.60M,17.81M,28.82M,287.96M,334.59M,103.32M,,784.13M,2.236B,0.0,189.83M,684.70M,2.207B,,67.13M,43.23M,3.192B,-1.762B,1.431B,2.842B,702.33M,3.545B,192.35M,32.58M,5.200B,7.437B,226.02M,0.00,226.02M,310.15M,536.17M,112.50M,199.76M,312.26M,0.00,312.26M,,,,1.128B,2.538B,0.00,2.538B,438.18M,438.18M,330.52M,,3.306B,4.434B,840.33M,6.691B,227.93M,4.718B,,,,-39.15M,3.003B
2019-02,80.86M,,80.86M,878.04M,,920.59M,18.63M,32.52M,288.65M,339.80M,108.97M,,773.53M,2.224B,,,,,,,,,,1.424B,2.848B,713.44M,3.561B,191.82M,32.81M,5.210B,7.434B,214.57M,,214.57M,425.47M,640.04M,217.50M,,217.50M,,217.50M,,,,994.35M,2.537B,,2.537B,439.01M,439.01M,283.86M,,3.260B,4.254B,826.18M,6.465B,197.33M,4.310B,,,,0.412M,3.179B
2018-11,88.48M,,88.48M,904.06M,,940.66M,14.00M,32.42M,275.45M,321.87M,106.61M,,758.25M,2.216B,,,,,,,,,,1.411B,2.845B,723.15M,3.568B,183.55M,26.74M,5.189B,7.405B,211.90M,,211.90M,611.64M,823.54M,173.50M,,173.50M,,173.50M,,,,1.115B,2.536B,,2.536B,435.46M,435.46M,291.28M,,3.263B,4.378B,804.23M,6.262B,166.84M,4.209B,,,,3.865M,3.027B
2018-08,118.36M,,118.36M,838.19M,,845.07M,17.22M,31.84M,254.71M,303.77M,112.47M,,724.71M,2.104B,,,,,,,,,,1.395B,2.850B,732.29M,3.582B,180.26M,25.56M,5.183B,7.287B,214.01M,,214.01M,380.78M,594.79M,,,,,,,,,679.09M,2.536B,,2.536B,424.34M,424.34M,301.94M,,3.262B,3.941B,796.99M,6.240B,140.37M,3.841B,,,,9.861M,3.346B
2018-05,138.72M,,138.72M,804.58M,,824.22M,17.04M,27.35M,235.96M,280.35M,32.38M,,702.26M,1.978B,0.0,177.28M,644.32M,2.070B,,119.94M,34.89M,3.046B,-1.664B,1.383B,2.847B,586.39M,3.433B,175.58M,-11.30M,4.980B,6.958B,215.07M,8.148M,223.22M,299.18M,522.40M,,,,,,,,,775.86M,2.535B,,2.535B,352.58M,352.58M,277.94M,,3.166B,3.942B,618.46M,5.838B,245.21M,3.701B,,,,16.34M,3.017B
2018-02,152.56M,33.69M,186.26M,779.22M,,800.87M,18.82M,25.14M,230.86M,274.82M,35.19M,,682.44M,1.980B,,,,,,,,,,1.368B,2.820B,557.48M,3.377B,178.53M,25.57M,4.949B,6.929B,172.18M,,172.18M,412.83M,585.01M,187.50M,,187.50M,,187.50M,,,,917.57M,2.535B,,2.535B,376.66M,376.66M,205.60M,,3.117B,4.035B,611.48M,5.652B,219.39M,3.611B,,,,22.52M,2.894B
2017-11,236.00M,22.73M,258.73M,763.56M,,799.26M,16.23M,23.20M,233.40M,272.83M,38.06M,,674.57M,2.043B,,,,,,,,,,1.353B,2.812B,566.90M,3.379B,175.66M,27.84M,4.935B,6.979B,162.98M,,162.98M,577.96M,740.94M,0.00,300.00M,300.00M,,300.00M,,,,1.154B,2.534B,,2.534B,539.04M,539.04M,198.13M,,3.271B,4.426B,600.56M,5.350B,192.19M,3.610B,,,,20.44M,2.553B
2017-08,191.41M,21.63M,213.04M,731.58M,,731.58M,16.80M,20.26M,246.14M,283.20M,42.49M,,654.25M,1.925B,,,,,,,,,,1.341B,2.811B,583.03M,3.394B,163.63M,29.22M,4.927B,6.852B,189.57M,25.55M,215.12M,402.97M,618.09M,7.50M,299.95M,307.45M,,307.45M,,,,1.045B,2.534B,,2.534B,521.77M,521.77M,185.48M,,3.241B,4.286B,586.36M,5.388B,168.51M,3.609B,,,,32.00M,2.566B
2017-05,169.27M,22.22M,191.48M,736.01M,,780.33M,17.53M,17.95M,242.74M,278.22M,30.13M,,635.70M,1.954B,0.0,173.17M,624.62M,1.930B,,79.40M,32.68M,2.840B,-1.516B,1.324B,2.782B,623.38M,3.406B,164.79M,-4.422M,4.890B,6.844B,177.05M,8.057M,185.11M,311.65M,496.76M,50.50M,312.40M,362.90M,,362.90M,,,11.46M,1.131B,2.771B,,2.771B,469.33M,469.33M,170.46M,,3.410B,4.541B,485.07M,5.171B,223.92M,3.574B,,,,-3.029M,2.303B
2017-02,147.24M,0.00,147.24M,598.86M,,619.42M,12.81M,17.53M,241.84M,272.18M,51.36M,,539.73M,1.630B,,,,,,,,,,1.090B,1.303B,85.26M,1.388B,148.17M,14.54M,2.641B,4.271B,127.94M,,127.94M,321.32M,449.26M,,,399.35M,,399.35M,,,,943.97M,745.19M,,745.19M,267.06M,267.06M,136.68M,,1.149B,2.093B,476.37M,5.087B,200.57M,3.573B,,,,-11.94M,2.178B
2016-11,143.57M,0.00,143.57M,607.45M,,608.68M,11.30M,16.77M,235.23M,263.30M,41.46M,,543.64M,1.601B,,,,,,,,,,1.067B,1.301B,87.44M,1.389B,140.53M,17.34M,2.614B,4.215B,127.82M,,127.82M,469.08M,596.90M,,,66.00M,,66.00M,,,,748.76M,1.045B,,1.045B,265.09M,265.09M,130.19M,,1.440B,2.189B,468.39M,4.968B,178.67M,3.573B,,,,-17.29M,2.026B
2016-08,99.21M,64.56M,163.77M,586.37M,,586.37M,13.06M,17.54M,231.56M,262.16M,40.33M,,542.12M,1.595B,,,,,,,,,,1.033B,1.298B,86.17M,1.385B,140.88M,13.82M,2.572B,4.167B,129.65M,38.83M,168.48M,313.89M,482.37M,,,163.80M,,163.80M,,,,710.86M,1.045B,,1.045B,255.38M,255.38M,168.88M,,1.469B,2.180B,463.38M,4.971B,161.94M,3.572B,,,,-36.41M,1.987B
2016-05,139.36M,70.40M,209.76M,546.49M,,548.20M,17.79M,14.73M,216.84M,249.36M,25.95M,,538.29M,1.591B,0.0,117.88M,509.19M,1.583B,,173.37M,28.41M,2.412B,-1.418B,993.69M,1.276B,79.64M,1.356B,124.95M,33.87M,2.508B,4.099B,110.94M,5.765M,116.70M,261.91M,378.62M,0.00,250.00M,250.00M,,250.00M,,,9.958M,815.56M,1.044B,,1.044B,259.48M,259.48M,136.70M,,1.441B,2.256B,409.68M,4.806B,205.26M,3.553B,,,,-24.87M,1.843B
2016-02,315.12M,71.70M,386.82M,550.75M,,550.75M,18.79M,17.75M,218.67M,255.20M,26.65M,,539.40M,1.759B,,,,,,,,,,964.68M,1.284B,87.95M,1.372B,118.61M,16.72M,2.472B,4.231B,151.83M,52.54M,204.37M,319.44M,523.81M,,,250.00M,,250.00M,,,,858.80M,1.05B,,1.05B,240.71M,240.71M,131.59M,,1.422B,2.281B,399.93M,4.675B,184.44M,3.276B,,,,-33.67M,1.950B
2015-11,606.78M,65.83M,672.61M,549.19M,,549.19M,18.22M,18.34M,214.91M,251.48M,27.47M,,542.53M,2.043B,,,,,,,,,,916.54M,1.274B,71.78M,1.345B,126.55M,19.04M,2.408B,4.451B,134.84M,236.54M,371.38M,443.71M,815.10M,,,250.00M,,250.00M,,,,1.131B,1.05B,,1.05B,227.46M,227.46M,117.82M,,1.395B,2.526B,394.73M,4.557B,165.65M,3.175B,,,,-17.68M,1.925B
2015-08,146.86M,53.35M,200.21M,531.13M,,531.13M,17.78M,18.28M,203.98M,240.05M,31.17M,,537.12M,1.734B,,,,,,,,,,896.79M,1.273B,77.11M,1.350B,123.49M,19.10M,2.389B,4.123B,131.96M,47.64M,179.60M,294.84M,474.44M,,,250.00M,,250.00M,181.87M,181.87M,,959.33M,1.05B,,1.05B,148.79M,148.79M,116.16M,,1.315B,2.274B,387.31M,4.328B,148.28M,2.995B,,,,-20.00M,1.849B
2015-05,417.07M,16.08M,433.15M,496.13M,,497.07M,16.94M,17.08M,192.20M,226.21M,24.03M,,534.00M,1.736B,0.0,116.17M,501.74M,1.446B,,104.30M,26.02M,2.194B,-1.323B,871.42M,1.196B,43.88M,1.239B,329.69M,16.04M,2.457B,4.192B,109.61M,6.064M,115.67M,234.96M,350.64M,,,,,,,,0.704M,508.67M,1.30B,,1.30B,339.33M,339.33M,112.01M,,1.751B,2.260B,329.25M,4.228B,157.18M,2.773B,,,,-8.471M,1.932B
2015-02,358.32M,44.87M,403.19M,497.98M,,504.61M,14.78M,14.66M,205.20M,234.64M,22.48M,,524.06M,1.710B,,,,,,,,,,853.39M,1.194B,46.41M,1.241B,445.54M,16.50M,2.556B,4.266B,111.95M,0.00,111.95M,281.87M,393.82M,,,,,,106.79M,106.79M,0.612M,579.23M,1.30B,,1.30B,232.23M,232.23M,107.22M,,1.639B,2.219B,320.25M,4.122B,145.13M,2.536B,,,,-4.263M,2.048B
2014-11,826.72M,,826.72M,510.15M,,510.15M,15.94M,13.96M,205.96M,235.86M,23.59M,,528.33M,2.146B,,,,,,,,,,845.13M,1.189B,42.81M,1.232B,456.86M,17.43M,2.552B,4.698B,171.63M,17.46M,189.09M,502.86M,691.95M,,,,,,98.31M,98.31M,1.054M,851.76M,1.30B,,1.30B,233.60M,233.60M,108.88M,,1.642B,2.494B,309.92M,4.027B,133.17M,2.285B,,,,17.51M,2.203B
2014-08,581.45M,,581.45M,489.21M,,489.21M,16.65M,13.84M,219.33M,249.82M,27.59M,,513.62M,2.013B,,,,,,,,,,838.49M,1.190B,45.56M,1.236B,451.90M,17.40M,2.543B,4.556B,141.80M,54.60M,196.39M,292.55M,488.94M,,,,,,87.84M,87.84M,15.17M,636.01M,1.30B,,1.30B,242.46M,242.46M,105.83M,,1.648B,2.284B,294.80M,4.109B,123.95M,2.283B,,,,26.82M,2.272B
2014-05,513.29M,0.00,513.29M,508.43M,,508.43M,17.98M,14.30M,218.95M,251.24M,26.19M,,506.54M,1.806B,0.0,116.99M,521.11M,1.427B,,42.38M,35.82M,2.144B,-1.288B,855.70M,1.267B,57.72M,1.325B,458.36M,17.58M,2.657B,4.462B,150.07M,13.49M,163.56M,227.75M,391.31M,,0.503M,0.503M,,0.503M,88.84M,88.84M,,630.13M,1.300B,,1.300B,246.04M,246.04M,92.94M,,1.639B,2.270B,251.75M,3.999B,134.94M,2.221B,,,,28.43M,2.193B
2014-02,348.86M,4.84M,353.70M,529.67M,,529.67M,16.48M,14.26M,225.40M,256.13M,26.76M,,498.65M,1.665B,,,,,,,,,,981.20M,1.533B,88.12M,1.621B,115.81M,17.83M,2.736B,4.400B,117.34M,9.018M,126.35M,259.31M,385.66M,,,0.633M,,0.633M,86.40M,86.40M,,552.80M,1.301B,,1.301B,209.92M,209.92M,93.17M,,1.604B,2.156B,233.93M,3.872B,117.90M,2.015B,,,,35.55M,2.244B
2013-11,309.33M,4.156M,313.49M,520.52M,,520.52M,15.92M,14.94M,218.63M,249.49M,26.61M,,508.67M,1.619B,,,,,,,,,,988.90M,1.533B,93.07M,1.626B,113.24M,18.45M,2.747B,4.365B,103.24M,4.238M,107.48M,360.63M,468.11M,,,0.714M,,0.714M,87.09M,87.09M,,614.56M,1.301B,,1.301B,210.19M,210.19M,92.06M,,1.603B,2.217B,225.37M,3.787B,110.00M,2.015B,,,,40.29M,2.148B
2013-08,278.67M,4.189M,282.86M,511.64M,,511.64M,17.39M,15.71M,212.37M,245.47M,31.93M,,500.38M,1.572B,,,,,,,,,,991.33M,1.531B,98.34M,1.629B,100.65M,17.56M,2.739B,4.311B,124.95M,23.37M,148.32M,235.24M,383.56M,,,8.20M,,8.20M,80.69M,80.69M,,515.70M,1.301B,,1.301B,214.22M,214.22M,84.45M,,1.599B,2.115B,217.11M,3.796B,102.96M,1.958B,,,,37.95M,2.196B
2013-05,352.27M,5.68M,357.95M,496.05M,,505.15M,19.80M,17.35M,203.29M,240.44M,24.53M,,496.75M,1.625B,0.0,112.31M,512.72M,1.631B,,58.46M,27.54M,2.342B,-1.356B,986.70M,1.518B,92.15M,1.610B,101.52M,22.86M,2.721B,4.346B,121.03M,7.776M,128.80M,204.82M,333.63M,,,8.187M,,8.187M,77.17M,77.17M,,556.26M,1.301B,,1.301B,210.48M,210.48M,76.42M,,1.588B,2.144B,186.33M,3.718B,109.82M,1.851B,,,38.12M,38.12M,2.201B
2013-02,217.47M,28.22M,245.69M,495.12M,,510.46M,19.75M,16.78M,210.43M,246.96M,24.78M,,481.58M,1.509B,,,,,,,,,,976.84M,1.520B,93.57M,1.614B,99.11M,22.34M,2.712B,4.221B,109.06M,,109.06M,238.46M,347.53M,,,0.674M,,0.674M,62.02M,62.02M,,500.75M,1.309B,,1.309B,209.46M,209.46M,72.19M,,1.590B,2.091B,178.29M,3.632B,103.67M,1.822B,,,38.45M,38.45M,2.130B
2012-11,242.49M,33.86M,276.35M,479.11M,482.00M,982.08M,20.49M,13.21M,202.50M,236.20M,25.04M,,,1.520B,,,,,,,,,,967.26M,1.522B,90.48M,1.613B,,118.07M,2.698B,4.218B,118.53M,,118.53M,325.08M,443.61M,,,0.661M,,0.661M,56.43M,56.43M,,555.18M,1.309B,,1.309B,206.78M,206.78M,66.45M,,1.582B,2.137B,173.13M,3.557B,98.31M,1.794B,,,,46.17M,2.081B
2012-08,319.22M,10.95M,330.16M,459.30M,,459.30M,18.44M,12.45M,210.81M,241.70M,30.17M,,462.54M,1.524B,,,,,,,,,,953.76M,1.489B,72.30M,1.561B,,113.20M,2.628B,4.152B,110.91M,7.93M,118.84M,213.44M,332.28M,,,0.636M,,0.636M,10.67M,10.67M,,384.11M,1.309B,,1.309B,206.86M,206.86M,97.84M,,1.614B,1.998B,0.00,3.559B,264.42M,1.713B,,,,44.02M,2.154B
2012-05,339.82M,0.00,339.82M,450.86M,,473.05M,19.14M,13.05M,219.02M,251.20M,21.22M,,452.78M,1.538B,0.0,108.18M,497.25M,1.478B,,62.37M,25.50M,2.172B,-1.219B,952.59M,1.485B,76.82M,1.562B,90.20M,22.64M,2.628B,4.166B,94.84M,8.523M,103.36M,196.78M,300.15M,,,225.64M,,225.64M,2.559M,2.559M,,675.69M,1.059B,,1.059B,204.58M,204.58M,87.13M,,1.351B,2.027B,148.26M,3.482B,107.02M,1.635B,,52.40M,-15.74M,36.66M,2.139B
2012-02,217.98M,134.63M,352.61M,439.65M,434.48M,911.51M,18.66M,13.73M,243.29M,275.67M,29.32M,56.42M,,1.626B,,,,,,,,,,944.03M,1.486B,81.67M,1.568B,,115.47M,2.628B,4.253B,115.57M,,115.57M,224.36M,339.92M,,,225.63M,,225.63M,,,,648.56M,1.059B,,1.059B,206.05M,206.05M,142.66M,,1.408B,2.057B,0.00,3.403B,247.32M,1.505B,,,,51.08M,2.197B
2011-11,207.77M,129.83M,337.60M,447.35M,422.01M,881.94M,17.34M,14.41M,256.20M,287.95M,28.37M,56.01M,,1.592B,,,,,,,,,,938.66M,1.484B,86.66M,1.570B,,114.48M,2.623B,4.215B,111.14M,,111.14M,318.96M,430.10M,,,225.73M,,225.73M,,,,720.20M,1.059B,,1.059B,194.43M,194.43M,138.57M,,1.392B,2.113B,0.00,3.327B,241.52M,1.505B,,,,39.22M,2.103B
2011-08,150.31M,126.73M,277.04M,439.09M,405.03M,844.12M,19.51M,21.10M,239.60M,280.21M,29.42M,51.82M,,1.483B,,,,,,,,,,946.47M,1.488B,94.43M,1.583B,,116.23M,2.645B,4.128B,100.74M,14.26M,115.01M,225.38M,340.38M,,,226.03M,,226.03M,,,,618.65M,1.060B,,1.060B,194.61M,194.61M,140.50M,,1.395B,2.013B,0.00,3.324B,236.20M,1.505B,,,,59.57M,2.114B
2011-05,438.11M,87.22M,525.33M,429.13M,393.83M,856.50M,16.90M,18.91M,213.85M,249.66M,23.48M,45.81M,,1.701B,0.0,103.84M,484.25M,1.335B,,97.60M,21.76M,2.042B,-1.096B,946.22M,1.488B,102.31M,1.590B,,114.75M,2.651B,4.352B,110.28M,,110.28M,242.69M,352.97M,,,1.335M,,1.335M,,,,434.14M,1.285B,,1.285B,196.32M,196.32M,134.04M,,1.615B,2.049B,0.00,3.255B,231.13M,1.243B,-12.33M,70.21M,,57.89M,2.303B
2010-11,260.95M,23.62M,284.58M,402.37M,364.56M,780.69M,,,,208.38M,27.85M,53.35M,,1.355B,,,,,,,,,,923.54M,1.435B,104.75M,1.540B,,109.81M,2.573B,3.928B,92.21M,,92.21M,374.77M,466.98M,,,1.817M,,1.817M,,,,468.80M,785.22M,,785.22M,145.08M,145.08M,134.09M,,1.064B,1.533B,0.00,3.125B,222.47M,1.002B,,,,49.29M,2.395B
2010-08,290.65M,78.80M,369.45M,383.94M,347.59M,731.53M,,,,184.36M,33.90M,52.91M,,1.372B,,,,,,,,,,915.36M,1.401B,102.66M,1.503B,,99.94M,2.519B,3.891B,81.31M,10.83M,92.14M,265.58M,357.71M,,,1.765M,,1.765M,,,,359.48M,785.68M,,785.68M,148.18M,148.18M,127.58M,,1.061B,1.421B,0.00,3.141B,219.72M,930.19M,,,,39.10M,2.470B
2010-05,411.28M,154.81M,566.09M,362.22M,332.11M,710.02M,13.06M,11.52M,144.90M,169.48M,22.86M,52.42M,,1.521B,0.0,101.37M,471.59M,1.178B,,88.77M,17.18M,1.857B,-962.57M,894.52M,1.357B,103.44M,1.460B,,93.98M,2.449B,3.970B,71.75M,,71.75M,244.40M,316.15M,,,0.609M,,0.609M,,,,383.68M,785.44M,,785.44M,150.56M,150.56M,116.02M,,1.052B,1.436B,0.00,3.080B,216.67M,798.86M,-6.997M,42.87M,,35.87M,2.534B
2010-02,406.50M,145.59M,552.10M,356.45M,321.96M,694.50M,,,,167.81M,17.42M,68.16M,15.74M,1.516B,,,,,,,,,,894.58M,1.352B,109.40M,1.461B,,88.09M,2.444B,3.960B,80.41M,,80.41M,358.24M,438.65M,,,0.598M,,0.598M,,,,439.25M,785.60M,,785.60M,162.99M,162.99M,96.89M,,1.045B,1.485B,0.00,3.025B,213.04M,798.85M,,,,36.40M,2.475B
2009-11,342.01M,138.23M,480.24M,377.15M,329.56M,715.62M,,,,166.37M,17.64M,69.56M,15.74M,1.465B,,,,,,,,,,888.00M,1.335B,110.10M,1.445B,,88.30M,2.421B,3.886B,73.57M,,73.57M,271.40M,344.97M,,,0.588M,,0.588M,,,,345.56M,785.75M,,785.75M,157.14M,157.14M,101.81M,,1.045B,1.390B,0.00,3.050B,209.15M,798.85M,,,,36.20M,2.496B
2009-08,227.31M,130.57M,357.88M,359.14M,329.44M,688.59M,,,,185.35M,21.92M,70.77M,15.74M,1.340B,,,,,,,,,,901.29M,1.333B,117.34M,1.451B,,86.87M,2.439B,3.779B,73.36M,6.741M,80.10M,233.93M,314.04M,,,0.578M,,0.578M,,,,314.61M,785.90M,,785.90M,153.06M,153.06M,100.46M,,1.039B,1.354B,0.00,2.992B,205.21M,798.85M,,,,26.28M,2.425B
2009-05,129.74M,120.39M,250.14M,357.68M,,383.19M,12.50M,10.77M,179.08M,202.35M,17.04M,66.37M,351.19M,1.270B,0.0,77.21M,444.68M,1.089B,,93.83M,15.27M,1.720B,-805.18M,914.63M,1.331B,124.33M,1.456B,,80.33M,2.451B,3.721B,69.96M,,69.96M,230.31M,300.27M,,,0.598M,,0.598M,,,,300.87M,786.06M,,786.06M,149.03M,149.03M,117.58M,,1.053B,1.354B,0.00,2.938B,201.58M,797.89M,-8.206M,33.50M,,25.30M,2.367B
2009-02,54.25M,97.65M,151.90M,384.91M,,384.91M,,,,252.48M,17.75M,42.84M,352.03M,1.202B,,,,,,,,1.714B,-733.22M,980.65M,1.325B,131.29M,1.457B,,80.21M,2.518B,3.719B,75.68M,,75.68M,297.04M,372.72M,,,0.592M,,0.592M,,,0.895M,374.21M,786.20M,,786.20M,135.08M,135.08M,,103.96M,1.025B,1.399B,129.22M,2.934B,69.31M,797.89M,,,,-15.01M,2.320B
2008-11,62.41M,64.93M,127.35M,433.83M,,433.83M,,,,251.86M,15.68M,44.82M,371.74M,1.245B,,,,,,,,1.716B,-733.22M,982.33M,1.320B,138.14M,1.458B,,80.79M,2.522B,3.767B,101.06M,,101.06M,230.96M,332.02M,,,0.836M,,0.836M,,,-8.262M,324.60M,869.72M,,869.72M,126.28M,126.28M,,121.45M,1.117B,1.442B,129.18M,2.935B,67.32M,797.89M,,-0.469M,-8.173M,-8.642M,2.325B
2008-08,58.24M,122.65M,180.90M,431.68M,,431.68M,,,,242.09M,18.38M,40.66M,373.24M,1.287B,,,,,,,,1.721B,-733.22M,987.58M,1.321B,146.20M,1.467B,,85.37M,2.540B,3.827B,87.42M,,87.42M,209.83M,297.25M,,,0.957M,,0.957M,,,45.66M,343.86M,949.59M,,949.59M,123.42M,123.42M,,118.87M,1.192B,1.536B,129.18M,2.863B,63.94M,797.89M,,41.39M,-8.717M,32.68M,2.291B
2008-05,66.22M,125.47M,191.70M,430.08M,370.42M,800.49M,,,,238.67M,12.07M,39.41M,,1.282B,0.0,94.54M,462.80M,1.029B,,104.70M,16.70M,1.708B,-733.22M,974.58M,1.316B,152.76M,1.468B,,83.36M,2.526B,3.809B,94.76M,12.89M,107.64M,258.53M,366.17M,,,1.07M,,1.07M,,,,367.24M,942.74M,,942.74M,124.18M,124.18M,120.31M,,1.187B,1.554B,0.00,2.784B,189.59M,772.04M,-8.926M,61.21M,,52.28M,2.254B
