,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2005-08,43.44M,214.31M,257.75M,337.93M,,337.93M,,,,222.03M,10.03M,,308.77M,1.137B,,,,,,,,1.377B,-553.68M,823.68M,,903.36M,903.36M,,179.18M,1.906B,3.043B,65.78M,,65.78M,134.92M,200.70M,,,7.258M,,7.258M,59.37M,59.37M,38.26M,305.60M,510.57M,,510.57M,133.74M,133.74M,,,644.31M,949.90M,117.36M,2.116B,,160.46M,,21.66M,-1.258M,20.40M,2.093B
2005-05,43.20M,266.23M,309.43M,326.90M,,326.90M,,,,216.41M,8.358M,,305.45M,1.167B,0.0,72.66M,442.48M,783.24M,,72.49M,,1.371B,-553.68M,817.20M,,889.54M,889.54M,,186.46M,1.893B,3.060B,69.30M,,69.30M,205.14M,274.43M,,,7.30M,,7.30M,41.88M,41.88M,32.86M,356.48M,465.29M,,465.29M,133.84M,133.84M,,,599.13M,955.61M,114.17M,2.036B,,58.20M,,13.51M,-1.331M,12.18M,2.104B
2005-02,71.86M,295.93M,367.79M,300.82M,,300.82M,,,,216.36M,8.783M,,298.50M,1.192B,,,,,,,,1.313B,-505.50M,807.22M,,871.09M,871.09M,,184.95M,1.863B,3.056B,57.06M,,57.06M,215.71M,272.78M,,,10.16M,,10.16M,49.80M,49.80M,52.62M,385.36M,462.20M,,462.20M,127.06M,127.06M,,,589.26M,974.62M,113.36M,1.953B,,,,15.81M,-1.403M,14.41M,2.081B
2004-11,113.40M,242.77M,356.16M,309.00M,,309.00M,,,,202.12M,9.019M,,309.22M,1.186B,,,,,,,,1.305B,-505.50M,799.87M,,830.49M,830.49M,,178.22M,1.809B,2.994B,65.75M,,65.75M,133.84M,199.59M,,,10.16M,,10.16M,60.54M,60.54M,73.80M,344.08M,465.18M,,465.18M,129.71M,129.71M,,,594.89M,938.97M,98.85M,1.937B,,,,20.97M,-1.476M,19.50M,2.055B
2004-08,81.95M,182.03M,263.98M,291.28M,,291.28M,,,,187.24M,12.04M,,304.92M,1.059B,,,,,,,,1.296B,-505.50M,790.80M,,815.94M,815.94M,,180.82M,1.788B,2.847B,55.33M,,55.33M,108.56M,163.89M,,,10.47M,,10.47M,65.40M,65.40M,40.21M,279.96M,474.27M,,474.27M,126.42M,126.42M,,,600.68M,880.65M,96.14M,1.863B,,,,8.564M,-1.548M,7.016M,1.966B
2004-05,87.36M,166.96M,254.32M,285.59M,,285.59M,,,,188.69M,7.395M,,298.25M,1.034B,0.0,67.36M,422.46M,741.74M,,59.25M,,1.291B,-505.50M,785.31M,,805.44M,805.44M,,185.30M,1.776B,2.810B,53.45M,,53.45M,178.03M,231.48M,,,10.52M,,10.52M,47.04M,47.04M,36.64M,325.69M,473.68M,,473.68M,122.96M,122.96M,,,596.64M,922.33M,94.57M,1.791B,,,,4.474M,-1.621M,2.853M,1.888B
2004-02,113.75M,135.11M,248.86M,276.72M,,276.72M,,,,204.20M,8.072M,,295.19M,1.033B,,,,,,,,1.263B,-480.73M,782.32M,,756.12M,756.12M,,183.54M,1.722B,2.755B,48.90M,,48.90M,186.28M,235.18M,,,22.25M,,22.25M,54.26M,54.26M,33.36M,345.04M,482.58M,,482.58M,116.65M,116.65M,,,599.23M,944.27M,87.78M,1.718B,,,,6.728M,-1.694M,5.034M,1.811B
2003-11,98.60M,97.52M,196.12M,279.59M,,279.59M,,,,212.91M,6.975M,,301.87M,997.46M,,,,,,,,1.258B,-480.73M,776.81M,,730.85M,730.85M,,189.82M,1.697B,2.695B,56.27M,,56.27M,116.84M,173.11M,,,23.49M,,23.49M,56.92M,56.92M,68.72M,322.25M,482.85M,,482.85M,101.42M,101.42M,,,584.27M,906.52M,79.18M,1.701B,,,,9.951M,-1.766M,8.185M,1.788B
2003-08,54.91M,37.37M,92.28M,271.77M,,271.77M,,,,224.84M,8.759M,,299.73M,897.38M,,,,,,,,1.260B,-480.73M,779.55M,,726.33M,726.33M,,192.86M,1.699B,2.596B,48.84M,,48.84M,85.90M,134.74M,,,26.65M,,26.65M,66.48M,66.48M,31.42M,259.30M,527.71M,,527.71M,99.14M,99.14M,,,626.85M,886.15M,77.53M,1.631B,,,,2.979M,-1.929M,1.05M,1.710B
2003-05,32.24M,25.42M,57.66M,278.15M,,278.15M,,,,228.41M,7.607M,,305.72M,877.54M,0.0,65.88M,411.67M,718.89M,,61.73M,,1.258B,-480.73M,777.43M,,721.86M,721.86M,,206.12M,1.705B,2.583B,53.91M,,53.91M,153.13M,207.04M,,,28.25M,,28.25M,53.02M,53.02M,16.53M,304.84M,534.76M,,534.76M,97.01M,97.01M,,,631.78M,936.61M,76.12M,1.568B,,,,4.427M,-2.29M,2.137M,1.646B
2003-02,42.18M,35.02M,77.20M,273.37M,,273.37M,,,,230.17M,8.078M,,302.33M,891.15M,,,,,,,,1.206B,-433.26M,772.61M,,708.44M,708.44M,,205.01M,1.686B,2.577B,49.91M,,49.91M,187.94M,237.85M,,,16.22M,,16.22M,58.28M,58.28M,40.29M,352.66M,566.74M,,566.74M,88.03M,88.03M,,,654.77M,1.007B,71.30M,1.503B,,,,-2.023M,-2.666M,-4.689M,1.570B
2002-11,50.91M,38.32M,89.22M,287.48M,,287.48M,,,,219.96M,9.823M,,299.99M,906.48M,,,,,,,,1.205B,-433.26M,772.01M,,699.59M,699.59M,,206.76M,1.678B,2.585B,65.36M,,65.36M,134.49M,199.85M,,,17.36M,,17.36M,63.20M,63.20M,58.17M,338.57M,610.89M,,610.89M,84.77M,84.77M,,,695.67M,1.034B,70.54M,1.490B,,,,-7.034M,-3.032M,-10.07M,1.551B
2002-08,33.41M,35.75M,69.16M,282.35M,,282.35M,,,,209.51M,10.96M,,292.06M,864.04M,,,,,,,,1.204B,-433.26M,770.29M,,689.04M,689.04M,,212.57M,1.672B,2.536B,70.85M,,70.85M,115.33M,186.19M,,,16.74M,,16.74M,74.29M,74.29M,26.23M,303.45M,663.59M,,663.59M,83.24M,83.24M,,,746.83M,1.050B,68.58M,1.427B,,,,,,-9.689M,1.486B
2002-05,40.63M,44.46M,85.09M,283.23M,,283.23M,,,,193.82M,10.17M,,280.94M,853.25M,0.0,64.82M,399.35M,674.97M,,72.52M,,1.212B,-433.26M,778.40M,,678.60M,678.60M,,208.98M,1.666B,2.519B,60.39M,,60.39M,160.71M,221.10M,,,18.37M,,18.37M,61.37M,61.37M,11.79M,312.63M,703.25M,,703.25M,79.59M,79.59M,,,782.84M,1.095B,65.51M,1.365B,,,,,,-6.885M,1.424B
2002-02,86.26M,152.88M,239.14M,237.69M,,237.69M,,,,194.36M,9.755M,,255.85M,936.80M,,,,,,,,1.068B,-355.80M,712.69M,,145.84M,145.84M,,103.02M,961.56M,1.898B,38.20M,,38.20M,121.08M,159.28M,,,18.14M,,18.14M,,,120.95M,298.38M,186.14M,,186.14M,55.55M,55.55M,,,241.69M,540.07M,65.36M,1.301B,,,,,,-8.249M,1.358B
2001-11,101.28M,101.65M,202.93M,252.49M,,252.49M,,,,200.06M,10.21M,,254.70M,920.39M,,,,,,,,1.070B,-355.80M,713.75M,,139.58M,139.58M,,101.48M,954.81M,1.875B,46.34M,,46.34M,87.03M,133.36M,,,21.07M,,21.07M,64.31M,64.31M,48.06M,266.80M,209.03M,,209.03M,54.22M,54.22M,,,263.25M,530.05M,64.56M,1.288B,,,,,,-7.447M,1.345B
