,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,536.00M,0.00,-192.00M,-192.00M,,,152.00M,152.00M,65.00M,95.00M,95.00M,,,,,,-109.00M,-492.00M,105.00M,-130.00M,,-130.00M,42.00M,1.85B,0.00,1.711B,-932.00M,,-932.00M,5.00M,-680.00M,-675.00M,-111.00M,-111.00M,-53.00M,-1.773B,1.025B,43.00M,51.00M,1.119B,5.00M,0.00,-932.00M,-680.00M,263.00M,105.00M
2020-06,740.00M,,-253.00M,-253.00M,,,172.00M,172.00M,52.00M,116.00M,116.00M,,,,,,44.00M,0.00,964.00M,-98.00M,,-98.00M,-42.00M,-497.00M,0.00,-637.00M,-68.00M,,-68.00M,45.00M,-33.00M,12.00M,-112.00M,-112.00M,-41.00M,-209.00M,899.00M,118.00M,8.00M,1.025B,45.00M,771.00M,-839.00M,-33.00M,50.00M,46.00M
2020-03,485.00M,,-50.00M,-50.00M,,,147.00M,147.00M,52.00M,100.00M,100.00M,,,,,,-134.00M,-110.00M,592.00M,-98.00M,,-98.00M,,-1.51B,39.00M,2.506B,994.00M,,994.00M,5.00M,-3.997B,-3.992B,-114.00M,-114.00M,-49.00M,-3.161B,996.00M,-63.00M,-34.00M,899.00M,5.00M,994.00M,,-3.997B,63.00M,93.00M
2019-12,745.00M,0.00,-78.00M,-78.00M,,,207.00M,207.00M,139.00M,184.00M,184.00M,,,,,,-78.00M,-414.00M,811.00M,-160.00M,,-160.00M,-93.00M,478.00M,8.00M,358.00M,0.00,,0.00,47.00M,-1.002B,-955.00M,-113.00M,-113.00M,-40.00M,-1.108B,909.00M,61.00M,26.00M,996.00M,47.00M,,0.00,-1.002B,145.00M,44.00M
2019-09,131.00M,52.00M,49.00M,101.00M,,,144.00M,144.00M,-78.00M,80.00M,80.00M,,,,,,180.00M,387.00M,1.009B,-81.00M,,-81.00M,-67.00M,1.433B,-34.00M,1.143B,-1.55B,,-1.55B,4.00M,-1.022B,-1.018B,-115.00M,-115.00M,-42.00M,-2.725B,1.501B,-573.00M,-39.00M,909.00M,4.00M,0.00,-1.55B,-1.022B,-32.00M,107.00M
2019-06,400.00M,,8.00M,8.00M,,,168.00M,168.00M,35.00M,129.00M,129.00M,,,,,,-108.00M,49.00M,744.00M,-133.00M,,-133.00M,0.00,828.00M,37.00M,728.00M,0.00,,0.00,50.00M,-1.518B,-1.468B,-120.00M,-120.00M,-65.00M,-1.653B,1.712B,-181.00M,-10.00M,1.501B,50.00M,0.00,0.00,-1.518B,127.00M,47.00M
2019-03,516.00M,,-112.00M,-112.00M,,,162.00M,162.00M,21.00M,112.00M,112.00M,,,,,,-194.00M,-22.00M,550.00M,-180.00M,,-180.00M,-93.00M,832.00M,12.00M,558.00M,0.00,,0.00,5.00M,-1.431B,-1.426B,-125.00M,-125.00M,-54.00M,-1.605B,2.219B,-497.00M,-10.00M,1.712B,5.00M,0.00,,-1.431B,93.00M,107.00M
2018-12,763.00M,,128.00M,128.00M,,,172.00M,172.00M,-234.00M,142.00M,-377.00M,,,,,,161.00M,-1.00M,1.233B,-130.00M,,-130.00M,0.00,532.00M,19.00M,421.00M,0.00,,0.00,39.00M,-1.511B,-1.472B,,,-39.00M,-1.511B,2.101B,143.00M,-25.00M,2.219B,39.00M,,0.00,-1.511B,28.00M,46.00M
2018-09,720.00M,0.00,-438.00M,-438.00M,,,175.00M,175.00M,98.00M,125.00M,125.00M,,,,,,-185.00M,-2.00M,558.00M,-179.00M,,-179.00M,1.029B,64.00M,12.00M,926.00M,0.00,,0.00,3.00M,-991.00M,-988.00M,0.00,0.00,-32.00M,-1.02B,1.636B,464.00M,1.00M,2.101B,3.00M,,0.00,-991.00M,115.00M,106.00M
2018-06,638.00M,,-369.00M,-369.00M,,,170.00M,170.00M,12.00M,151.00M,151.00M,,,,,,-296.00M,,372.00M,-184.00M,,-184.00M,-302.00M,334.00M,1.00M,-151.00M,0.00,,0.00,58.00M,-991.00M,-933.00M,0.00,0.00,-109.00M,-1.042B,2.546B,-821.00M,-89.00M,1.636B,58.00M,,0.00,-991.00M,377.00M,45.00M
