,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.079B,3.079B,4.194B,,4.194B,604.00M,335.00M,8.337B,,,,9.17B,,9.17B,-4.198B,4.972B,725.00M,4.146B,4.871B,,292.00M,7.198B,17.33B,25.67B,1.345B,111.00M,1.456B,3.959B,5.415B,900.00M,282.00M,1.182B,901.00M,2.083B,974.00M,974.00M,184.00M,8.656B,8.046B,1.192B,9.238B,,697.00M,697.00M,,350.00M,1.325B,12.26B,20.92B,3.00M,-5.631B,10.75B,155.00M,-562.00M,4.401B
2020-06,5.509B,5.509B,4.271B,,4.271B,667.00M,261.00M,10.71B,,,,9.177B,,9.177B,-4.072B,5.105B,2.057B,5.54B,7.597B,,285.00M,4.199B,17.19B,27.89B,1.522B,81.00M,1.603B,3.522B,5.125B,967.00M,283.00M,1.25B,920.00M,2.17B,1.03B,1.03B,,8.325B,10.33B,1.208B,11.54B,,733.00M,733.00M,,349.00M,1.277B,14.63B,22.95B,3.00M,-5.386B,10.73B,154.00M,-599.00M,4.593B
2020-03,3.679B,3.679B,2.094B,2.298B,4.392B,646.00M,270.00M,8.987B,2.233B,,5.102B,1.428B,30.00M,8.793B,-3.818B,4.975B,2.017B,5.731B,7.748B,,265.00M,4.031B,17.02B,26.01B,1.598B,87.00M,1.685B,3.431B,5.116B,542.00M,290.00M,832.00M,926.00M,1.758B,1.021B,1.021B,,7.895B,8.672B,1.063B,9.735B,,735.00M,735.00M,761.00M,344.00M,594.00M,12.98B,20.88B,3.00M,-5.177B,10.71B,152.00M,-603.00M,4.785B
2019-12,2.56B,2.56B,4.619B,,4.619B,660.00M,344.00M,8.183B,,,,9.432B,,9.432B,-4.317B,5.115B,6.003B,6.14B,12.14B,,372.00M,3.786B,21.42B,29.60B,1.576B,243.00M,1.819B,3.817B,5.636B,809.00M,297.00M,1.106B,973.00M,2.079B,1.069B,1.069B,,8.784B,7.315B,1.097B,8.412B,,747.00M,747.00M,,352.00M,1.366B,11.71B,20.50B,3.00M,-1.628B,10.70B,151.00M,-176.00M,8.749B
2019-09,2.88B,2.88B,4.611B,,4.611B,671.00M,328.00M,8.49B,,,,9.219B,,9.219B,-4.182B,5.037B,5.784B,6.293B,12.08B,,330.00M,3.582B,21.03B,29.52B,1.603B,,1.603B,3.627B,5.23B,687.00M,296.00M,983.00M,977.00M,1.96B,1.784B,1.784B,,8.974B,7.01B,1.827B,8.837B,,234.00M,234.00M,,320.00M,1.332B,11.67B,20.65B,3.00M,-1.668B,10.79B,150.00M,-428.00M,8.55B
2019-06,1.868B,1.868B,5.234B,,5.234B,728.00M,360.00M,8.19B,,,,9.369B,,9.369B,-4.15B,5.219B,8.806B,6.468B,15.27B,,356.00M,3.538B,24.39B,32.58B,1.517B,,1.517B,3.929B,5.446B,704.00M,329.00M,1.033B,1.064B,2.097B,1.795B,1.795B,,9.338B,7.893B,1.129B,9.022B,,309.00M,309.00M,,304.00M,1.41B,12.02B,21.36B,3.00M,494.00M,10.92B,149.00M,-351.00M,10.91B
2019-03,2.899B,2.899B,2.508B,2.673B,5.181B,627.00M,359.00M,9.066B,2.18B,,4.943B,,14.00M,7.137B,-3.958B,3.179B,7.606B,5.939B,13.54B,,355.00M,3.429B,20.51B,29.57B,1.666B,208.00M,1.874B,4.007B,5.881B,694.00M,766.00M,1.46B,482.00M,1.942B,1.63B,1.63B,,9.453B,5.47B,0.00,5.47B,,256.00M,256.00M,790.00M,323.00M,696.00M,8.396B,17.85B,3.00M,478.00M,11.30B,136.00M,-244.00M,11.40B
2018-12,2.475B,2.475B,5.096B,,5.096B,626.00M,325.00M,8.522B,,,,,,6.84B,-3.654B,3.186B,7.593B,6.77B,14.36B,,407.00M,2.393B,20.35B,28.87B,1.345B,,1.345B,3.933B,5.278B,800.00M,240.00M,1.04B,540.00M,1.58B,1.664B,1.664B,,8.522B,5.338B,642.00M,5.98B,,273.00M,273.00M,,334.00M,1.569B,8.993B,17.52B,3.00M,274.00M,11.34B,134.00M,-464.00M,11.02B
2018-09,2.78B,2.78B,4.99B,,4.928B,630.00M,477.00M,8.815B,,,,,,6.896B,-3.615B,3.281B,7.417B,6.602B,14.02B,,326.00M,2.441B,20.07B,28.88B,1.358B,,1.358B,4.002B,5.36B,813.00M,229.00M,1.042B,576.00M,1.618B,1.536B,1.536B,,8.514B,5.409B,,5.409B,,301.00M,301.00M,,337.00M,1.602B,8.531B,17.04B,3.00M,136.00M,11.85B,105.00M,-382.00M,11.50B
2018-06,2.579B,2.579B,5.32B,,5.271B,577.00M,389.00M,8.816B,,,,,,6.894B,-3.545B,3.349B,7.451B,6.899B,14.35B,,332.00M,2.279B,20.31B,29.13B,1.326B,,1.326B,4.043B,5.369B,817.00M,929.00M,1.746B,561.00M,2.307B,1.638B,1.638B,,9.314B,4.747B,,4.747B,,351.00M,351.00M,,342.00M,1.718B,7.998B,17.31B,3.00M,,11.87B,87.00M,-312.00M,11.47B
