,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-03,3.503B,3.503B,2.846B,657.00M,351.00M,-153.00M,36.00M,8.00M,-28.00M,,620.00M,37.00M,8.00M,36.00M,-28.00M,-120.00M,-28.00M,-111.00M,-157.00M,46.00M,40.00M,,-6.00M,80.00M,139.45M,194.00M,269.00M,-75.00M,0.27,0.27,,0.9211,0.54,0.27,0.26,,0.9129,0.53,152.73M,154.68M,0.2
2012-12,3.536B,3.536B,2.767B,769.00M,271.00M,-26.00M,57.00M,4.00M,-53.00M,,539.00M,230.00M,4.00M,57.00M,-53.00M,-33.00M,-53.00M,144.00M,30.00M,114.00M,399.00M,,-3.00M,510.00M,131.59M,469.00M,268.00M,201.00M,0.72,2.57,,0.8528,3.29,0.71,2.56,,0.8419,3.27,155.04M,156.08M,0.2
2012-09,3.528B,3.528B,2.713B,815.00M,294.00M,-58.00M,46.00M,5.00M,-41.00M,,565.00M,250.00M,5.00M,46.00M,-41.00M,-47.00M,-41.00M,162.00M,46.00M,116.00M,22.00M,,-8.00M,130.00M,149.53M,479.00M,271.00M,208.00M,0.7,0.14,,0.9673,0.84,0.69,0.14,,0.9566,0.83,155.36M,155.75M,0.2
2012-06,3.633B,3.633B,2.977B,656.00M,281.00M,-27.00M,44.00M,5.00M,-39.00M,,543.00M,113.00M,5.00M,44.00M,-39.00M,-39.00M,-39.00M,35.00M,18.00M,17.00M,25.00M,,-2.00M,40.00M,32.55M,341.00M,262.00M,79.00M,0.1,0.16,,0.2131,0.26,0.1,0.16,,0.2128,0.26,155.23M,155.65M,0.2
2012-03,3.146B,3.146B,1.632B,1.514B,307.00M,2.373B,42.00M,6.00M,-36.00M,,578.00M,936.00M,6.00M,42.00M,-36.00M,2.368B,-36.00M,3.268B,-150.00M,3.418B,52.00M,,-2.00M,3.468B,1.874B,3.581B,206.00M,3.31B,22.04,0.34,,12.1,22.38,22.04,0.34,,12.1,22.38,155.10M,155.10M,0.2
2011-12,3.687B,3.687B,4.467B,-780.00M,272.00M,-60.00M,42.00M,8.00M,-34.00M,,573.00M,-1.353B,8.00M,42.00M,-34.00M,-72.00M,-34.00M,-1.459B,-38.00M,-1.421B,30.00M,,1.00M,-1.39B,-1.362B,-1.095B,322.00M,-1.417B,-9.15,0.19,,-8.773,-8.96,-9.15,0.19,,-8.773,-8.96,155.06M,155.06M,0.2
2011-09,3.966B,3.966B,3.51B,456.00M,307.00M,-2.679B,46.00M,12.00M,-34.00M,,597.00M,-141.00M,12.00M,46.00M,-34.00M,-2.679B,-34.00M,-2.854B,12.00M,-2.866B,0.00,,-11.00M,-2.877B,-208.72M,-2.489B,319.00M,-2.808B,-18.56,0.0,,-1.35,-18.56,-18.56,0.0,,-1.35,-18.56,155.04M,155.04M,0.2
2011-06,4.033B,4.033B,3.365B,668.00M,264.00M,5.00M,42.00M,12.00M,-30.00M,,542.00M,126.00M,12.00M,42.00M,-30.00M,5.00M,-30.00M,101.00M,-85.00M,186.00M,-1.00M,,-2.00M,183.00M,180.75M,435.00M,292.00M,143.00M,1.19,-0.01,,1.169,1.18,1.18,-0.01,,1.159,1.17,154.84M,155.99M,0.2
2011-03,3.742B,3.742B,3.039B,703.00M,218.00M,-14.00M,41.00M,12.00M,-29.00M,,489.00M,214.00M,12.00M,41.00M,-29.00M,7.00M,-29.00M,192.00M,79.00M,113.00M,62.00M,,-4.00M,171.00M,118.10M,516.00M,283.00M,233.00M,0.7,0.4,,0.7588,1.1,0.69,0.4,,0.7479,1.09,154.82M,157.12M,0.2
2010-12,3.995B,3.995B,3.221B,774.00M,242.00M,2.00M,43.00M,8.00M,-35.00M,,511.00M,263.00M,8.00M,43.00M,-35.00M,2.00M,-35.00M,230.00M,-14.00M,244.00M,-1.00M,,-1.00M,242.00M,241.70M,559.00M,286.00M,273.00M,1.58,-0.01,,1.5719999999999998,1.57,1.55,-0.01,,1.5419999999999998,1.54,154.53M,156.72M,0.2
2010-09,3.935B,3.935B,3.148B,787.00M,246.00M,9.00M,42.00M,9.00M,-33.00M,,518.00M,269.00M,9.00M,42.00M,-33.00M,9.00M,-33.00M,245.00M,71.00M,174.00M,19.00M,,-9.00M,184.00M,158.61M,581.00M,294.00M,287.00M,1.06,0.13,,1.0190000000000001,1.19,1.05,0.13,,1.0090000000000001,1.18,154.39M,155.77M,0.15
2010-06,3.91B,3.91B,3.17B,740.00M,243.00M,,41.00M,8.00M,-33.00M,-3.00M,496.00M,244.00M,8.00M,41.00M,-33.00M,,-33.00M,211.00M,66.00M,145.00M,3.00M,,-5.00M,143.00M,140.00M,529.00M,277.00M,252.00M,0.91,0.02,,0.91,0.93,0.89,0.02,,0.89,0.91,154.22M,156.53M,0.15
2010-03,4.029B,4.029B,3.142B,887.00M,249.00M,-15.00M,94.00M,7.00M,-87.00M,,499.00M,388.00M,7.00M,94.00M,-87.00M,,-87.00M,286.00M,26.00M,260.00M,,,-5.00M,259.00M,268.64M,658.00M,278.00M,380.00M,1.68,0.01,,1.77,1.69,1.65,0.01,,1.739,1.66,151.50M,152.73M,0.0
2009-12,3.953B,3.953B,3.105B,848.00M,239.00M,6.00M,50.00M,6.00M,-44.00M,,519.00M,329.00M,6.00M,50.00M,-44.00M,6.00M,-44.00M,291.00M,75.00M,216.00M,,,-5.00M,211.00M,206.55M,642.00M,301.00M,341.00M,1.38,0.0,,1.351,1.38,1.36,0.0,,1.331,1.36,152.05M,154.28M,0.0
