,NetIncome,NetForeignCurrencyExchangeGain/Loss,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,-246.00M,-32.00M,0.00,-22.00M,529.00M,529.00M,42.00M,20.00M,,139.00M,,157.00M,-157.00M,,0.00,472.00M,-115.00M,,-61.00M,-54.00M,0.00,0.00,-58.00M,-173.00M,-2.634B,-109.00M,-2.743B,,0.00,0.00,0.00,0.00,0.00,-6.00M,-2.749B,5.509B,-2.45B,23.00M,3.079B,,82.00M,-2.825B,0.00
2020-06,-199.00M,-11.00M,2.00M,-5.00M,496.00M,496.00M,,16.00M,,163.00M,,-100.00M,-287.00M,,-387.00M,119.00M,-143.00M,,-95.00M,-48.00M,-10.00M,0.00,92.00M,-61.00M,1.414B,431.00M,1.845B,,0.00,0.00,-53.00M,-53.00M,0.00,-6.00M,1.786B,3.679B,1.844B,-14.00M,5.509B,,4.241B,-2.396B,0.00
2020-03,-3.501B,10.00M,-244.00M,-239.00M,531.00M,531.00M,3.884B,11.00M,,169.00M,,-141.00M,-192.00M,541.00M,-514.00M,288.00M,-167.00M,,-110.00M,-57.00M,0.00,38.00M,114.00M,-15.00M,1.271B,-254.00M,1.017B,,0.00,0.00,-53.00M,-53.00M,0.00,-2.00M,962.00M,2.56B,1.235B,-116.00M,3.679B,,2.429B,-1.412B,0.00
2019-12,90.00M,64.00M,,74.00M,483.00M,483.00M,42.00M,9.00M,,182.00M,,-26.00M,298.00M,-675.00M,-403.00M,477.00M,-100.00M,,-48.00M,-52.00M,-76.00M,0.00,101.00M,-75.00M,-735.00M,104.00M,-631.00M,,-86.00M,-86.00M,-54.00M,-54.00M,1.00M,-15.00M,-785.00M,2.88B,-383.00M,63.00M,2.56B,,1.131B,-1.762B,-86.00M
2019-09,-2.115B,-36.00M,0.00,-32.00M,472.00M,472.00M,2.898B,30.00M,,156.00M,,502.00M,-264.00M,,238.00M,1.651B,-150.00M,,-87.00M,-63.00M,-10.00M,0.00,-65.00M,-225.00M,-221.00M,13.00M,-208.00M,,-150.00M,-150.00M,-56.00M,-56.00M,3.00M,4.00M,-407.00M,1.868B,1.019B,-7.00M,2.88B,,1.478B,-1.686B,-150.00M
2019-06,168.00M,-14.00M,0.00,-22.00M,474.00M,474.00M,,18.00M,,175.00M,,-335.00M,-540.00M,,-875.00M,-66.00M,-168.00M,,-105.00M,-63.00M,-1.911B,-75.00M,332.00M,-1.822B,1.479B,0.00,1.479B,,-500.00M,-500.00M,-51.00M,-51.00M,7.00M,-48.00M,887.00M,2.899B,-1.001B,-30.00M,1.868B,,3.599B,-2.12B,-500.00M
2019-03,271.00M,62.00M,,179.00M,509.00M,509.00M,0.00,17.00M,,11.00M,,1.012B,0.00,400.00M,-326.00M,748.00M,-156.00M,,-78.00M,-78.00M,-33.00M,0.00,298.00M,109.00M,-240.00M,-93.00M,-333.00M,,-91.00M,-91.00M,-51.00M,-51.00M,7.00M,-12.00M,-480.00M,2.475B,377.00M,47.00M,2.899B,,894.00M,-1.227B,-91.00M
2018-12,466.00M,-20.00M,,-92.00M,512.00M,512.00M,0.00,16.00M,,-3.00M,,-529.00M,141.00M,-325.00M,-713.00M,186.00M,-144.00M,,-86.00M,-58.00M,-289.00M,0.00,441.00M,8.00M,345.00M,0.00,345.00M,,-806.00M,-806.00M,-54.00M,-54.00M,4.00M,14.00M,-497.00M,2.78B,-303.00M,-2.00M,2.475B,,1.858B,-1.513B,-806.00M
2018-09,259.00M,4.00M,,-15.00M,493.00M,493.00M,0.00,19.00M,,-30.00M,,-183.00M,-63.00M,,-246.00M,480.00M,-130.00M,,-54.00M,-76.00M,0.00,0.00,262.00M,132.00M,-221.00M,0.00,-221.00M,,-133.00M,-133.00M,-54.00M,-54.00M,27.00M,-5.00M,-386.00M,2.579B,226.00M,-25.00M,2.78B,,1.278B,-1.499B,-133.00M
2018-06,266.00M,-16.00M,,-62.00M,509.00M,509.00M,,22.00M,,12.00M,,-300.00M,-78.00M,,-378.00M,369.00M,-128.00M,,-79.00M,-49.00M,-108.00M,0.00,56.00M,-180.00M,60.00M,0.00,60.00M,,-314.00M,-314.00M,-51.00M,-51.00M,9.00M,-4.00M,-300.00M,2.729B,-111.00M,-39.00M,2.579B,,2.23B,-2.17B,-314.00M
2018-03,565.00M,-22.00M,,-238.00M,627.00M,627.00M,,17.00M,,-34.00M,,365.00M,372.00M,,376.00M,557.00M,-103.00M,,-49.00M,-54.00M,-10.00M,,62.00M,-51.00M,-644.00M,0.00,-644.00M,,-66.00M,-66.00M,-51.00M,-51.00M,31.00M,-24.00M,-754.00M,2.956B,-248.00M,21.00M,2.729B,,933.00M,-1.577B,-66.00M
2017-12,779.00M,40.00M,,40.00M,483.00M,483.00M,,18.00M,,8.00M,,-410.00M,-418.00M,,-828.00M,500.00M,-123.00M,,-52.00M,-71.00M,-41.00M,,438.00M,274.00M,-465.00M,1.00M,-464.00M,,0.00,0.00,-51.00M,-51.00M,15.00M,-15.00M,-515.00M,2.702B,259.00M,-5.00M,2.956B,,646.00M,-1.11B,0.00
2017-09,265.00M,136.00M,,140.00M,541.00M,541.00M,,18.00M,,-2.00M,,87.00M,-58.00M,,29.00M,991.00M,-93.00M,,-54.00M,-39.00M,-152.00M,,-133.00M,-378.00M,-474.00M,57.00M,-417.00M,,-52.00M,-52.00M,-52.00M,-52.00M,67.00M,1.00M,-453.00M,2.522B,160.00M,20.00M,2.702B,,1.833B,-2.25B,-52.00M
2017-06,173.00M,-132.00M,,-136.00M,363.00M,363.00M,,40.00M,,17.00M,,-42.00M,104.00M,,62.00M,519.00M,-116.00M,,-69.00M,-47.00M,,,990.00M,874.00M,-151.00M,58.00M,-93.00M,,-14.00M,-14.00M,-20.00M,-20.00M,25.00M,-66.00M,-168.00M,1.268B,1.225B,29.00M,2.522B,,611.00M,-704.00M,-14.00M
2017-03,-138.00M,4.00M,,98.00M,155.00M,155.00M,,19.00M,,-6.00M,,-296.00M,123.00M,,-234.00M,-186.00M,-4.00M,,-47.00M,43.00M,3.00M,,261.00M,260.00M,40.00M,0.00,40.00M,,0.00,0.00,-19.00M,-19.00M,7.00M,-7.00M,21.00M,1.111B,95.00M,59.00M,1.268B,,611.00M,-571.00M,0.00
