,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,1.714B,17.34M,1.732B,702.42M,743.87M,526.69M,,546.07M,,1.073B,18.35M,,12.44M,3.579B,0.0,62.54M,1.251B,2.085B,369.45M,3.767B,-1.869B,1.898B,2.613B,1.076B,3.689B,308.37M,,250.38M,6.329B,9.908B,644.61M,,22.48M,,667.09M,300.27M,967.36M,,,258.69M,258.69M,,,,1.504B,1.045B,1.045B,218.78M,218.78M,552.88M,4.778M,157.40M,1.974B,3.478B,7.909M,6.523B,289.55M,,,,-395.25M,6.426B
2020-07,1.729B,17.56M,1.747B,648.99M,649.56M,475.54M,,506.81M,,982.36M,16.97M,,13.96M,3.410B,0.0,54.97M,1.153B,2.045B,384.05M,3.637B,-1.837B,1.800B,2.616B,1.081B,3.696B,298.64M,,241.95M,6.191B,9.600B,537.54M,,49.73M,,587.27M,338.40M,925.66M,,,258.69M,258.69M,,,,1.427B,1.047B,1.047B,170.32M,170.32M,545.99M,4.322M,138.54M,1.902B,3.329B,7.902M,6.415B,276.59M,,,,-431.88M,6.267B
2020-04,606.07M,16.84M,622.91M,536.01M,536.35M,452.02M,,596.97M,0.001M,1.049B,24.23M,,16.41M,2.249B,0.0,54.67M,1.152B,2.017B,325.08M,3.549B,-1.799B,1.750B,2.683B,1.024B,3.707B,303.19M,,238.27M,6.146B,8.395B,502.13M,,54.76M,,556.90M,304.73M,861.63M,,,258.30M,258.30M,,,0.002M,1.325B,56.86M,56.86M,165.25M,165.25M,542.75M,4.14M,139.52M,904.38M,2.229B,7.896M,6.337B,265.13M,,,,-447.91M,6.162B
2020-01,724.42M,14.81M,739.23M,562.48M,562.67M,429.15M,,628.12M,-0.001M,1.057B,24.82M,,10.98M,2.395B,0.0,54.45M,1.139B,1.990B,275.50M,3.459B,-1.763B,1.695B,2.484B,1.032B,3.516B,290.78M,,251.35M,5.895B,8.290B,490.04M,,30.49M,,520.53M,302.25M,822.78M,,,8.259M,8.259M,,,-0.001M,1.023B,308.97M,308.97M,176.11M,176.11M,539.97M,4.281M,145.92M,1.171B,2.194B,7.873M,6.247B,230.53M,,,,-393.28M,6.092B
2019-10,672.90M,14.74M,687.64M,574.40M,594.32M,438.33M,,604.04M,,1.042B,22.64M,,14.46M,2.361B,0.0,49.76M,1.084B,1.965B,256.19M,3.355B,-1.726B,1.629B,2.482B,1.034B,3.516B,289.16M,,177.90M,5.748B,8.109B,590.03M,,6.208M,,596.24M,271.02M,867.26M,,,,,,,,1.105B,250.00M,250.00M,176.57M,176.57M,536.49M,4.077M,115.36M,1.078B,2.183B,7.83M,6.128B,184.92M,,,,-399.50M,5.921B
2019-07,560.20M,14.06M,574.26M,528.58M,529.25M,443.49M,,665.03M,,1.109B,22.61M,,11.34M,2.246B,0.0,49.80M,1.036B,1.887B,242.37M,3.215B,-1.699B,1.516B,2.487B,1.038B,3.525B,279.26M,,177.53M,5.709B,7.955B,513.37M,,34.38M,,547.75M,306.77M,854.52M,,,,,,,,1.073B,250.00M,250.00M,145.15M,145.15M,492.86M,4.264M,102.14M,990.15M,2.063B,7.818M,5.984B,170.14M,,,,-275.20M,5.887B
2019-04,639.33M,6.675M,646.00M,537.45M,537.74M,444.15M,,586.43M,,1.031B,24.22M,,12.13M,2.251B,0.0,49.64M,1.011B,1.852B,259.68M,3.172B,-1.678B,1.495B,2.487B,1.040B,3.527B,276.48M,,181.78M,5.685B,7.936B,523.67M,,22.15M,,545.83M,298.19M,844.02M,,,,,,,,1.052B,250.00M,250.00M,142.43M,142.43M,488.48M,4.448M,101.38M,982.28M,2.034B,7.854M,6.004B,163.98M,,,,-278.14M,5.897B
2019-01,512.69M,,512.69M,565.06M,565.21M,442.94M,,551.49M,,994.43M,23.60M,,4.761M,2.101B,0.0,49.16M,958.88M,1.819B,302.93M,3.130B,-1.647B,1.484B,2.717B,1.205B,3.922B,277.84M,,171.00M,6.055B,8.155B,505.62M,,63.79M,,569.41M,306.07M,875.48M,,,374.88M,374.88M,,,,1.436B,250.00M,250.00M,179.67M,179.67M,484.00M,4.07M,100.13M,1.014B,2.450B,7.826M,5.856B,130.20M,,,,-292.34M,5.702B
2018-10,459.14M,0.00,459.14M,600.44M,604.43M,437.90M,,525.63M,,963.53M,16.34M,,6.662M,2.050B,0.0,50.33M,956.26M,1.863B,332.20M,3.202B,-1.689B,1.513B,2.714B,1.207B,3.921B,273.15M,,189.95M,6.092B,8.142B,618.83M,,2.49M,,621.32M,268.26M,889.58M,,,,,,,,1.139B,624.84M,624.84M,197.09M,197.09M,477.56M,4.007M,99.07M,1.399B,2.537B,7.825M,5.730B,106.53M,,,,-243.50M,5.601B
2018-07,268.98M,,268.98M,559.18M,563.82M,427.84M,,573.20M,,1.001B,14.54M,,5.92M,1.854B,0.0,51.14M,904.75M,1.807B,311.18M,3.074B,-1.663B,1.410B,2.735B,1.237B,3.971B,276.46M,,192.77M,6.041B,7.895B,488.98M,,2.372M,,491.35M,281.84M,773.19M,,,95.00M,95.00M,,,,1.097B,624.80M,624.80M,139.19M,139.19M,534.70M,4.167M,104.08M,1.403B,2.500B,7.781M,5.615B,27.98M,,,,-259.21M,5.392B
