,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,2.420B,2.420B,1.962B,457.76M,,,190.80M,,8.271M,10.31M,2.036M,,190.80M,266.97M,10.31M,8.271M,2.036M,9.729M,2.036M,278.73M,44.21M,234.53M,-0.169M,234.36M,234.36M,343.01M,56.01M,287.00M,0.43,,0.43,0.43,0.43,,0.43,0.43,539.73M,548.03M,0.2325
2020-07,2.381B,2.381B,1.959B,422.43M,,,181.08M,,5.724M,15.51M,9.789M,,181.08M,241.34M,15.51M,5.724M,9.789M,8.235M,9.789M,259.36M,56.10M,203.26M,-0.141M,203.12M,203.12M,314.94M,49.86M,265.09M,0.38,,0.38,0.38,0.37,,0.37,0.37,539.11M,547.15M,0.2325
2020-04,2.422B,2.422B,1.945B,477.35M,,,193.91M,,6.971M,,-6.971M,,193.91M,283.44M,,6.971M,-6.971M,10.02M,-6.971M,286.49M,58.87M,227.62M,0.119M,227.73M,227.73M,344.05M,50.59M,293.46M,0.42,,0.42,0.42,0.42,,0.42,0.42,538.12M,546.37M,0.2325
2020-01,2.384B,2.384B,1.916B,468.42M,,,195.52M,,3.577M,13.25M,9.674M,,195.52M,272.90M,13.25M,3.577M,9.674M,7.588M,9.674M,290.16M,47.21M,242.95M,-0.081M,242.87M,242.87M,343.07M,49.33M,293.74M,0.45,,0.45,0.45,0.45,,0.45,0.45,535.08M,544.82M,0.2325
2019-10,2.502B,2.502B,2.008B,493.72M,,,183.80M,,3.095M,5.793M,2.698M,,183.80M,309.93M,5.793M,3.095M,2.698M,11.07M,2.698M,323.69M,68.13M,255.57M,-0.063M,255.50M,255.50M,369.78M,42.99M,326.79M,0.48,,0.48,0.48,0.47,,0.47,0.47,534.15M,543.80M,0.21
2019-07,2.291B,2.291B,1.857B,433.44M,,,180.17M,,3.213M,7.556M,4.343M,,180.17M,253.27M,7.556M,3.213M,4.343M,3.384M,4.343M,261.00M,61.57M,199.43M,0.022M,199.45M,199.45M,305.68M,41.47M,264.21M,0.37,,0.37,0.37,0.37,,0.37,0.37,534.19M,543.68M,0.21
2019-04,2.345B,2.345B,1.876B,469.15M,,,170.08M,,5.615M,11.30M,5.682M,,170.08M,299.07M,11.30M,5.615M,5.682M,13.29M,5.682M,318.05M,35.41M,282.64M,-0.207M,282.43M,282.43M,364.39M,40.72M,323.66M,0.53,,0.53,0.53,0.52,,0.52,0.52,535.48M,546.33M,0.21
2019-01,2.360B,2.360B,1.872B,488.33M,,,193.54M,,6.147M,6.874M,0.727M,,193.54M,294.79M,6.874M,6.147M,0.727M,11.46M,0.727M,306.98M,65.46M,241.52M,-0.094M,241.42M,241.42M,353.14M,40.02M,313.12M,0.45,,0.45,0.45,0.44,,0.44,0.44,534.50M,547.12M,0.21
2018-10,2.525B,2.525B,1.991B,533.33M,,,205.29M,,6.329M,8.257M,1.928M,,205.29M,328.04M,8.257M,6.329M,1.928M,-8.465M,1.928M,321.50M,60.01M,261.50M,-0.09M,261.41M,261.41M,368.58M,40.75M,327.83M,0.49,,0.49,0.49,0.48,,0.48,0.48,533.11M,545.42M,0.1875
2018-07,2.359B,2.359B,1.904B,455.05M,,,211.50M,,8.435M,9.477M,1.042M,,211.50M,243.55M,9.477M,8.435M,1.042M,13.14M,1.042M,257.73M,47.38M,210.35M,-0.11M,210.24M,210.24M,306.96M,40.79M,266.17M,0.4,,0.4,0.4,0.39,,0.39,0.39,530.61M,543.76M,0.1875
