,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,216.94M,,216.94M,2.750B,478.48M,3.229B,39.82M,191.50M,,,3.677B,,,,,3.043B,,3.043B,-1.340B,1.703B,2.098B,434.92M,2.533B,412.49M,4.648B,8.325B,1.544B,,1.544B,,1.544B,,9.221M,9.221M,88.16M,97.38M,537.05M,537.05M,,,2.178B,1.202B,185.91M,1.387B,206.28M,206.28M,3.616M,,397.94M,1.992B,4.170B,0.002M,3.104B,2.130B,807.62M,,-274.34M,4.152B
2020-06,530.67M,,530.67M,2.370B,489.80M,2.860B,48.27M,205.72M,,,3.645B,,,,,2.954B,,2.954B,-1.298B,1.656B,2.023B,380.31M,2.403B,386.07M,4.445B,8.090B,1.318B,,1.318B,,1.318B,,71.84M,71.84M,90.36M,162.20M,613.19M,613.19M,,,2.093B,1.316B,192.30M,1.508B,220.69M,220.69M,3.573M,,349.72M,2.078B,4.172B,0.002M,2.948B,2.063B,806.80M,,-290.05M,3.914B
2020-03,377.20M,,377.20M,2.593B,569.18M,3.162B,50.36M,168.56M,,,3.759B,,,,,2.928B,,2.928B,-1.252B,1.676B,2.006B,395.64M,2.402B,392.65M,4.470B,8.229B,1.360B,,1.360B,,1.360B,,73.43M,73.43M,91.39M,164.82M,591.09M,591.09M,,,2.116B,1.589B,200.82M,1.790B,217.78M,217.78M,4.686M,,309.94M,2.318B,4.434B,0.002M,2.881B,2.040B,806.52M,,-324.79M,3.790B
2019-12,164.80M,,164.80M,2.748B,601.27M,3.349B,55.72M,261.29M,,,3.831B,0.00,67.56M,231.92M,2.297B,298.53M,26.24M,2.921B,-1.250B,1.671B,2.023B,413.73M,2.436B,393.26M,4.501B,8.332B,798.72M,87.07M,885.79M,254.34M,1.140B,,74.87M,74.87M,92.48M,167.34M,639.34M,639.34M,,,2.263B,1.292B,196.52M,1.489B,214.78M,214.78M,3.539M,,311.31M,2.015B,4.278B,0.002M,2.854B,2.025B,586.77M,,-241.82M,4.050B
2019-09,80.04M,,80.04M,3.188B,652.92M,3.841B,67.04M,313.60M,,,4.302B,,,,,2.883B,,2.883B,-1.204B,1.679B,2.003B,431.56M,2.434B,449.22M,4.563B,8.865B,1.648B,,1.648B,,1.648B,,75.75M,75.75M,93.51M,169.26M,540.19M,540.19M,,,2.358B,1.810B,197.90M,2.008B,279.86M,279.86M,1.801M,,310.13M,2.598B,4.956B,0.002M,2.743B,2.015B,586.82M,,-264.11M,3.907B
2019-06,73.36M,,73.36M,2.632B,683.66M,3.316B,68.40M,294.51M,,,3.752B,,,,,2.803B,,2.803B,-1.163B,1.639B,1.932B,264.28M,2.197B,433.87M,4.270B,8.022B,1.289B,,1.289B,,1.289B,,52.86M,52.86M,92.76M,145.63M,471.21M,471.21M,,,1.906B,1.517B,192.20M,1.709B,276.57M,276.57M,1.336M,,353.28M,2.339B,4.246B,0.002M,2.613B,1.999B,586.21M,,-251.33M,3.775B
2019-03,85.42M,,85.42M,2.581B,573.25M,3.154B,81.12M,234.09M,,,3.555B,,,,,2.740B,,2.740B,-1.137B,1.603B,1.927B,276.07M,2.203B,292.09M,4.098B,7.653B,1.239B,,1.239B,,1.239B,,44.34M,44.34M,92.29M,136.64M,403.37M,403.37M,,,1.779B,1.345B,193.48M,1.538B,253.16M,253.16M,1.313M,,357.08M,2.149B,3.927B,0.002M,2.592B,1.985B,585.44M,,-267.20M,3.724B
2018-12,78.69M,,78.69M,2.355B,576.89M,2.932B,107.73M,208.06M,,,3.326B,0.00,61.30M,208.97M,2.079B,,19.51M,2.368B,-1.092B,1.276B,1.900B,280.18M,2.180B,293.59M,3.750B,7.076B,786.55M,48.83M,835.38M,159.95M,995.33M,,65.65M,65.65M,0.00,65.65M,466.04M,466.04M,,,1.806B,1.041B,0.00,1.041B,219.12M,219.12M,1.294M,,404.56M,1.664B,3.470B,0.002M,2.477B,1.967B,554.44M,,-286.05M,3.604B
2018-09,113.52M,,113.52M,2.292B,680.01M,2.972B,94.67M,198.31M,,,3.378B,,,,,2.437B,,2.437B,-1.086B,1.351B,1.912B,284.41M,2.197B,265.61M,3.813B,7.191B,1.341B,,1.341B,,1.341B,,,22.81M,,22.81M,452.49M,452.49M,,,1.816B,952.89M,,952.89M,209.48M,209.48M,1.416M,,388.40M,1.551B,3.367B,0.002M,2.426B,1.956B,321.12M,,-237.69M,3.823B
2018-06,120.36M,,120.36M,2.108B,551.50M,2.660B,85.86M,208.80M,,,3.075B,,,,,2.368B,,2.368B,-1.043B,1.325B,1.898B,261.82M,2.159B,230.93M,3.716B,6.790B,1.179B,,1.179B,,1.179B,,,15.50M,,15.50M,496.08M,496.08M,,,1.691B,840.74M,,840.74M,196.52M,196.52M,2.805M,,369.09M,1.406B,3.097B,0.002M,2.301B,1.935B,296.92M,,-248.53M,3.691B
