,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,1.141B,-104.00M,-104.00M,218.00M,170.00M,388.00M,388.00M,,,,104.00M,-749.00M,,,36.00M,-1.062B,-776.00M,425.00M,-130.00M,,-130.00M,-1.732B,-8.822B,74.00M,-2.118B,-981.00M,544.00M,-437.00M,,,,905.00M,3.00M,908.00M,-607.00M,-73.00M,-680.00M,1.097B,-2.396B,41.20B,-4.089B,37.11B,905.00M,774.00M,-1.755B,3.00M,22.00M,263.00M
2020-06,958.00M,-300.00M,-300.00M,242.00M,178.00M,420.00M,420.00M,,,,97.00M,-291.00M,,,42.00M,210.00M,-1.752B,-24.00M,-122.00M,,-122.00M,-17.00M,726.00M,1.259B,7.546B,-23.62B,-6.994B,-30.62B,,,,2.544B,0.00,2.544B,-605.00M,-53.00M,-658.00M,-16.00M,-2.673B,36.35B,4.849B,41.20B,2.544B,1.508B,-25.13B,0.00,61.00M,534.00M
2020-03,1.063B,2.00M,2.00M,234.00M,165.00M,399.00M,399.00M,,,,79.00M,598.00M,,,144.00M,-1.448B,1.594B,4.628B,-464.00M,,-464.00M,-62.00M,-10.00M,-576.00M,-19.52B,23.51B,-5.522B,17.98B,,,,,-503.00M,-503.00M,-605.00M,-74.00M,-679.00M,-106.00M,32.17B,19.06B,17.28B,36.35B,,24.29B,-782.00M,-503.00M,11.00M,758.00M
2019-12,726.00M,116.00M,116.00M,142.00M,71.00M,213.00M,213.00M,,,,46.00M,-246.00M,,,-1.17B,1.064B,-1.47B,-444.00M,116.00M,,116.00M,6.289B,9.582B,45.00M,17.72B,-3.575B,976.00M,-2.599B,,,,0.00,0.00,0.00,-345.00M,-19.00M,-364.00M,28.00M,-1.114B,2.904B,16.16B,19.06B,0.00,1.431B,-5.006B,0.00,34.00M,435.00M
2019-09,828.00M,0.00,0.00,112.00M,29.00M,141.00M,141.00M,,,,39.00M,67.00M,,,-213.00M,1.001B,583.00M,1.775B,-52.00M,,-52.00M,-33.00M,-9.333B,-62.00M,-6.559B,2.757B,151.00M,2.908B,,,,1.683B,-1.725B,-42.00M,-345.00M,-44.00M,-389.00M,-11.00M,5.135B,2.553B,351.00M,2.904B,1.683B,3.62B,-863.00M,-1.725B,85.00M,493.00M
2019-06,885.00M,0.00,0.00,107.00M,32.00M,139.00M,139.00M,,,,48.00M,89.00M,,,56.00M,-52.00M,-399.00M,934.00M,-30.00M,,-30.00M,0.00,1.598B,-144.00M,-2.226B,-2.275B,4.039B,1.764B,,,,0.00,0.00,0.00,-310.00M,-44.00M,-354.00M,-144.00M,1.125B,2.72B,-167.00M,2.553B,0.00,18.00M,-2.293B,0.00,262.00M,574.00M
2019-03,798.00M,0.00,0.00,105.00M,32.00M,137.00M,137.00M,,,,32.00M,122.00M,,,-488.00M,-1.578B,-1.989B,-745.00M,-34.00M,,-34.00M,0.00,-417.00M,167.00M,-586.00M,912.00M,1.127B,2.039B,,,,,0.00,0.00,-309.00M,-43.00M,-352.00M,-48.00M,207.00M,3.844B,-1.124B,2.72B,,2.015B,-1.103B,0.00,62.00M,419.00M
2018-12,805.00M,-2.00M,-2.00M,108.00M,34.00M,142.00M,142.00M,,,,28.00M,-364.00M,,,-122.00M,627.00M,616.00M,1.371B,,,,,275.00M,400.00M,-2.23B,311.00M,-4.474B,-4.163B,,-375.00M,-375.00M,0.00,0.00,0.00,-309.00M,-44.00M,-353.00M,-76.00M,1.677B,3.153B,818.00M,3.844B,0.00,999.00M,-688.00M,-375.00M,99.00M,460.00M
2018-09,839.00M,0.00,0.00,106.00M,33.00M,139.00M,139.00M,,,,37.00M,-38.00M,,,162.00M,-316.00M,439.00M,1.551B,,,,,82.00M,-552.00M,-1.17B,-786.00M,6.076B,5.29B,,-200.00M,-200.00M,0.00,0.00,0.00,-313.00M,-43.00M,-356.00M,-96.00M,-281.00M,3.053B,100.00M,3.153B,0.00,15.00M,-801.00M,-200.00M,,329.00M
2018-06,822.00M,-1.00M,-1.00M,105.00M,31.00M,136.00M,136.00M,,,,45.00M,-37.00M,,,642.00M,-197.00M,19.00M,1.119B,,,,,1.603B,-27.00M,-1.766B,745.00M,-745.00M,0.00,,-310.00M,-310.00M,,,,-290.00M,-44.00M,-334.00M,-50.00M,589.00M,3.111B,-58.00M,3.053B,,1.748B,-1.003B,-310.00M,-15.00M,363.00M
