,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,4.194B,37.11B,86.13B,123.24B,1.832B,7.553B,9.385B,5.19B,143.16B,,,,7.323B,,,7.323B,,7.323B,23.87B,4.831B,28.70B,312.15B,5.863B,,306.29B,91.67B,434.69B,499.18B,,,,718.00M,4.186B,4.904B,4.904B,6.244B,41.01B,41.01B,370.75B,106.00M,411.76B,429.21B,14.79B,18.83B,35.77B,8.048B,470.00M,69.87B
2020-06,5.116B,41.20B,77.80B,119.00B,2.524B,7.403B,9.927B,5.188B,139.68B,,,,7.679B,,,7.679B,,7.679B,23.88B,5.093B,28.98B,321.15B,5.702B,,315.45B,82.27B,435.12B,504.34B,,,,783.00M,3.722B,4.505B,4.505B,5.70B,42.13B,42.13B,376.24B,106.00M,418.37B,435.45B,13.88B,18.37B,35.68B,7.143B,847.00M,68.78B
2020-03,5.312B,36.35B,78.40B,114.75B,3.168B,7.496B,10.66B,1.281B,132.53B,,,,7.498B,,,7.498B,,7.498B,23.93B,5.318B,29.24B,324.04B,5.211B,,318.83B,82.90B,443.46B,506.23B,,,,,12.70B,12.70B,12.70B,12.70B,65.66B,65.66B,350.18B,167.00M,415.84B,440.17B,11.34B,18.08B,35.58B,4.599B,898.00M,65.89B
2019-12,4.084B,19.06B,74.73B,93.79B,2.418B,7.255B,9.673B,1.254B,108.19B,1.005B,2.253B,1.396B,6.953B,196.00M,995.00M,12.80B,-2.285B,10.51B,24.15B,5.772B,29.93B,308.22B,1.549B,,306.67B,81.28B,432.47B,473.08B,,,,493.00M,15.50B,15.99B,15.99B,18.22B,41.34B,41.34B,334.73B,174.00M,376.07B,406.52B,11.81B,19.81B,35.61B,5.102B,-844.00M,66.38B
2019-09,2.027B,3.007B,36.00B,39.00B,,,,,39.00B,,,,,,,,,2.022B,9.832B,1.597B,11.43B,150.86B,1.573B,,149.28B,54.76B,233.73B,236.75B,6.242B,6.242B,6.242B,,10.40B,10.40B,10.40B,16.65B,25.52B,25.52B,162.28B,69.00M,187.80B,204.45B,6.889B,19.44B,6.931B,3.057B,-1.026B,32.23B
2019-06,1.831B,2.686B,25.80B,28.49B,,,,,28.49B,,,,,,,,,2.029B,9.83B,1.682B,11.51B,153.82B,1.595B,,152.23B,45.29B,228.17B,230.87B,6.603B,6.603B,6.603B,,10.34B,10.34B,10.34B,16.95B,22.64B,22.64B,159.52B,61.00M,182.16B,199.11B,6.883B,19.05B,6.889B,3.053B,-1.119B,31.70B
2019-03,1.873B,2.876B,26.32B,29.19B,,,,,29.19B,,,,,,,,,2.078B,9.818B,1.762B,11.58B,149.89B,1.561B,,148.33B,46.41B,224.71B,227.68B,6.00B,6.00B,6.00B,,6.305B,6.305B,6.305B,12.30B,24.73B,24.73B,159.77B,60.00M,184.50B,196.80B,6.883B,18.52B,6.843B,3.053B,-1.421B,30.82B
2018-12,2.753B,3.844B,25.04B,28.88B,1.116B,3.302B,4.418B,602.00M,34.29B,567.00M,1.804B,1.136B,1.429B,21.00M,719.00M,5.676B,-2.183B,3.493B,9.818B,1.88B,11.70B,150.00B,1.558B,,148.44B,46.36B,211.50B,225.70B,,,,0.00,4.927B,4.927B,4.927B,5.178B,23.71B,23.71B,161.20B,56.00M,184.91B,195.52B,6.87B,18.12B,6.849B,3.053B,-1.715B,30.12B
2018-09,2.123B,3.006B,24.29B,27.29B,,,,,27.29B,,,,,,,,,2.154B,9.832B,1.968B,11.80B,147.71B,1.538B,,146.17B,45.37B,219.73B,222.88B,5.434B,5.434B,5.434B,,9.652B,9.652B,9.652B,15.09B,23.24B,23.24B,154.56B,59.00M,177.79B,192.88B,6.906B,17.67B,7.221B,3.053B,-1.852B,29.95B
2018-06,2.046B,2.921B,23.92B,26.84B,,,,,26.84B,,,,,,,,,2.154B,9.617B,1.79B,11.41B,147.80B,1.53B,,146.27B,45.67B,219.63B,222.68B,5.717B,5.717B,5.717B,,3.576B,3.576B,3.576B,9.293B,24.08B,24.08B,159.48B,52.00M,183.56B,192.85B,6.925B,17.20B,7.364B,3.053B,-1.706B,29.78B
