,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,963.00M,2.697B,3.66B,477.00M,,,477.00M,,,,1.486B,6.739B,,,,,1.80B,,,1.80B,,1.80B,4.537B,19.00M,4.556B,663.00M,,3.749B,914.00M,11.68B,2020-09,307.00M,379.00M,,686.00M,2.536B,3.222B,,,17.00M,17.00M,,17.00M,105.00M,105.00M,,496.00M,3.84B,7.738B,379.00M,8.117B,2.28B,,,1.264B,11.66B,15.50B,2.00M,22.23B,16.37B,36.10B,,,,411.00M,2.92B,,2020-09,AOR,
2020-06,1.006B,4.297B,5.303B,845.00M,,,845.00M,,,,1.17B,7.394B,,,,,1.90B,,,1.90B,,1.90B,4.91B,56.00M,4.966B,832.00M,605.00M,4.203B,114.00M,12.62B,2020-06,305.00M,1.328B,,1.633B,2.411B,4.044B,,,516.00M,516.00M,,516.00M,103.00M,103.00M,,29.00M,4.692B,8.161B,411.00M,8.572B,2.584B,2.00M,,1.262B,12.42B,17.11B,2.00M,21.68B,15.84B,34.95B,,,,321.00M,2.902B,,2020-06,AOR,
2020-03,880.00M,3.55B,4.43B,635.00M,,,635.00M,,,,1.183B,6.248B,,,,,2.007B,,,2.007B,,2.007B,4.85B,50.00M,4.90B,1.077B,,4.287B,410.00M,12.68B,2020-03,268.00M,1.107B,,1.375B,2.175B,3.55B,,,1.015B,1.015B,,1.015B,108.00M,108.00M,,,4.673B,7.724B,456.00M,8.18B,2.619B,,,1.342B,12.14B,16.81B,2.00M,21.05B,15.72B,34.95B,,,,285.00M,2.115B,,2020-03,AOR,
2019-12,975.00M,1.85B,2.825B,700.00M,,632.00M,1.332B,,,,549.00M,4.706B,0.00,740.00M,,5.204B,628.00M,104.00M,421.00M,7.097B,-4.959B,2.138B,5.153B,67.00M,5.22B,1.316B,,4.377B,417.00M,13.47B,2019-12,270.00M,250.00M,736.00M,1.256B,1.13B,2.386B,,,1.022B,1.022B,,1.022B,158.00M,158.00M,,,4.066B,6.738B,492.00M,7.23B,2.646B,,,1.362B,11.24B,15.30B,2.00M,17.75B,16.13B,31.40B,,,,384.00M,2.87B,,2019-12,AOR,
2019-09,897.00M,2.189B,3.086B,714.00M,,,714.00M,,,,1.409B,5.209B,,,,,2.15B,,,2.15B,,2.15B,5.097B,79.00M,5.176B,1.446B,,4.374B,359.00M,13.50B,2019-09,296.00M,195.00M,,491.00M,2.345B,2.836B,,,518.00M,518.00M,162.00M,680.00M,169.00M,169.00M,,,3.685B,7.235B,497.00M,7.732B,2.62B,,,1.407B,11.76B,15.44B,2.00M,17.32B,15.99B,30.40B,,,,361.00M,3.27B,,2019-09,AOR,Restated
2019-06,1.508B,2.969B,4.477B,797.00M,,,797.00M,,,,1.57B,6.844B,,,,,2.243B,,,2.243B,,2.243B,5.185B,94.00M,5.279B,1.936B,,4.468B,399.00M,14.32B,2019-06,303.00M,150.00M,,453.00M,2.515B,2.968B,,,2.063B,2.063B,,2.063B,178.00M,178.00M,,,5.209B,7.243B,519.00M,7.762B,2.684B,,,1.408B,11.85B,17.06B,2.00M,17.12B,15.91B,29.40B,,,,464.00M,4.106B,,2019-06,AOR,Restated
2019-03,1.695B,2.746B,4.441B,716.00M,,,716.00M,,,,1.508B,6.665B,,,,,2.278B,,,2.278B,,2.278B,5.208B,108.00M,5.316B,2.969B,,4.71B,391.00M,15.66B,2019-03,251.00M,107.00M,,358.00M,2.418B,2.776B,,,1.55B,1.55B,,1.55B,174.00M,174.00M,,,4.50B,7.70B,547.00M,8.247B,2.893B,,,1.486B,12.63B,17.13B,2.00M,16.85B,15.78B,27.90B,,,,464.00M,5.203B,,2019-03,AOR,Restated
2018-12,2.202B,2.713B,4.915B,712.00M,,670.00M,1.382B,,,,829.00M,7.126B,0.00,713.00M,,5.102B,,130.00M,399.00M,6.344B,-4.747B,1.597B,5.16B,92.00M,5.252B,3.778B,,4.792B,274.00M,15.69B,2018-12,286.00M,346.00M,681.00M,1.313B,1.015B,2.328B,,,1.546B,1.546B,,1.546B,170.00M,170.00M,,,4.454B,7.685B,0.00,7.685B,2.925B,,,1.474B,12.08B,16.54B,2.00M,16.46B,15.72B,26.39B,,,,498.00M,6.281B,,2018-12,AOR,Restated
2018-09,2.086B,2.752B,4.838B,761.00M,,,761.00M,,,,1.364B,6.963B,,,,,,,,,,1.58B,5.17B,106.00M,5.276B,4.276B,,4.992B,565.00M,16.69B,2018-09,225.00M,83.00M,,308.00M,1.989B,2.297B,,,1.546B,1.546B,,1.546B,163.00M,163.00M,,,4.006B,7.661B,,7.661B,3.316B,,,1.74B,12.72B,16.72B,2.00M,15.70B,15.57B,24.89B,,,,550.00M,6.929B,,2018-09,AOR,Restated
2018-06,1.619B,2.388B,4.007B,745.00M,,,745.00M,,,,1.432B,6.184B,,,,,,,,,,1.576B,5.199B,123.00M,5.322B,5.418B,,5.052B,436.00M,17.80B,2018-06,253.00M,84.00M,,337.00M,2.117B,2.454B,,,3.00M,3.00M,,3.00M,151.00M,151.00M,,,2.608B,9.201B,,9.201B,3.29B,,,1.743B,14.23B,16.84B,2.00M,14.98B,15.48B,23.89B,,,,581.00M,7.146B,,2018-06,AOR,Restated
2018-03,2.527B,2.279B,4.806B,683.00M,,,683.00M,,,,1.274B,6.763B,,,,,,,,,,1.548B,4.815B,53.00M,4.868B,5.919B,,5.166B,291.00M,17.79B,2018-03,252.00M,236.00M,,488.00M,1.918B,2.406B,,,,20.00M,,20.00M,142.00M,142.00M,,,2.568B,9.208B,,9.208B,3.314B,,,1.869B,14.39B,16.96B,2.00M,14.34B,15.36B,22.90B,,,,800.00M,7.596B,,2018-03,AOR,Restated
2017-12,2.12B,3.743B,5.863B,696.00M,,662.00M,1.358B,,,,523.00M,7.744B,0.00,620.00M,,4.778B,,239.00M,370.00M,6.007B,-4.41B,1.597B,4.773B,69.00M,4.842B,6.331B,,5.199B,273.00M,18.24B,2017-12,330.00M,177.00M,629.00M,1.136B,1.036B,2.172B,,,781.00M,781.00M,,781.00M,137.00M,137.00M,,,3.559B,9.234B,,9.234B,3.424B,,,1.72B,14.38B,17.94B,2.00M,13.93B,15.29B,21.89B,,,,717.00M,8.049B,,2017-12,AOR,Restated
2017-09,1.76B,4.27B,6.03B,626.00M,,,626.00M,,,,1.202B,7.858B,,,,,,,,,,1.546B,4.669B,78.00M,4.747B,6.302B,,5.214B,276.00M,18.08B,2017-09,260.00M,100.00M,,360.00M,1.964B,2.324B,,,,749.00M,,749.00M,117.00M,117.00M,,,3.19B,9.249B,,9.249B,2.157B,,,64.00M,11.47B,14.66B,2.00M,16.54B,15.17B,20.97B,,,,538.00M,11.28B,,2017-09,AOR,Restated
2017-06,2.636B,6.381B,9.017B,619.00M,,,619.00M,,,,1.27B,10.91B,,,,,,,,,,1.538B,4.665B,92.00M,4.757B,4.754B,,5.242B,286.00M,16.58B,2017-06,284.00M,102.00M,,386.00M,1.87B,2.256B,,,,2.215B,,2.215B,125.00M,125.00M,,,4.596B,9.251B,,9.251B,2.098B,,,64.00M,11.41B,16.01B,2.00M,16.02B,15.08B,20.06B,,,,437.00M,11.47B,,2017-06,AOR,Restated
2017-03,1.979B,4.775B,6.754B,592.00M,,,592.00M,,,,1.147B,8.493B,,,,,,,,,,1.496B,4.648B,86.00M,4.734B,4.54B,,5.263B,282.00M,16.32B,2017-03,296.00M,122.00M,,418.00M,1.693B,2.111B,,,,2.21B,,2.21B,112.00M,112.00M,,,4.433B,6.756B,,6.756B,1.958B,,,66.00M,8.78B,13.21B,2.00M,15.99B,14.99B,19.56B,,,,165.00M,11.60B,,2017-03,AOR,Restated
2016-12,1.816B,5.333B,7.149B,592.00M,,590.00M,1.182B,,,,544.00M,8.875B,0.00,619.00M,,4.371B,,160.00M,334.00M,5.484B,-3.968B,1.516B,4.501B,102.00M,4.603B,3.969B,,4.608B,276.00M,14.97B,2016-12,283.00M,110.00M,524.00M,917.00M,184.00M,1.101B,,,1.451B,1.451B,,1.451B,110.00M,110.00M,,755.00M,3.847B,7.509B,,7.509B,1.453B,,,499.00M,9.461B,13.31B,2.00M,14.96B,14.91B,19.20B,,,,-124.00M,10.54B,,2016-12,AOR,Restated
2016-09,1.753B,6.292B,8.045B,626.00M,,,626.00M,,,,1.112B,9.783B,,,,,,,,,,1.526B,4.727B,117.00M,4.844B,3.921B,,,428.00M,10.72B,2016-09,278.00M,107.00M,,385.00M,1.813B,2.198B,,,,1.449B,,1.449B,116.00M,116.00M,,,3.763B,7.582B,,7.582B,2.268B,,,70.00M,9.92B,13.68B,2.00M,9.036B,14.78B,18.20B,,,,1.204B,6.819B,,2016-09,AOR,Restated
2016-06,2.001B,6.085B,8.086B,628.00M,,,628.00M,,,,1.20B,9.914B,,,,,,,,,,1.502B,4.487B,74.00M,4.561B,3.541B,,,475.00M,10.08B,2016-06,304.00M,68.00M,,372.00M,1.718B,2.09B,,,,,,,116.00M,116.00M,,,2.206B,9.054B,,9.054B,2.204B,,,76.00M,11.33B,13.54B,2.00M,8.642B,14.68B,17.70B,,,,829.00M,6.453B,,2016-06,AOR,Restated
2016-03,2.686B,5.327B,8.013B,599.00M,,,599.00M,,,,1.091B,9.703B,,,,,,,,,,1.497B,4.519B,82.00M,4.601B,3.37B,,,437.00M,9.905B,2016-03,275.00M,60.00M,,335.00M,1.651B,1.986B,,,6.00M,6.00M,,6.00M,115.00M,115.00M,,,2.107B,9.03B,,9.03B,2.08B,,,74.00M,11.18B,13.29B,2.00M,8.207B,14.63B,17.20B,,,,685.00M,6.317B,,2016-03,AOR,Restated
2015-12,1.832B,4.299B,6.131B,619.00M,,,619.00M,,,,1.154B,7.904B,0.00,591.00M,,4.051B,,131.00M,305.00M,5.078B,-3.524B,1.554B,4.451B,90.00M,4.541B,3.391B,,0.00,365.00M,9.851B,2015-12,349.00M,72.00M,,421.00M,1.736B,2.157B,,,,,,,106.00M,106.00M,,,2.263B,6.749B,,6.749B,2.092B,,,75.00M,8.916B,11.18B,2.00M,7.713B,14.54B,16.20B,,,,526.00M,6.576B,,2015-12,AOR,Restated
2015-09,2.387B,2.914B,5.301B,595.00M,,,595.00M,,,,1.152B,8.28B,,,,,,,,,,1.535B,4.442B,90.00M,4.532B,3.572B,,,419.00M,10.06B,2015-09,175.00M,57.00M,,232.00M,3.106B,3.338B,600.00M,,25.00M,625.00M,,625.00M,137.00M,137.00M,,336.00M,4.436B,6.814B,,6.814B,511.00M,,,85.00M,7.41B,11.85B,2.00M,7.255B,14.44B,15.65B,,,,443.00M,6.492B,,2015-09,AOR,Restated
