,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2020-09,536.00M,0.00,-192.00M,-192.00M,,,152.00M,152.00M,65.00M,95.00M,95.00M,,,,,,-109.00M,-492.00M,105.00M,,2020-09,,-130.00M,42.00M,1.85B,0.00,1.711B,,2020-09,-932.00M,-932.00M,5.00M,-680.00M,-675.00M,-111.00M,-111.00M,-53.00M,-1.773B,,2020-09,1.025B,43.00M,1.119B,,2020-09,5.00M,-932.00M,-680.00M,263.00M,105.00M,,2020-09,AOR
2020-06,740.00M,,-253.00M,-253.00M,,,172.00M,172.00M,52.00M,116.00M,116.00M,,,,,,44.00M,0.00,964.00M,,2020-06,,-98.00M,-42.00M,-497.00M,0.00,-637.00M,,2020-06,-68.00M,-68.00M,45.00M,-33.00M,12.00M,-112.00M,-112.00M,-41.00M,-209.00M,,2020-06,899.00M,118.00M,1.025B,,2020-06,45.00M,-839.00M,-33.00M,50.00M,46.00M,,2020-06,AOR
2020-03,485.00M,,-50.00M,-50.00M,,,147.00M,147.00M,52.00M,100.00M,100.00M,,,,,,-134.00M,-110.00M,592.00M,,2020-03,,-98.00M,,-1.51B,39.00M,2.506B,,2020-03,994.00M,994.00M,5.00M,-3.997B,-3.992B,-114.00M,-114.00M,-49.00M,-3.161B,,2020-03,996.00M,-63.00M,899.00M,,2020-03,5.00M,,-3.997B,63.00M,93.00M,,2020-03,AOR
2019-12,745.00M,0.00,-78.00M,-78.00M,,,207.00M,207.00M,139.00M,184.00M,184.00M,,,,,,-78.00M,-414.00M,811.00M,,2019-12,,-160.00M,-93.00M,478.00M,8.00M,358.00M,,2019-12,0.00,0.00,47.00M,-1.002B,-955.00M,-113.00M,-113.00M,-40.00M,-1.108B,,2019-12,909.00M,61.00M,996.00M,,2019-12,47.00M,0.00,-1.002B,145.00M,44.00M,,2019-12,AOR
2019-09,131.00M,52.00M,49.00M,101.00M,,,144.00M,144.00M,-78.00M,80.00M,80.00M,,,,,,180.00M,387.00M,1.009B,,2019-09,,-81.00M,-67.00M,1.433B,-34.00M,1.143B,,2019-09,-1.55B,-1.55B,4.00M,-1.022B,-1.018B,-115.00M,-115.00M,-42.00M,-2.725B,,2019-09,1.501B,-573.00M,909.00M,,2019-09,4.00M,-1.55B,-1.022B,-32.00M,107.00M,,2019-09,AOR
2019-06,400.00M,,8.00M,8.00M,,,168.00M,168.00M,35.00M,129.00M,129.00M,,,,,,-108.00M,49.00M,744.00M,,2019-06,,-133.00M,0.00,828.00M,37.00M,728.00M,,2019-06,0.00,0.00,50.00M,-1.518B,-1.468B,-120.00M,-120.00M,-65.00M,-1.653B,,2019-06,1.712B,-181.00M,1.501B,,2019-06,50.00M,0.00,-1.518B,127.00M,47.00M,,2019-06,AOR
2019-03,516.00M,,-112.00M,-112.00M,,,162.00M,162.00M,21.00M,112.00M,112.00M,,,,,,-194.00M,-22.00M,550.00M,,2019-03,,-180.00M,-93.00M,832.00M,12.00M,558.00M,,2019-03,0.00,0.00,5.00M,-1.431B,-1.426B,-125.00M,-125.00M,-54.00M,-1.605B,,2019-03,2.219B,-497.00M,1.712B,,2019-03,5.00M,,-1.431B,93.00M,107.00M,,2019-03,AOR
2018-12,763.00M,,128.00M,128.00M,,,172.00M,172.00M,-234.00M,142.00M,-377.00M,,,,,,161.00M,-1.00M,1.233B,,2018-12,,-130.00M,0.00,532.00M,19.00M,421.00M,,2018-12,0.00,0.00,39.00M,-1.511B,-1.472B,,,-39.00M,-1.511B,,2018-12,2.101B,143.00M,2.219B,,2018-12,39.00M,0.00,-1.511B,28.00M,46.00M,,2018-12,AOR
2018-09,720.00M,0.00,-438.00M,-438.00M,,,175.00M,175.00M,98.00M,125.00M,125.00M,,,,,,-185.00M,-2.00M,558.00M,,2018-09,,-179.00M,1.029B,64.00M,12.00M,926.00M,,2018-09,0.00,0.00,3.00M,-991.00M,-988.00M,0.00,0.00,-32.00M,-1.02B,,2018-09,1.636B,464.00M,2.101B,,2018-09,3.00M,0.00,-991.00M,115.00M,106.00M,,2018-09,AOR
2018-06,638.00M,,-369.00M,-369.00M,,,170.00M,170.00M,12.00M,151.00M,151.00M,,,,,,-296.00M,,372.00M,,2018-06,,-184.00M,-302.00M,334.00M,1.00M,-151.00M,,2018-06,0.00,0.00,58.00M,-991.00M,-933.00M,0.00,0.00,-109.00M,-1.042B,,2018-06,2.546B,-821.00M,1.636B,,2018-06,58.00M,0.00,-991.00M,377.00M,45.00M,,2018-06,AOR
2018-03,407.00M,,3.00M,3.00M,,,179.00M,179.00M,-29.00M,120.00M,120.00M,,,,,,-257.00M,,495.00M,,2018-03,,-158.00M,0.00,1.856B,,1.698B,,2018-03,-750.00M,-750.00M,9.00M,-1.009B,-1.00B,0.00,0.00,-75.00M,-1.825B,,2018-03,2.14B,368.00M,2.546B,,2018-03,9.00M,-750.00M,-1.009B,77.00M,117.00M,,2018-03,AOR
2017-12,-2.597B,0.00,70.00M,70.00M,,,172.00M,172.00M,1.767B,127.00M,127.00M,,,,,,1.37B,0.00,988.00M,,2017-12,,-192.00M,-12.00M,419.00M,-3.00M,212.00M,,2017-12,-2.00M,-2.00M,46.00M,-922.00M,-876.00M,,,-18.00M,-896.00M,,2017-12,1.782B,304.00M,2.14B,,2017-12,46.00M,-2.00M,-922.00M,115.00M,44.00M,,2017-12,AOR
2017-09,520.00M,-167.00M,7.00M,-160.00M,,,173.00M,173.00M,83.00M,118.00M,118.00M,,,,,,75.00M,0.00,877.00M,,2017-09,,-157.00M,-516.00M,1.29B,0.00,617.00M,,2017-09,-1.45B,-1.45B,12.00M,-907.00M,-895.00M,,,-57.00M,-2.402B,,2017-09,2.657B,-908.00M,1.782B,,2017-09,12.00M,-1.45B,-907.00M,356.00M,372.00M,,2017-09,AOR
2017-06,29.00M,,-28.00M,-28.00M,,,168.00M,168.00M,443.00M,137.00M,137.00M,,,,,,-113.00M,,699.00M,,2017-06,,-182.00M,-20.00M,-1.808B,0.00,-2.01B,,2017-06,2.484B,2.484B,51.00M,-507.00M,-456.00M,,,-96.00M,1.932B,,2017-06,1.999B,621.00M,2.657B,,2017-06,51.00M,,-507.00M,-208.00M,-240.00M,,2017-06,AOR
2017-03,1.035B,,,,,,163.00M,163.00M,-565.00M,101.00M,101.00M,,,,,,-214.00M,,582.00M,,2017-03,,-135.00M,,20.00M,1.00M,-114.00M,,2017-03,,,11.00M,-410.00M,-399.00M,,,-19.00M,-418.00M,,2017-03,1.835B,50.00M,1.999B,,2017-03,11.00M,,-410.00M,45.00M,109.00M,,2017-03,AOR
2016-12,5.948B,0.00,,-1.236B,,,176.00M,176.00M,-4.433B,110.00M,-321.00M,,,,,,11.00M,0.00,620.00M,,2016-12,,-136.00M,-212.00M,704.00M,195.00M,551.00M,,2016-12,-3.00M,-3.00M,35.00M,-941.00M,-906.00M,,,-17.00M,-926.00M,,2016-12,1.753B,245.00M,1.835B,,2016-12,35.00M,-3.00M,-941.00M,375.00M,21.00M,,2016-12,AOR
2016-09,418.00M,0.00,,0.00,,,172.00M,172.00M,-61.00M,105.00M,105.00M,,,,,,112.00M,0.00,802.00M,,2016-09,,-185.00M,0.00,-244.00M,-166.00M,-595.00M,,2016-09,-17.00M,-17.00M,15.00M,-501.00M,-486.00M,,,0.00,-503.00M,,2016-09,2.001B,-296.00M,1.753B,,2016-09,15.00M,-17.00M,-501.00M,33.00M,108.00M,,2016-09,AOR
