,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,193.82M,,,30.25M,15.32M,45.56M,45.56M,-1.049M,,,58.44M,,0.822M,-57.32M,10.16M,0.93M,-5.277M,,,1.488M,-50.01M,247.58M,-15.33M,,,-152.49M,-5.918M,-173.74M,0.004M,0.004M,,0.00,0.00,-93.10M,-93.10M,20.11M,-57.46M,-130.45M,1.227B,-56.60M,1.171B,,0.004M,,0.00,55.40M,7.50M
2020-06,93.84M,,,31.75M,15.06M,46.81M,46.81M,-8.979M,,,50.38M,,2.64M,-32.15M,12.13M,-1.925M,105.75M,,,-23.02M,60.78M,245.47M,-15.46M,,0.00,-1.359B,-6.28M,-1.381B,744.42M,744.42M,,-53.68M,-53.68M,-92.41M,-92.41M,0.001M,-13.24M,585.09M,1.778B,-550.33M,1.227B,,744.42M,,-53.68M,3.747M,13.79M
2020-03,162.26M,,,28.60M,22.72M,51.32M,51.32M,11.96M,,,43.99M,,-1.222M,-19.48M,24.79M,0.169M,49.85M,,,21.71M,77.04M,345.35M,-32.31M,,0.00,726.38M,-12.56M,681.51M,0.00,0.00,,-470.73M,-470.73M,-91.42M,-91.42M,33.40M,-12.50M,-541.25M,1.292B,485.62M,1.778B,,0.00,,-470.73M,-48.78M,7.50M
2019-12,162.01M,,,26.33M,15.28M,41.61M,41.61M,-11.34M,,,50.16M,,-4.503M,80.85M,7.83M,2.772M,6.457M,,,-12.26M,85.64M,323.58M,-34.14M,,-0.038M,-221.21M,-9.78M,-265.17M,,,,-260.94M,-260.94M,-92.93M,-92.93M,0.074M,-16.33M,-370.13M,1.604B,-311.72M,1.292B,,,,-260.94M,8.605M,11.06M
2019-09,226.99M,,,18.70M,12.96M,31.66M,31.66M,13.46M,,,49.82M,,-9.34M,-23.69M,6.725M,-2.48M,-70.33M,,,0.869M,-88.90M,223.69M,-33.64M,,-429.47M,440.70M,-9.002M,-31.41M,0.00,0.00,,-32.25M,-32.25M,-93.48M,-93.48M,19.80M,-72.56M,-178.49M,1.590B,13.79M,1.604B,,0.00,,-32.25M,48.67M,7.50M
2019-06,241.46M,,,23.85M,9.085M,32.94M,32.94M,-2.114M,,,42.75M,,-10.24M,29.21M,-21.40M,0.62M,-1.603M,,,-13.41M,-6.58M,298.22M,-29.20M,,-25.14M,346.07M,3.549M,295.28M,0.00,0.00,,-445.00M,-445.00M,-93.96M,-93.96M,0.003M,-9.003M,-547.96M,1.544B,45.54M,1.590B,,0.00,,-445.00M,1.661M,23.01M
2019-03,244.64M,,,21.61M,10.20M,31.80M,31.80M,-32.99M,,,38.75M,,-3.641M,24.20M,-32.03M,-17.85M,28.43M,,,6.697M,9.45M,288.01M,-28.24M,,-0.204M,-53.34M,-17.24M,-99.02M,,,,0.00,0.00,-91.38M,-91.38M,30.23M,-12.87M,-574.02M,1.930B,-385.03M,1.544B,,,,0.00,26.82M,12.81M
2018-12,239.36M,,,17.97M,7.984M,25.96M,25.96M,-4.825M,,,38.64M,,6.211M,13.62M,-39.69M,18.90M,32.31M,,,-16.56M,8.573M,313.92M,-20.27M,,-10.41M,-220.26M,-12.30M,-263.23M,,,,-1.015M,-1.015M,-91.11M,-91.11M,0.02M,-3.698M,-95.80M,1.975B,-45.12M,1.930B,,,,-1.015M,22.61M,23.53M
2018-09,215.71M,,,16.05M,8.144M,24.19M,24.19M,18.36M,,,34.94M,,-3.967M,83.92M,4.037M,-7.884M,-46.34M,,,-9.846M,23.88M,313.12M,-14.17M,,-223.54M,364.98M,-11.38M,115.90M,,,,-23.24M,-23.24M,-91.08M,-91.08M,18.20M,-35.66M,-131.77M,1.677B,297.25M,1.975B,,,,-23.24M,78.95M,12.81M
2018-06,190.04M,,,15.08M,7.333M,22.41M,22.41M,-13.53M,,,35.61M,,6.442M,-74.65M,-10.92M,2.14M,26.41M,,,-7.77M,-64.80M,176.17M,-26.36M,,0.00,-403.93M,-13.90M,-444.19M,,,,-137.30M,-137.30M,-90.68M,-90.68M,0.214M,-6.158M,-233.92M,2.179B,-501.94M,1.677B,,,,-137.30M,,21.17M
2018-03,145.47M,,,15.76M,33.96M,49.72M,49.72M,3.585M,,,48.61M,,5.625M,-0.031M,-9.543M,-1.071M,-5.117M,,,5.049M,-10.71M,242.29M,-20.98M,,0.00,1.296B,-8.15M,1.267B,0.00,0.00,,-163.45M,-163.45M,-89.30M,-89.30M,27.85M,-16.62M,-241.52M,911.46M,1.268B,2.179B,,0.00,0.00,-163.45M,7.25M,12.81M
