,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,766.54M,766.54M,224.82M,541.72M,113.79M,219.65M,2.862M,,14.23M,1.969M,-12.26M,,336.30M,205.42M,1.969M,14.23M,-12.26M,1.486M,-12.26M,194.65M,0.83M,193.82M,,193.82M,193.82M,254.44M,45.56M,208.87M,0.79,,,0.79,0.79,0.79,,,0.79,0.79,244.84M,246.76M,0.38
2020-06,726.67M,726.67M,232.80M,493.87M,105.38M,210.11M,2.862M,,11.66M,4.954M,-6.702M,,318.36M,175.52M,4.954M,11.66M,-6.702M,-5.451M,-6.702M,163.36M,69.53M,93.84M,,93.84M,93.84M,221.83M,46.81M,175.02M,0.39,,,0.39,0.39,0.38,,,0.38,0.38,243.18M,245.54M,0.38
2020-03,756.17M,756.17M,227.73M,528.44M,103.68M,214.97M,3.401M,,9.565M,9.523M,-0.042M,,322.04M,206.39M,9.523M,9.565M,-0.042M,-16.60M,-0.042M,189.75M,27.49M,162.26M,,162.26M,162.26M,250.64M,51.32M,199.31M,0.66,,,0.66,0.66,0.65,,,0.65,0.65,249.94M,252.50M,0.37
2019-12,723.50M,723.50M,240.02M,483.48M,109.61M,211.54M,2.919M,,9.563M,11.14M,1.575M,,324.07M,159.41M,11.14M,9.563M,1.575M,4.862M,1.575M,165.84M,3.831M,162.01M,,162.01M,162.01M,217.01M,41.61M,175.41M,0.65,,,0.65,0.65,0.64,,,0.64,0.64,250.55M,252.81M,0.37
2019-09,833.37M,833.37M,293.11M,540.26M,111.60M,222.98M,2.169M,,9.562M,13.81M,4.251M,,336.74M,203.52M,13.81M,9.562M,4.251M,8.078M,4.251M,215.84M,-11.15M,226.99M,,226.99M,226.99M,257.07M,31.66M,225.41M,0.9,,,0.9,0.9,0.89,,,0.89,0.89,252.40M,255.27M,0.37
2019-06,849.63M,849.63M,286.77M,562.86M,107.42M,204.10M,0.40M,,10.66M,17.99M,7.33M,,311.92M,250.94M,17.99M,10.66M,7.33M,4.282M,7.33M,262.55M,21.09M,241.46M,,241.46M,241.46M,306.15M,32.94M,273.21M,0.95,,,0.95,0.95,0.94,,,0.94,0.94,253.27M,257.93M,0.37
2019-03,828.36M,828.36M,269.46M,558.90M,107.16M,199.50M,1.866M,,12.88M,20.94M,8.054M,,308.53M,250.38M,20.94M,12.88M,8.054M,1.248M,8.054M,259.68M,15.04M,244.64M,,244.64M,244.64M,304.37M,31.80M,272.56M,0.96,,,0.96,0.96,0.95,,,0.95,0.95,253.15M,260.06M,0.36
2018-12,800.06M,800.06M,247.90M,552.15M,103.04M,189.33M,1.866M,,13.46M,21.61M,8.146M,,294.23M,257.92M,21.61M,13.46M,8.146M,-9.476M,8.146M,256.59M,17.23M,239.36M,,239.36M,239.36M,296.01M,25.96M,270.05M,0.95,,,0.95,0.95,0.93,,,0.93,0.93,253.06M,256.37M,0.36
2018-09,746.25M,746.25M,231.62M,514.63M,97.68M,183.37M,0.839M,,13.16M,17.35M,4.186M,,281.90M,232.74M,17.35M,13.16M,4.186M,2.222M,4.186M,239.14M,23.43M,215.71M,,215.71M,215.71M,276.50M,24.19M,252.31M,0.85,,,0.85,0.85,0.84,,,0.84,0.84,252.99M,255.52M,0.36
2018-06,684.37M,684.37M,206.89M,477.48M,90.53M,170.83M,0.36M,,13.37M,17.40M,4.025M,,261.72M,215.76M,17.40M,13.37M,4.025M,-6.872M,4.025M,212.92M,22.88M,190.04M,,190.04M,190.04M,248.70M,22.41M,226.29M,0.75,,,0.75,0.75,0.74,,,0.74,0.74,252.68M,255.94M,0.36
2018-03,638.19M,638.19M,188.94M,449.25M,89.35M,162.48M,0.584M,,11.50M,13.62M,2.116M,,252.42M,196.84M,13.62M,11.50M,2.116M,-39.25M,2.116M,159.70M,14.23M,145.47M,,145.47M,145.47M,220.93M,49.72M,171.21M,0.57,,,0.57,0.57,0.56,,,0.56,0.56,252.37M,254.86M,0.35
